gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,B cell,skin of body,normal,51,2017,2.528507684680218,1.4229743685232497
A1BG-AS1,B cell,skin of body,normal,2,2017,0.0991571641051065,1.1717245483997845
A2M,B cell,skin of body,normal,5,2017,0.2478929102627665,1.3653187053952631
A2ML1-AS1,B cell,skin of body,normal,1,2017,0.0495785820525532,1.402458359755457
A4GALT,B cell,skin of body,normal,1,2017,0.0495785820525532,1.53642510648078
AAAS,B cell,skin of body,normal,17,2017,0.842835894893406,1.193384348657179
AACS,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1214370308257238
AAGAB,B cell,skin of body,normal,86,2017,4.263758056519584,1.3437321774280993
AAK1,B cell,skin of body,normal,68,2017,3.371343579573624,1.4073410082587423
AAMDC,B cell,skin of body,normal,62,2017,3.0738720872583043,1.5308581998341368
AAMP,B cell,skin of body,normal,93,2017,4.610808130887457,1.25736297958346
AARSD1,B cell,skin of body,normal,45,2017,2.2310361923648983,1.5248724689275606
AASDHPPT,B cell,skin of body,normal,115,2017,5.701536936043629,1.3193190208947263
AATF,B cell,skin of body,normal,17,2017,0.842835894893406,1.2956692253536606
AATK,B cell,skin of body,normal,2,2017,0.0991571641051065,1.1512533568969172
ABALON,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1229664453302426
ABAT,B cell,skin of body,normal,2,2017,0.0991571641051065,1.2875796692079673
ABCA1,B cell,skin of body,normal,51,2017,2.528507684680218,1.3341973712396862
ABCA2,B cell,skin of body,normal,3,2017,0.1487357461576599,1.3148791175019812
ABCA7,B cell,skin of body,normal,67,2017,3.3217649975210706,1.5347633825713924
ABCA9,B cell,skin of body,normal,4,2017,0.1983143282102131,1.522785645049214
ABCB1,B cell,skin of body,normal,6,2017,0.2974714923153198,1.5978733091051984
ABCB10,B cell,skin of body,normal,3,2017,0.1487357461576599,1.3009590744956074
ABCB4,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1372625657106334
ABCB6,B cell,skin of body,normal,2,2017,0.0991571641051065,1.428211595380115
ABCB7,B cell,skin of body,normal,10,2017,0.495785820525533,1.3165122429999507
ABCB8,B cell,skin of body,normal,52,2017,2.578086266732772,1.4099499476055206
ABCC10,B cell,skin of body,normal,23,2017,1.1403073872087257,1.4079227656057132
ABCC5,B cell,skin of body,normal,2,2017,0.0991571641051065,1.1263932742276004
ABCD1,B cell,skin of body,normal,25,2017,1.2394645513138325,1.3328485603451188
ABCD4,B cell,skin of body,normal,101,2017,5.007436787307883,1.5242733742973762
ABCE1,B cell,skin of body,normal,252,2017,12.49380267724343,1.527461696225254
ABCF1,B cell,skin of body,normal,5,2017,0.2478929102627665,1.2757868799400232
ABCF2,B cell,skin of body,normal,11,2017,0.5453644025780863,1.335788170285931
ABCF3,B cell,skin of body,normal,51,2017,2.528507684680218,1.4042971599227727
ABCG1,B cell,skin of body,normal,4,2017,0.1983143282102131,1.223844404531652
ABHD10,B cell,skin of body,normal,83,2017,4.115022310361924,1.4182611885132723
ABHD11,B cell,skin of body,normal,47,2017,2.330193356470005,1.481586787846717
ABHD12,B cell,skin of body,normal,15,2017,0.7436787307882995,1.3381372227020898
ABHD12B,B cell,skin of body,normal,3,2017,0.1487357461576599,1.3781900835866832
ABHD14A,B cell,skin of body,normal,4,2017,0.1983143282102131,1.4316751093861764
ABHD14A-ACY1,B cell,skin of body,normal,1,2017,0.0495785820525532,1.148809721486939
ABHD14B,B cell,skin of body,normal,29,2017,1.4377788795240456,1.250893087151319
ABHD15,B cell,skin of body,normal,3,2017,0.1487357461576599,1.1648140804421567
ABHD16A,B cell,skin of body,normal,85,2017,4.21417947446703,1.3780019391983946
ABHD17A,B cell,skin of body,normal,5,2017,0.2478929102627665,1.1699358784389575
ABHD17B,B cell,skin of body,normal,7,2017,0.347050074367873,1.2897559291107454
ABHD18,B cell,skin of body,normal,4,2017,0.1983143282102131,1.2854549332052403
ABHD2,B cell,skin of body,normal,31,2017,1.536936043629152,1.4680635890757674
ABHD3,B cell,skin of body,normal,92,2017,4.561229548834903,1.3989193413970482
ABHD4,B cell,skin of body,normal,13,2017,0.6445215666831929,1.3966047588580237
ABHD5,B cell,skin of body,normal,32,2017,1.586514625681705,1.283775376607967
ABHD6,B cell,skin of body,normal,10,2017,0.495785820525533,1.4527794759596977
ABHD8,B cell,skin of body,normal,59,2017,2.925136341100645,1.6429368153117443
ABI1,B cell,skin of body,normal,18,2017,0.8924144769459593,1.2547387378717356
ABI2,B cell,skin of body,normal,38,2017,1.8839861179970252,1.4609230286026238
ABI3,B cell,skin of body,normal,16,2017,0.7932573128408527,1.25726175486466
ABITRAM,B cell,skin of body,normal,40,2017,1.983143282102132,1.5968887261708409
ABL2,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1452293410942411
ABLIM1,B cell,skin of body,normal,8,2017,0.3966286564204263,1.2679454709756857
ABLIM2,B cell,skin of body,normal,1,2017,0.0495785820525532,1.6136143588327578
ABR,B cell,skin of body,normal,43,2017,2.131879028259792,1.5078752226390435
ABRACL,B cell,skin of body,normal,1184,2017,58.7010411502231,1.8290475761704297
ABRAXAS1,B cell,skin of body,normal,22,2017,1.0907288051561723,1.261947196284872
ABT1,B cell,skin of body,normal,5,2017,0.2478929102627665,1.2262577442040796
ABTB1,B cell,skin of body,normal,195,2017,9.667823500247891,1.473586076289385
ACAA1,B cell,skin of body,normal,204,2017,10.114030738720873,1.3939977622265924
ACAA2,B cell,skin of body,normal,15,2017,0.7436787307882995,1.2674913427747685
ACACA,B cell,skin of body,normal,38,2017,1.8839861179970252,1.3952767669322583
ACACB,B cell,skin of body,normal,1,2017,0.0495785820525532,1.2021633265033216
ACAD10,B cell,skin of body,normal,12,2017,0.5949429846306395,1.4223817068286853
ACAD11,B cell,skin of body,normal,1,2017,0.0495785820525532,1.3219832831539973
ACAD8,B cell,skin of body,normal,21,2017,1.0411502231036194,1.2956194912099817
ACADM,B cell,skin of body,normal,16,2017,0.7932573128408527,1.263629558109739
ACADS,B cell,skin of body,normal,3,2017,0.1487357461576599,1.219147175759753
ACADSB,B cell,skin of body,normal,11,2017,0.5453644025780863,1.4045150355202194
ACADVL,B cell,skin of body,normal,232,2017,11.502231036192365,1.4970676975607395
ACAP1,B cell,skin of body,normal,489,2017,24.24392662369856,1.589616556562044
ACAP2,B cell,skin of body,normal,544,2017,26.970748636588997,1.5636895953218162
ACAP3,B cell,skin of body,normal,12,2017,0.5949429846306395,1.36280776427307
ACAT1,B cell,skin of body,normal,34,2017,1.685671789786812,1.3028785885494885
ACAT2,B cell,skin of body,normal,27,2017,1.338621715418939,1.267916145839108
ACBD3,B cell,skin of body,normal,6,2017,0.2974714923153198,1.1653603354819284
ACBD4,B cell,skin of body,normal,9,2017,0.4462072384729796,1.215073704761335
ACBD5,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1631458039763736
ACBD6,B cell,skin of body,normal,13,2017,0.6445215666831929,1.203280396725853
ACBD7,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1090711942161742
ACCS,B cell,skin of body,normal,5,2017,0.2478929102627665,1.2976993401257455
ACD,B cell,skin of body,normal,44,2017,2.181457610312345,1.2759315104402666
ACE,B cell,skin of body,normal,1,2017,0.0495785820525532,1.5050127363911292
ACHE,B cell,skin of body,normal,1,2017,0.0495785820525532,1.597424121561248
ACIN1,B cell,skin of body,normal,228,2017,11.303916707982152,1.4478594981966866
ACKR2,B cell,skin of body,normal,3,2017,0.1487357461576599,1.350921868769488
ACLY,B cell,skin of body,normal,13,2017,0.6445215666831929,1.282515836069731
ACO2,B cell,skin of body,normal,4,2017,0.1983143282102131,1.149102049525414
ACOT1,B cell,skin of body,normal,3,2017,0.1487357461576599,1.2483548458172582
ACOT2,B cell,skin of body,normal,16,2017,0.7932573128408527,1.2148072273017496
ACOT7,B cell,skin of body,normal,4,2017,0.1983143282102131,1.3503973897554904
ACOT8,B cell,skin of body,normal,57,2017,2.825979176995538,1.3988365589000242
ACOT9,B cell,skin of body,normal,29,2017,1.4377788795240456,1.2850817821802687
ACOX1,B cell,skin of body,normal,55,2017,2.7268220128904312,1.4905961233807683
ACOX3,B cell,skin of body,normal,7,2017,0.347050074367873,1.2526578528579078
ACOXL,B cell,skin of body,normal,6,2017,0.2974714923153198,1.2977223572204777
ACP1,B cell,skin of body,normal,718,2017,35.59742191373327,1.6058288608527995
ACP2,B cell,skin of body,normal,5,2017,0.2478929102627665,1.2519928365285256
ACP5,B cell,skin of body,normal,36,2017,1.7848289538919186,1.302157742781281
ACP6,B cell,skin of body,normal,3,2017,0.1487357461576599,1.272242689849777
ACRBP,B cell,skin of body,normal,4,2017,0.1983143282102131,1.5683905777380458
ACSF2,B cell,skin of body,normal,23,2017,1.1403073872087257,1.5973236385993823
ACSF3,B cell,skin of body,normal,92,2017,4.561229548834903,1.4563664167628942
ACSM1,B cell,skin of body,normal,1,2017,0.0495785820525532,1.149042735744483
ACSM3,B cell,skin of body,normal,206,2017,10.21318790282598,1.926670792812628
ACSS2,B cell,skin of body,normal,4,2017,0.1983143282102131,1.4387911996996028
ACTA1,B cell,skin of body,normal,2,2017,0.0991571641051065,2.216164272781472
ACTA2,B cell,skin of body,normal,1,2017,0.0495785820525532,1.8074477548505512
ACTB,B cell,skin of body,normal,1973,2017,97.81854238968764,3.5471627466200872
ACTC1,B cell,skin of body,normal,1,2017,0.0495785820525532,2.571938031058279
ACTG1,B cell,skin of body,normal,1881,2017,93.25731284085276,2.4270141664873965
ACTL6A,B cell,skin of body,normal,162,2017,8.031730292513634,1.530385996098677
ACTMAP,B cell,skin of body,normal,21,2017,1.0411502231036194,1.3479142535172226
ACTN4,B cell,skin of body,normal,24,2017,1.189885969261279,1.237466688809811
ACTR10,B cell,skin of body,normal,232,2017,11.502231036192365,1.4946624301768272
ACTR1A,B cell,skin of body,normal,129,2017,6.395637084779375,1.3665099957760056
ACTR1B,B cell,skin of body,normal,53,2017,2.627664848785325,1.275856868925618
ACTR2,B cell,skin of body,normal,262,2017,12.989588497768963,1.3880668860942156
ACTR3,B cell,skin of body,normal,1124,2017,55.72632622706991,1.7065450173500505
ACTR3-AS1,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1601189469830036
ACTR3B,B cell,skin of body,normal,1,2017,0.0495785820525532,1.2336232611487363
ACTR3C,B cell,skin of body,normal,7,2017,0.347050074367873,1.377745019745047
ACTR6,B cell,skin of body,normal,100,2017,4.95785820525533,1.453345696627752
ACTR8,B cell,skin of body,normal,36,2017,1.7848289538919186,1.351648429701919
ACVR2A,B cell,skin of body,normal,4,2017,0.1983143282102131,1.4015338970202642
ACY1,B cell,skin of body,normal,9,2017,0.4462072384729796,1.2478840341007509
ACY3,B cell,skin of body,normal,30,2017,1.487357461576599,1.3989979178811616
ACYP1,B cell,skin of body,normal,198,2017,9.816559246405552,1.561055548858607
ACYP2,B cell,skin of body,normal,197,2017,9.766980664353,1.384381422692495
ADA,B cell,skin of body,normal,61,2017,3.024293505205751,1.4329515522525038
ADA2,B cell,skin of body,normal,3,2017,0.1487357461576599,1.1617307020557384
ADAL,B cell,skin of body,normal,1,2017,0.0495785820525532,1.1057293390880072
ADAM10,B cell,skin of body,normal,241,2017,11.948438274665344,1.5624545230217992
ADAM12,B cell,skin of body,normal,1,2017,0.0495785820525532,1.7797876153574732
ADAM15,B cell,skin of body,normal,12,2017,0.5949429846306395,1.305302731720948
ADAM17,B cell,skin of body,normal,4,2017,0.1983143282102131,1.2575274687529907
ADAM19,B cell,skin of body,normal,12,2017,0.5949429846306395,1.2431590506201369
ADAM28,B cell,skin of body,normal,29,2017,1.4377788795240456,1.5330743270404277
ADAM7-AS1,B cell,skin of body,normal,8,2017,0.3966286564204263,1.4674669422258806
ADAM8,B cell,skin of body,normal,86,2017,4.263758056519584,1.381522383947957
ADAMTS19,B cell,skin of body,normal,1,2017,0.0495785820525532,1.311298593165641
ADAMTS6,B cell,skin of body,normal,9,2017,0.4462072384729796,1.4277124394664005
ADAP1,B cell,skin of body,normal,7,2017,0.347050074367873,1.4228005089370483
ADAP2,B cell,skin of body,normal,4,2017,0.1983143282102131,1.3563655589164036
ADARB2,B cell,skin of body,normal,79,2017,3.9167079821517103,1.5698719760391004
ADARB2-AS1,B cell,skin of body,normal,9,2017,0.4462072384729796,1.5223679578612346
ADAT1,B cell,skin of body,normal,42,2017,2.0823004462072388,1.4549779015566708
ADAT3,B cell,skin of body,normal,6,2017,0.2974714923153198,1.2418104848388645
ADCK1,B cell,skin of body,normal,5,2017,0.2478929102627665,1.2929626915020216
ADCK2,B cell,skin of body,normal,1,2017,0.0495785820525532,1.3310872315696949
ADCK5,B cell,skin of body,normal,41,2017,2.032721864154685,1.4647374872146397
ADCY2,B cell,skin of body,normal,1,2017,0.0495785820525532,1.7798914717310572
ADCY3,B cell,skin of body,normal,7,2017,0.347050074367873,1.3986402200439731
ADCY4,B cell,skin of body,normal,1,2017,0.0495785820525532,1.241766315000146
ADCY6,B cell,skin of body,normal,1,2017,0.0495785820525532,1.183666550883994
ADCY7,B cell,skin of body,normal,11,2017,0.5453644025780863,1.265754285122811
ADD1,B cell,skin of body,normal,121,2017,5.999008428358949,1.3320081193184303
ADD2,B cell,skin of body,normal,1,2017,0.0495785820525532,1.275242379897737
ADD3,B cell,skin of body,normal,636,2017,31.5319781854239,1.6258992177845368
