gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,Langerhans cell,skin of body,normal,3,12466,0.0240654580458848,1.629381427362772
A1BG,Langerhans cell,skin of body,normal,280,12466,2.2461094176159158,1.3395108007621472
A1BG-AS1,Langerhans cell,skin of body,normal,10,12466,0.0802181934862826,1.2923171477366022
A2M,Langerhans cell,skin of body,normal,1000,12466,8.021819348628268,2.023481995579662
A2ML1,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,2.3783674259540275
A4GALT,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,1.6033171890504718
AAAS,Langerhans cell,skin of body,normal,50,12466,0.4010909674314134,1.501715524896344
AACS,Langerhans cell,skin of body,normal,11,12466,0.0882400128349109,1.4621425368004983
AADACL2-AS1,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,3.3012487648118336
AAGAB,Langerhans cell,skin of body,normal,44,12466,0.3529600513396438,1.4776186184316735
AAK1,Langerhans cell,skin of body,normal,156,12466,1.25140381838601,1.537954273451911
AAMDC,Langerhans cell,skin of body,normal,881,12466,7.0672228461415045,1.4957804674448774
AAMP,Langerhans cell,skin of body,normal,214,12466,1.7166693406064495,1.4178951686855708
AAR2,Langerhans cell,skin of body,normal,5,12466,0.0401090967431413,1.2213914544637166
AARD,Langerhans cell,skin of body,normal,4,12466,0.032087277394513,1.39379061867485
AARS1,Langerhans cell,skin of body,normal,7,12466,0.0561527354403978,1.3113810044681604
AARS2,Langerhans cell,skin of body,normal,11,12466,0.0882400128349109,1.2383794739744864
AARSD1,Langerhans cell,skin of body,normal,112,12466,0.8984437670463662,1.5258954825017006
AASDH,Langerhans cell,skin of body,normal,11,12466,0.0882400128349109,1.3071802343994958
AASDHPPT,Langerhans cell,skin of body,normal,67,12466,0.537461896358094,1.488697302043523
AASS,Langerhans cell,skin of body,normal,3,12466,0.0240654580458848,1.2275726109842229
AATBC,Langerhans cell,skin of body,normal,2,12466,0.0160436386972565,1.4121662529786407
AATF,Langerhans cell,skin of body,normal,56,12466,0.4492218835231831,1.4071671103803354
AATK,Langerhans cell,skin of body,normal,22,12466,0.1764800256698219,1.4729209226046358
ABAT,Langerhans cell,skin of body,normal,22,12466,0.1764800256698219,1.6355984997431066
ABCA1,Langerhans cell,skin of body,normal,265,12466,2.125782127386491,1.5584743819443432
ABCA10,Langerhans cell,skin of body,normal,5,12466,0.0401090967431413,1.6402957126711584
ABCA12,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,1.234718126900048
ABCA2,Langerhans cell,skin of body,normal,7,12466,0.0561527354403978,1.842078335440148
ABCA3,Langerhans cell,skin of body,normal,2,12466,0.0160436386972565,1.2923669836356586
ABCA4,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,2.1218665039561877
ABCA5,Langerhans cell,skin of body,normal,190,12466,1.524145676239371,1.4433633086008462
ABCA6,Langerhans cell,skin of body,normal,7,12466,0.0561527354403978,1.367965190978471
ABCA7,Langerhans cell,skin of body,normal,180,12466,1.4439274827530884,1.6547492943576914
ABCB10,Langerhans cell,skin of body,normal,96,12466,0.7700946574683138,1.522675858940653
ABCB5,Langerhans cell,skin of body,normal,2,12466,0.0160436386972565,1.5938986557772692
ABCB7,Langerhans cell,skin of body,normal,28,12466,0.2246109417615915,1.4575768723790314
ABCB8,Langerhans cell,skin of body,normal,45,12466,0.3609818706882721,1.6045160251595705
ABCB9,Langerhans cell,skin of body,normal,4,12466,0.032087277394513,1.4665340952757142
ABCC1,Langerhans cell,skin of body,normal,22,12466,0.1764800256698219,1.512293517549631
ABCC10,Langerhans cell,skin of body,normal,33,12466,0.2647200385047328,1.6201011223980044
ABCC12,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,1.5328378491732968
ABCC3,Langerhans cell,skin of body,normal,249,12466,1.997433017808439,1.7736875068193314
ABCC4,Langerhans cell,skin of body,normal,263,12466,2.109738488689235,1.5234145162823192
ABCC5,Langerhans cell,skin of body,normal,5,12466,0.0401090967431413,1.6081078845913208
ABCD1,Langerhans cell,skin of body,normal,43,12466,0.3449382319910156,1.4952187791378326
ABCD3,Langerhans cell,skin of body,normal,9,12466,0.0721963741376544,1.3912073655608173
ABCD4,Langerhans cell,skin of body,normal,74,12466,0.5936146317984918,1.5806186371654745
ABCE1,Langerhans cell,skin of body,normal,566,12466,4.540349751323601,1.605935793578214
ABCF1,Langerhans cell,skin of body,normal,78,12466,0.625701909193005,1.3145144606032786
ABCF2,Langerhans cell,skin of body,normal,101,12466,0.8102037542114552,1.5378818430373018
ABCF2-H2BK1,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,1.3935169678077752
ABCF3,Langerhans cell,skin of body,normal,91,12466,0.7299855607251725,1.5181251316212383
ABCG1,Langerhans cell,skin of body,normal,17,12466,0.1363709289266805,1.5029832624014952
ABHD1,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,1.3152287926312791
ABHD10,Langerhans cell,skin of body,normal,21,12466,0.1684582063211936,1.4487362692036458
ABHD11,Langerhans cell,skin of body,normal,20,12466,0.1604363869725653,1.7452682093767158
ABHD12,Langerhans cell,skin of body,normal,779,12466,6.248997272581422,1.3883006249358192
ABHD13,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,1.2456601829369056
ABHD14A,Langerhans cell,skin of body,normal,4,12466,0.032087277394513,1.743946716453418
ABHD14B,Langerhans cell,skin of body,normal,32,12466,0.2566982191561046,1.387720848002305
ABHD15,Langerhans cell,skin of body,normal,1,12466,0.0080218193486282,1.1413593125523087
ABHD15-AS1,Langerhans cell,skin of body,normal,13,12466,0.1042836515321675,2.5028352830691696
ABHD16A,Langerhans cell,skin of body,normal,74,12466,0.5936146317984918,1.4482737462531028
ABHD17A,Langerhans cell,skin of body,normal,75,12466,0.6016364511471202,1.4562825884547494
ABHD17B,Langerhans cell,skin of body,normal,14,12466,0.1123054708807957,1.3137075128902838
ABHD17C,Langerhans cell,skin of body,normal,4,12466,0.032087277394513,1.295228184770718
ABHD18,Langerhans cell,skin of body,normal,32,12466,0.2566982191561046,1.4519614300775263
ABHD2,Langerhans cell,skin of body,normal,516,12466,4.139258783892187,1.5676872111811506
