gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A2ML1,Merkel cell,skin of body,normal,9,1140,0.7894736842105263,1.304619527123988
AAAS,Merkel cell,skin of body,normal,2,1140,0.175438596491228,1.208871783077858
AACS,Merkel cell,skin of body,normal,1,1140,0.087719298245614,1.1139536247369235
AAGAB,Merkel cell,skin of body,normal,6,1140,0.5263157894736842,1.3134220906519436
AAK1,Merkel cell,skin of body,normal,24,1140,2.1052631578947367,1.2432998867751828
AAMDC,Merkel cell,skin of body,normal,213,1140,18.684210526315788,1.3845784882008758
AAMP,Merkel cell,skin of body,normal,23,1140,2.017543859649123,1.1983590813916858
AARD,Merkel cell,skin of body,normal,7,1140,0.6140350877192983,1.3552074197080592
AARSD1,Merkel cell,skin of body,normal,26,1140,2.280701754385965,1.2653751934266153
AASDHPPT,Merkel cell,skin of body,normal,8,1140,0.7017543859649122,1.3744413321380038
AATF,Merkel cell,skin of body,normal,1,1140,0.087719298245614,1.1742014381543309
ABCA2,Merkel cell,skin of body,normal,2,1140,0.175438596491228,1.1522352274947558
ABCA5,Merkel cell,skin of body,normal,3,1140,0.2631578947368421,1.248267496469263
ABCA7,Merkel cell,skin of body,normal,4,1140,0.3508771929824561,1.2229737614039715
ABCB10,Merkel cell,skin of body,normal,1,1140,0.087719298245614,1.3350152495300185
ABCB7,Merkel cell,skin of body,normal,1,1140,0.087719298245614,1.1259690523795511
ABCB8,Merkel cell,skin of body,normal,19,1140,1.6666666666666667,1.2783447874856988
ABCC10,Merkel cell,skin of body,normal,7,1140,0.6140350877192983,1.2078506729111351
ABCC3,Merkel cell,skin of body,normal,3,1140,0.2631578947368421,1.1417787162410942
ABCC5,Merkel cell,skin of body,normal,2,1140,0.175438596491228,1.1888153241768251
ABCD4,Merkel cell,skin of body,normal,18,1140,1.5789473684210529,1.2833199163448163
ABCE1,Merkel cell,skin of body,normal,133,1140,11.666666666666666,1.3945465751817676
ABCF1,Merkel cell,skin of body,normal,4,1140,0.3508771929824561,1.184163652447496
ABCF2,Merkel cell,skin of body,normal,18,1140,1.5789473684210529,1.2108904891794392
ABCF3,Merkel cell,skin of body,normal,25,1140,2.1929824561403506,1.283524266812808
ABHD10,Merkel cell,skin of body,normal,6,1140,0.5263157894736842,1.2647735472708186
