gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,T cell,skin of body,normal,3,75053,0.0039971753294338,2.7873730663608227
7SK_ENSG00000202198,T cell,skin of body,normal,557,75053,0.7421422194982212,2.0667398201861635
7SK_ENSG00000271394,T cell,skin of body,normal,4,75053,0.0053295671059118,2.1985716576589414
7SK_ENSG00000274303,T cell,skin of body,normal,2,75053,0.0026647835529559,1.9198998202416984
A1BG,T cell,skin of body,normal,1343,75053,1.7894021558098945,1.297367301399844
A1BG-AS1,T cell,skin of body,normal,94,75053,0.1252448269889278,1.3092385399851778
A1CF,T cell,skin of body,normal,14,75053,0.0186534848706913,1.3862905569416484
A2M,T cell,skin of body,normal,815,75053,1.085899297829534,1.6923531509751486
A2M-AS1,T cell,skin of body,normal,44,75053,0.05862523816503,1.3490846238339012
A2ML1,T cell,skin of body,normal,676,75053,0.9006968408990979,1.735733963667934
A2ML1-AS1,T cell,skin of body,normal,187,75053,0.2491572622013776,1.7095883428584933
A2ML1-AS2,T cell,skin of body,normal,60,75053,0.0799435065886773,2.1166480807523205
A2MP1_ENSG00000256069,T cell,skin of body,normal,1,75053,0.0013323917764779,1.178547805064549
A3GALT2,T cell,skin of body,normal,1,75053,0.0013323917764779,1.3954313509478182
A4GALT,T cell,skin of body,normal,159,75053,0.2118502924599949,1.3492174247674806
AAAS,T cell,skin of body,normal,224,75053,0.298455757931062,1.2822119337939302
AACS,T cell,skin of body,normal,98,75053,0.1305743940948396,1.262281918095177
AACSP1_ENSG00000250420,T cell,skin of body,normal,3,75053,0.0039971753294338,1.2140749319370383
AADAC,T cell,skin of body,normal,1846,75053,2.459595219378306,1.4792853824272307
AADACL2-AS1,T cell,skin of body,normal,279,75053,0.3717373056373496,1.7286250749868777
AADAT,T cell,skin of body,normal,4525,75053,6.029072788562749,1.7630054905773431
AAGAB,T cell,skin of body,normal,2395,75053,3.191078304664704,1.3901551171821749
AAK1,T cell,skin of body,normal,9323,75053,12.42188853210398,1.4888238535075058
AAMDC,T cell,skin of body,normal,2070,75053,2.758050977309368,1.5780137661499445
AAMP,T cell,skin of body,normal,2145,75053,2.8579803605452145,1.3091558889590065
AANAT,T cell,skin of body,normal,9,75053,0.0119915259883016,1.391022987428697
AAR2,T cell,skin of body,normal,29,75053,0.0386393615178607,1.272593314037195
AARD,T cell,skin of body,normal,822,75053,1.0952260402648797,1.400440795185875
AARS1,T cell,skin of body,normal,17,75053,0.0226506602001252,1.2610500147885018
AARS2,T cell,skin of body,normal,8,75053,0.0106591342118236,1.441409536279142
AARSD1,T cell,skin of body,normal,2162,75053,2.88063102074534,1.539782570727363
AASDH,T cell,skin of body,normal,25,75053,0.0333097944119488,1.2595970942556844
AASDHPPT,T cell,skin of body,normal,2724,75053,3.629435199125951,1.3602565346007187
AASS,T cell,skin of body,normal,16,75053,0.0213182684236472,1.2538402897762029
AATF,T cell,skin of body,normal,621,75053,0.8274152931928104,1.3025082057437194
AATK,T cell,skin of body,normal,917,75053,1.2218032590302852,1.526680897787454
ABALON,T cell,skin of body,normal,9,75053,0.0119915259883016,1.3694164405040758
ABAT,T cell,skin of body,normal,2282,75053,3.0405180339226945,1.4377442427020142
ABCA1,T cell,skin of body,normal,214,75053,0.2851318401662824,1.4124703138052164
ABCA10,T cell,skin of body,normal,2691,75053,3.5854662705021787,1.4618169670709966
ABCA13,T cell,skin of body,normal,41,75053,0.0546280628355961,1.2925919543698157
ABCA15P,T cell,skin of body,normal,4,75053,0.0053295671059118,1.7173479981277238
ABCA17P,T cell,skin of body,normal,10,75053,0.0133239177647795,1.550907707049063
ABCA2,T cell,skin of body,normal,469,75053,0.6248917431681612,1.4343983778931422
ABCA3,T cell,skin of body,normal,212,75053,0.2824670566133265,1.3540403891897672
ABCA4,T cell,skin of body,normal,109,75053,0.1452307036360971,1.6165817952837782
ABCA5,T cell,skin of body,normal,240,75053,0.3197740263547093,1.31446033579321
ABCA6,T cell,skin of body,normal,1588,75053,2.1158381410469937,1.4132477992593453
ABCA7,T cell,skin of body,normal,1478,75053,1.9692750456344184,1.4880975547934785
ABCA8,T cell,skin of body,normal,456,75053,0.6075706500739477,1.4457365126688906
ABCA9,T cell,skin of body,normal,410,75053,0.5462806283559618,1.5249863005853972
ABCA9-AS1,T cell,skin of body,normal,15,75053,0.0199858766471693,1.5877826466417484
ABCB1,T cell,skin of body,normal,479,75053,0.6382156609329407,1.606537154166236
ABCB10,T cell,skin of body,normal,438,75053,0.5835875980973446,1.4130253698371673
ABCB11,T cell,skin of body,normal,43,75053,0.057292846388552,1.3765743392064032
ABCB4,T cell,skin of body,normal,3,75053,0.0039971753294338,1.371132252883198
ABCB5,T cell,skin of body,normal,1155,75053,1.5389125018320386,1.3643654254404451
ABCB6,T cell,skin of body,normal,103,75053,0.1372363529772294,1.419521096748706
ABCB7,T cell,skin of body,normal,297,75053,0.3957203576139528,1.3247170977851903
ABCB8,T cell,skin of body,normal,1037,75053,1.3816902722076398,1.4127410004973566
ABCB9,T cell,skin of body,normal,236,75053,0.3144444592487975,1.3753304641682635
ABCC1,T cell,skin of body,normal,288,75053,0.3837288316256512,1.3805909077715206
ABCC10,T cell,skin of body,normal,721,75053,0.960654470840606,1.4658939502690114
ABCC11,T cell,skin of body,normal,6,75053,0.0079943506588677,1.273756000338426
ABCC12,T cell,skin of body,normal,2,75053,0.0026647835529559,1.2295079843920849
ABCC2,T cell,skin of body,normal,440,75053,0.5862523816503005,1.4427931654605288
ABCC3,T cell,skin of body,normal,2059,75053,2.7433946677681105,2.8887625823212018
ABCC4,T cell,skin of body,normal,43,75053,0.057292846388552,1.3459809217576526
