gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,basal cell of epidermis,skin of body,normal,5,28552,0.0175119080975063,1.7183420916618817
A1BG-AS1,basal cell of epidermis,skin of body,normal,1,28552,0.0035023816195012,1.7863283674644743
A1CF,basal cell of epidermis,skin of body,normal,1,28552,0.0035023816195012,2.182909535883182
A2M,basal cell of epidermis,skin of body,normal,72,28552,0.2521714766040908,1.7459033425670851
A2M-AS1,basal cell of epidermis,skin of body,normal,8,28552,0.02801905295601,1.3942187183606003
A2ML1,basal cell of epidermis,skin of body,normal,180,28552,0.630428691510227,2.631268871624701
A2ML1-AS1,basal cell of epidermis,skin of body,normal,28,28552,0.0980666853460353,2.8992133507408755
A3GALT2,basal cell of epidermis,skin of body,normal,10,28552,0.0350238161950126,2.492405438257813
A4GALT,basal cell of epidermis,skin of body,normal,12,28552,0.0420285794340151,1.4489583487415327
AAAS,basal cell of epidermis,skin of body,normal,32,28552,0.1120762118240403,1.7879612533179396
AACS,basal cell of epidermis,skin of body,normal,142,28552,0.497338189969179,1.8493309299760976
AADAC,basal cell of epidermis,skin of body,normal,40,28552,0.1400952647800504,1.554497115682982
AADACL2,basal cell of epidermis,skin of body,normal,24,28552,0.0840571588680302,1.3230901881403647
AADACL2-AS1,basal cell of epidermis,skin of body,normal,34,28552,0.1190809750630428,2.333236767839621
AADACL4,basal cell of epidermis,skin of body,normal,1,28552,0.0035023816195012,1.302874757158475
AADAT,basal cell of epidermis,skin of body,normal,4,28552,0.014009526478005,1.4413988724509972
AAGAB,basal cell of epidermis,skin of body,normal,172,28552,0.6024096385542169,1.777026805499249
AAK1,basal cell of epidermis,skin of body,normal,519,28552,1.8177360605211543,1.7667017130756602
AAMDC,basal cell of epidermis,skin of body,normal,5316,28552,18.618660689268705,1.4368585088864914
AAMP,basal cell of epidermis,skin of body,normal,844,28552,2.9560100868590644,1.3103692825963524
AANAT,basal cell of epidermis,skin of body,normal,2,28552,0.0070047632390025,2.2030663334810354
AAR2,basal cell of epidermis,skin of body,normal,19,28552,0.0665452507705239,1.7106694217502956
AARD,basal cell of epidermis,skin of body,normal,35,28552,0.1225833566825441,1.5414571027596915
AARS1,basal cell of epidermis,skin of body,normal,31,28552,0.108573830204539,1.5253761099873642
AARS2,basal cell of epidermis,skin of body,normal,13,28552,0.0455309610535163,1.603864238905102
