gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,basal cell,skin of body,normal,5,29051,0.0172111114935802,1.7183420916618817
A1BG-AS1,basal cell,skin of body,normal,1,29051,0.003442222298716,1.7863283674644743
A1CF,basal cell,skin of body,normal,2,29051,0.0068844445974321,1.6475230625393396
A2M,basal cell,skin of body,normal,88,29051,0.3029155622870125,1.7284096892461862
A2M-AS1,basal cell,skin of body,normal,9,29051,0.0309800006884444,1.3939715889347428
A2ML1,basal cell,skin of body,normal,192,29051,0.6609066813534817,2.574480292916229
A2ML1-AS1,basal cell,skin of body,normal,29,29051,0.0998244466627654,2.870455834122538
A3GALT2,basal cell,skin of body,normal,10,29051,0.0344222229871605,2.492405438257813
A4GALT,basal cell,skin of body,normal,14,29051,0.0481911121820247,1.4738001640456526
AAAS,basal cell,skin of body,normal,32,29051,0.1101511135589136,1.7879612533179396
AACS,basal cell,skin of body,normal,142,29051,0.4887955664176793,1.8493309299760976
AADAC,basal cell,skin of body,normal,70,29051,0.2409555609101236,1.494097245807305
AADACL2,basal cell,skin of body,normal,24,29051,0.0826133351691852,1.3230901881403647
AADACL2-AS1,basal cell,skin of body,normal,40,29051,0.137688891948642,2.2342190862862923
AADACL4,basal cell,skin of body,normal,1,29051,0.003442222298716,1.302874757158475
AADAT,basal cell,skin of body,normal,21,29051,0.072286668273037,1.481605704645546
AAGAB,basal cell,skin of body,normal,181,29051,0.6230422360676052,1.757483471917545
AAK1,basal cell,skin of body,normal,519,29051,1.7865133730336304,1.7667017130756602
AAMDC,basal cell,skin of body,normal,5316,29051,18.298853739974525,1.4368585088864914
AAMP,basal cell,skin of body,normal,847,29051,2.9155622870124955,1.3108139263241063
AANAT,basal cell,skin of body,normal,2,29051,0.0068844445974321,2.2030663334810354
AAR2,basal cell,skin of body,normal,19,29051,0.0654022236756049,1.7106694217502956
AARD,basal cell,skin of body,normal,83,29051,0.2857044507934322,1.4937140292341389
AARS1,basal cell,skin of body,normal,31,29051,0.1067088912601975,1.5253761099873642
AARS2,basal cell,skin of body,normal,13,29051,0.0447488898833086,1.603864238905102
AARSD1,basal cell,skin of body,normal,606,29051,2.085986713021927,1.804000958839023
AASDH,basal cell,skin of body,normal,44,29051,0.1514577811435062,1.624676472190481
AASDHPPT,basal cell,skin of body,normal,342,29051,1.1772400261608895,1.365499392331146
AASS,basal cell,skin of body,normal,59,29051,0.203091115624247,1.5155312325411314
AATBC,basal cell,skin of body,normal,12,29051,0.0413066675845926,1.6824026173954043
AATF,basal cell,skin of body,normal,112,29051,0.3855288974561977,1.608604658694594
AATK,basal cell,skin of body,normal,29,29051,0.0998244466627654,1.5820250560134768
ABALON,basal cell,skin of body,normal,2,29051,0.0068844445974321,1.996660932521706
ABAT,basal cell,skin of body,normal,100,29051,0.3442222298716051,1.8351056330510105
ABCA1,basal cell,skin of body,normal,333,29051,1.1462600254724449,1.7390837191723325
ABCA10,basal cell,skin of body,normal,281,29051,0.9672644659392102,1.8920618654177517
ABCA12,basal cell,skin of body,normal,81,29051,0.2788200061960001,1.3499675368463104
ABCA13,basal cell,skin of body,normal,12,29051,0.0413066675845926,1.3103014448356285
ABCA15P,basal cell,skin of body,normal,18,29051,0.0619600013768889,1.9964628980692227
ABCA2,basal cell,skin of body,normal,132,29051,0.4543733434305188,1.805271346145169
ABCA3,basal cell,skin of body,normal,49,29051,0.1686688926370865,1.6200257435383758
ABCA4,basal cell,skin of body,normal,19,29051,0.0654022236756049,2.283595766768609
ABCA5,basal cell,skin of body,normal,755,29051,2.5988778355306184,2.02645446968482
ABCA6,basal cell,skin of body,normal,69,29051,0.2375133386114075,1.643166957555778
ABCA7,basal cell,skin of body,normal,194,29051,0.6677911259509139,1.9929984910717329
ABCA8,basal cell,skin of body,normal,60,29051,0.206533337922963,1.886397616927265
ABCA9,basal cell,skin of body,normal,51,29051,0.1755533372345186,1.6480458533161135
ABCA9-AS1,basal cell,skin of body,normal,5,29051,0.0172111114935802,2.948751953170204
ABCB1,basal cell,skin of body,normal,50,29051,0.1721111149358025,2.0612975788862142
ABCB10,basal cell,skin of body,normal,103,29051,0.3545488967677532,1.798511559026583
ABCB11,basal cell,skin of body,normal,8,29051,0.0275377783897284,1.7377216463675724
ABCB4,basal cell,skin of body,normal,4,29051,0.0137688891948642,1.7189613911156736
ABCB5,basal cell,skin of body,normal,44,29051,0.1514577811435062,1.5143436966789587
ABCB6,basal cell,skin of body,normal,3,29051,0.0103266668961481,1.2067508992697271
ABCB7,basal cell,skin of body,normal,169,29051,0.5817355684830127,1.764373529627273
ABCB8,basal cell,skin of body,normal,266,29051,0.9156311314584696,1.3893154484597212
ABCB9,basal cell,skin of body,normal,18,29051,0.0619600013768889,1.4749384454847694
ABCC1,basal cell,skin of body,normal,165,29051,0.5679666792881485,1.624985207660805
ABCC10,basal cell,skin of body,normal,129,29051,0.4440466765343706,1.4921718684566871
ABCC11,basal cell,skin of body,normal,4,29051,0.0137688891948642,1.5361460240123397
ABCC2,basal cell,skin of body,normal,39,29051,0.134246669649926,1.673513748145503
ABCC3,basal cell,skin of body,normal,435,29051,1.497366699941482,1.5773796891383285
ABCC4,basal cell,skin of body,normal,59,29051,0.203091115624247,1.6593280760443077
ABCC5,basal cell,skin of body,normal,84,29051,0.2891466730921482,1.7821147927006018
ABCC5-AS1,basal cell,skin of body,normal,1,29051,0.003442222298716,2.2174285105072973
ABCC6,basal cell,skin of body,normal,5,29051,0.0172111114935802,1.9997029275637228
ABCC8,basal cell,skin of body,normal,4,29051,0.0137688891948642,1.376803900312943
ABCC9,basal cell,skin of body,normal,3,29051,0.0103266668961481,1.249801140121106
ABCD1,basal cell,skin of body,normal,236,29051,0.8123644624969881,1.6928474057351723
ABCD2,basal cell,skin of body,normal,2,29051,0.0068844445974321,1.1086147027354594
ABCD3,basal cell,skin of body,normal,140,29051,0.4819111218202472,1.5651699025024808
ABCD4,basal cell,skin of body,normal,480,29051,1.6522667033837046,1.4928624070783896
ABCE1,basal cell,skin of body,normal,3095,29051,10.65367801452618,1.3890977772091302
ABCF1,basal cell,skin of body,normal,94,29051,0.3235688960793088,1.4656005191469823
