gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAAS,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1600618363729442
AAMDC,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.447155366276369
AATF,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1152553007535662
ABCB10,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.6592553890037631
ABCE1,common dendritic progenitor,skin of body,normal,7,24,29.166666666666668,1.3864914181744028
ABCF2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1027752710370018
ABCF3,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.3266898149544726
ABCG1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.3298946574235135
ABHD10,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1362225690154804
ABHD14B,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1469330850958264
ABHD16A,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.7314765322782302
ABHD4,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.3604038107640786
ABI2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.356945019618822
ABI3,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.3573291832801313
ABRACL,common dendritic progenitor,skin of body,normal,16,24,66.66666666666666,1.7814715879946272
ACAA1,common dendritic progenitor,skin of body,normal,3,24,12.5,1.4067540486866197
ACADVL,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.499398844991894
ACAP1,common dendritic progenitor,skin of body,normal,4,24,16.666666666666664,1.748384498193684
ACAP2,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.19325293321253
ACIN1,common dendritic progenitor,skin of body,normal,4,24,16.666666666666664,1.546475493920464
ACOX1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.24760752006914
ACP1,common dendritic progenitor,skin of body,normal,8,24,33.33333333333333,1.54730508629497
ACP3,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.449154649470113
ACSF3,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.7379795097819573
ACTB,common dendritic progenitor,skin of body,normal,23,24,95.83333333333334,4.270799234127134
ACTG1,common dendritic progenitor,skin of body,normal,24,24,100.0,2.5352562858000107
ACTMAP,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.5428896695903445
ACTN4,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1500854997536345
ACTR10,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.3198422329423902
ACTR1A,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.5190450067255366
ACTR2,common dendritic progenitor,skin of body,normal,6,24,25.0,1.312494643247549
ACTR3,common dendritic progenitor,skin of body,normal,13,24,54.16666666666666,1.783495705698133
ACTR6,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.201277038637912
ACY3,common dendritic progenitor,skin of body,normal,17,24,70.83333333333334,2.1679481368864963
ACYP2,common dendritic progenitor,skin of body,normal,3,24,12.5,1.3449966087488905
ADA,common dendritic progenitor,skin of body,normal,3,24,12.5,1.2980972830085775
ADAM10,common dendritic progenitor,skin of body,normal,4,24,16.666666666666664,1.5519612955053832
ADAM28,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.6971484440139348
ADAM8,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.3770194920294736
ADAT1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.414145550046887
ADD1,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.388759273359569
ADD3,common dendritic progenitor,skin of body,normal,5,24,20.833333333333336,1.5214810114303694
ADGRE5,common dendritic progenitor,skin of body,normal,4,24,16.666666666666664,2.1471455669804085
ADGRG5,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1797659422876765
ADGRL1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.307707612736967
ADH5,common dendritic progenitor,skin of body,normal,3,24,12.5,1.362520942960092
ADISSP,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.2864468704705108
ADPGK,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.5575065860854638
ADRM1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.396273775126243
ADSS2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.581275533355727
AFF3,common dendritic progenitor,skin of body,normal,5,24,20.833333333333336,1.7729807033490663
AFF4,common dendritic progenitor,skin of body,normal,3,24,12.5,1.3796409042106943
AFMID,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,2.0930088633356245
AGGF1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.275142669604462
AGO2,common dendritic progenitor,skin of body,normal,3,24,12.5,1.6054761653060368
AGPAT2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.7252545356531066
AGPAT5,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,3.2977695672443805
AGR2,common dendritic progenitor,skin of body,normal,3,24,12.5,1.7868899291704852
AGTRAP,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1471948010840556
AHCY,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.115313402743553
AHDC1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.2675838973833196
AHNAK,common dendritic progenitor,skin of body,normal,4,24,16.666666666666664,1.6195089085061365
AHR,common dendritic progenitor,skin of body,normal,7,24,29.166666666666668,1.4563882007698543
AHSA1,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.3659779565863888
AIDA,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1685772469840774
AIF1,common dendritic progenitor,skin of body,normal,21,24,87.5,2.816924651306004
AIMP1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1021047114469196
AIP,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.7102585852256311
AK6,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.499399807170634
AKAP13,common dendritic progenitor,skin of body,normal,8,24,33.33333333333333,1.4736925304981872
AKIRIN1,common dendritic progenitor,skin of body,normal,3,24,12.5,1.4173304812989886
AKIRIN2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.4945318089638169
AKR1A1,common dendritic progenitor,skin of body,normal,5,24,20.833333333333336,1.2779958532665374
AKR1B1,common dendritic progenitor,skin of body,normal,6,24,25.0,1.460851154189588
AKR7A2,common dendritic progenitor,skin of body,normal,4,24,16.666666666666664,1.3644792857045078
ALAD,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.360775807041799
ALDH1A1,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.761043388918105
ALDOA,common dendritic progenitor,skin of body,normal,11,24,45.83333333333333,1.804546281234389
ALDOC,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.4204754725944595
ALG13,common dendritic progenitor,skin of body,normal,3,24,12.5,1.6227996597115062
ALG1L2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.5875062387239578
ALG3,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.1337691770357343
ALG5,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1562989459358015
ALKBH7,common dendritic progenitor,skin of body,normal,15,24,62.5,1.5500171716414703
ALOX5AP,common dendritic progenitor,skin of body,normal,3,24,12.5,2.3308051331474573
ALYREF,common dendritic progenitor,skin of body,normal,2,24,8.333333333333332,1.3886702367956438
AMDHD2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.202070558721273
AMPD3,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.4226606505340085
AMZ2,common dendritic progenitor,skin of body,normal,3,24,12.5,1.466000156859146
ANAPC11,common dendritic progenitor,skin of body,normal,12,24,50.0,1.639871491804642
ANAPC13,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.5288266604028735
ANAPC15,common dendritic progenitor,skin of body,normal,3,24,12.5,1.2873568409889975
ANAPC16,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.4646110227554403
ANAPC2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.278969950251072
ANGEL2,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.1661404220020544
ANK3,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.2653457649196234
ANKH,common dendritic progenitor,skin of body,normal,1,24,4.166666666666666,1.4118724348643077
