gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,contractile cell,skin of body,normal,44,28385,0.1550114497093535,1.989380003435671
7SK_ENSG00000271394,contractile cell,skin of body,normal,1,28385,0.0035229874933943,2.531946016959251
7SK_ENSG00000274303,contractile cell,skin of body,normal,1,28385,0.0035229874933943,1.4042896096804611
A1BG,contractile cell,skin of body,normal,293,28385,1.0322353355645586,1.2775606275629592
A1BG-AS1,contractile cell,skin of body,normal,364,28385,1.282367447595561,1.4285733431384116
A2M,contractile cell,skin of body,normal,8853,28385,31.18900827902061,1.8422148514100969
A2M-AS1,contractile cell,skin of body,normal,27,28385,0.0951206623216487,1.378185701394433
A2ML1,contractile cell,skin of body,normal,266,28385,0.93711467324291,1.6337751136869303
A2ML1-AS1,contractile cell,skin of body,normal,28,28385,0.0986436498150431,1.6618712717603574
A2ML1-AS2,contractile cell,skin of body,normal,1,28385,0.0035229874933943,1.943992170385288
A4GALT,contractile cell,skin of body,normal,759,28385,2.673947507486349,1.385054012486925
AAAS,contractile cell,skin of body,normal,138,28385,0.4861722740884269,1.253564481603734
AACS,contractile cell,skin of body,normal,19,28385,0.0669367623744935,1.2596520650187042
AADAC,contractile cell,skin of body,normal,633,28385,2.230051083318654,1.477251767216872
AADACL2-AS1,contractile cell,skin of body,normal,53,28385,0.1867183371499031,1.6951766563055994
AADAT,contractile cell,skin of body,normal,54,28385,0.1902413246432975,1.50456186884903
AAGAB,contractile cell,skin of body,normal,322,28385,1.1344019728729964,1.3591100882493847
AAK1,contractile cell,skin of body,normal,1157,28385,4.076096529857319,1.4218694237709817
AAMDC,contractile cell,skin of body,normal,4694,28385,16.53690329399331,1.5058295076506327
AAMP,contractile cell,skin of body,normal,1342,28385,4.727849216135283,1.3052789688108146
AAR2,contractile cell,skin of body,normal,32,28385,0.1127355997886207,1.330228055145069
AARD,contractile cell,skin of body,normal,174,28385,0.6129998238506253,1.4451317750200077
AARS1,contractile cell,skin of body,normal,19,28385,0.0669367623744935,1.334809180691547
AARS2,contractile cell,skin of body,normal,20,28385,0.0704597498678879,1.2532484667515669
AARSD1,contractile cell,skin of body,normal,1194,28385,4.206447067112912,1.6211553163106478
AASDH,contractile cell,skin of body,normal,4,28385,0.0140919499735775,1.167996027264744
AASDHPPT,contractile cell,skin of body,normal,1202,28385,4.234630967060067,1.3452221743944224
AASS,contractile cell,skin of body,normal,358,28385,1.2612295226351946,1.3329392135291012
