gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,dendritic cell,skin of body,normal,3,38720,0.0077479338842975,1.629381427362772
A1BG,dendritic cell,skin of body,normal,461,38720,1.190599173553719,1.3306418492313823
A1BG-AS1,dendritic cell,skin of body,normal,23,38720,0.0594008264462809,1.300871313079557
A1CF,dendritic cell,skin of body,normal,5,38720,0.0129132231404958,1.4928706164277188
A2M,dendritic cell,skin of body,normal,2926,38720,7.556818181818182,1.926921103690852
A2M-AS1,dendritic cell,skin of body,normal,13,38720,0.0335743801652892,1.339919461104905
A2ML1,dendritic cell,skin of body,normal,97,38720,0.2505165289256198,1.4930676303982011
A2ML1-AS1,dendritic cell,skin of body,normal,8,38720,0.0206611570247933,1.9484525032058595
A2ML1-AS2,dendritic cell,skin of body,normal,2,38720,0.0051652892561983,1.514563396275234
A4GALT,dendritic cell,skin of body,normal,57,38720,0.1472107438016529,1.332878587258105
AAAS,dendritic cell,skin of body,normal,96,38720,0.2479338842975206,1.474937793752173
AACS,dendritic cell,skin of body,normal,28,38720,0.0723140495867768,1.3989015602665218
AADAC,dendritic cell,skin of body,normal,337,38720,0.8703512396694215,1.415905342025066
AADACL2-AS1,dendritic cell,skin of body,normal,20,38720,0.0516528925619834,1.6999145024385736
AADAT,dendritic cell,skin of body,normal,17,38720,0.0439049586776859,1.4794399859121314
AAGAB,dendritic cell,skin of body,normal,186,38720,0.4803719008264462,1.425303497788417
AAK1,dendritic cell,skin of body,normal,652,38720,1.6838842975206614,1.5005691523603817
AAMDC,dendritic cell,skin of body,normal,1435,38720,3.706095041322314,1.4586920031468795
AAMP,dendritic cell,skin of body,normal,428,38720,1.1053719008264462,1.3904370517220157
AANAT,dendritic cell,skin of body,normal,2,38720,0.0051652892561983,1.4934314703275076
AAR2,dendritic cell,skin of body,normal,7,38720,0.0180785123966942,1.2143907592184444
AARD,dendritic cell,skin of body,normal,235,38720,0.6069214876033058,1.391950824981288
