gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,endothelial cell of lymphatic vessel,skin of body,normal,9,6035,0.1491300745650373,1.4925727141193732
A1BG-AS1,endothelial cell of lymphatic vessel,skin of body,normal,29,6035,0.4805302402651201,1.427553258595558
A1CF,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.1224458410588036
A2M,endothelial cell of lymphatic vessel,skin of body,normal,972,6035,16.10604805302403,1.6150414422818522
A2M-AS1,endothelial cell of lymphatic vessel,skin of body,normal,3,6035,0.0497100248550124,1.5681967748658063
A2ML1,endothelial cell of lymphatic vessel,skin of body,normal,9,6035,0.1491300745650373,1.589114720921316
A2ML1-AS1,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.7535680701481493
A3GALT2,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,2.0198757604298843
A4GALT,endothelial cell of lymphatic vessel,skin of body,normal,894,6035,14.813587406793705,1.369636707028624
AAAS,endothelial cell of lymphatic vessel,skin of body,normal,30,6035,0.4971002485501243,1.333706757121032
AACS,endothelial cell of lymphatic vessel,skin of body,normal,11,6035,0.1822700911350455,1.4657794959903974
AADAC,endothelial cell of lymphatic vessel,skin of body,normal,73,6035,1.2096106048053024,1.553072362573511
AADACL2-AS1,endothelial cell of lymphatic vessel,skin of body,normal,7,6035,0.115990057995029,2.034798816670358
AADAT,endothelial cell of lymphatic vessel,skin of body,normal,6,6035,0.0994200497100248,1.5773996333756386
AAGAB,endothelial cell of lymphatic vessel,skin of body,normal,192,6035,3.181441590720796,1.4453642825025552
AAK1,endothelial cell of lymphatic vessel,skin of body,normal,163,6035,2.700911350455675,1.5827253309956597
AAMDC,endothelial cell of lymphatic vessel,skin of body,normal,866,6035,14.349627174813588,1.5870816514522486
AAMP,endothelial cell of lymphatic vessel,skin of body,normal,324,6035,5.368682684341342,1.3315869279523604
AANAT,endothelial cell of lymphatic vessel,skin of body,normal,7,6035,0.115990057995029,1.7323949290891305
AAR2,endothelial cell of lymphatic vessel,skin of body,normal,6,6035,0.0994200497100248,1.489203487409658
AARD,endothelial cell of lymphatic vessel,skin of body,normal,23,6035,0.3811101905550952,1.505564296285464
AARS1,endothelial cell of lymphatic vessel,skin of body,normal,14,6035,0.231980115990058,1.3663252062019478
AARS2,endothelial cell of lymphatic vessel,skin of body,normal,4,6035,0.0662800331400165,1.3392067728600678
AARSD1,endothelial cell of lymphatic vessel,skin of body,normal,184,6035,3.048881524440762,1.447905351242361
AASDH,endothelial cell of lymphatic vessel,skin of body,normal,5,6035,0.0828500414250207,1.2956414637095282
AASDHPPT,endothelial cell of lymphatic vessel,skin of body,normal,166,6035,2.750621375310688,1.3996605629250036
AASS,endothelial cell of lymphatic vessel,skin of body,normal,22,6035,0.3645401822700911,1.4139761034238534
AATBC,endothelial cell of lymphatic vessel,skin of body,normal,2,6035,0.0331400165700082,1.4427166078791918
AATF,endothelial cell of lymphatic vessel,skin of body,normal,56,6035,0.927920463960232,1.4323675085667993
AATK,endothelial cell of lymphatic vessel,skin of body,normal,9,6035,0.1491300745650373,1.807493007895288
ABALON,endothelial cell of lymphatic vessel,skin of body,normal,2,6035,0.0331400165700082,1.176529913473289
ABAT,endothelial cell of lymphatic vessel,skin of body,normal,49,6035,0.811930405965203,1.428879217280702
ABCA1,endothelial cell of lymphatic vessel,skin of body,normal,148,6035,2.452361226180613,1.405992509878239
ABCA10,endothelial cell of lymphatic vessel,skin of body,normal,153,6035,2.535211267605634,1.5424167346433586
ABCA13,endothelial cell of lymphatic vessel,skin of body,normal,5,6035,0.0828500414250207,1.3467756118161651
ABCA15P,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.5411632443273084
ABCA2,endothelial cell of lymphatic vessel,skin of body,normal,309,6035,5.12013256006628,1.7350395884064975
ABCA3,endothelial cell of lymphatic vessel,skin of body,normal,15,6035,0.2485501242750621,1.5052133157854577
ABCA4,endothelial cell of lymphatic vessel,skin of body,normal,53,6035,0.8782104391052195,1.9288866187601093
ABCA5,endothelial cell of lymphatic vessel,skin of body,normal,97,6035,1.6072908036454017,1.5758716855486103
ABCA6,endothelial cell of lymphatic vessel,skin of body,normal,97,6035,1.6072908036454017,1.6078191789495213
ABCA7,endothelial cell of lymphatic vessel,skin of body,normal,8,6035,0.1325600662800331,1.817325820120303
ABCA8,endothelial cell of lymphatic vessel,skin of body,normal,23,6035,0.3811101905550952,1.4070834039038322
ABCA9,endothelial cell of lymphatic vessel,skin of body,normal,48,6035,0.7953603976801988,1.5995980787927977
ABCA9-AS1,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.8403415322160728
ABCB1,endothelial cell of lymphatic vessel,skin of body,normal,16,6035,0.2651201325600663,1.8308744477894767
ABCB10,endothelial cell of lymphatic vessel,skin of body,normal,32,6035,0.5302402651201326,1.6740083586340764
ABCB11,endothelial cell of lymphatic vessel,skin of body,normal,3,6035,0.0497100248550124,1.6120594282209784
ABCB4,endothelial cell of lymphatic vessel,skin of body,normal,2,6035,0.0331400165700082,1.877921150299645
ABCB5,endothelial cell of lymphatic vessel,skin of body,normal,32,6035,0.5302402651201326,1.447061996708535
ABCB6,endothelial cell of lymphatic vessel,skin of body,normal,5,6035,0.0828500414250207,1.3577204914745151
ABCB7,endothelial cell of lymphatic vessel,skin of body,normal,34,6035,0.5633802816901409,1.5362526484509278
ABCB8,endothelial cell of lymphatic vessel,skin of body,normal,61,6035,1.0107705053852527,1.4031669248010274
ABCB9,endothelial cell of lymphatic vessel,skin of body,normal,11,6035,0.1822700911350455,1.3801784326196385
ABCC1,endothelial cell of lymphatic vessel,skin of body,normal,23,6035,0.3811101905550952,1.4516398734019007
ABCC10,endothelial cell of lymphatic vessel,skin of body,normal,45,6035,0.7456503728251864,1.690240818053022
ABCC11,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.105943391466758
ABCC12,endothelial cell of lymphatic vessel,skin of body,normal,2,6035,0.0331400165700082,1.40393404115556
ABCC2,endothelial cell of lymphatic vessel,skin of body,normal,25,6035,0.4142502071251036,1.497322044727225
ABCC3,endothelial cell of lymphatic vessel,skin of body,normal,7,6035,0.115990057995029,2.459512032917115
ABCC4,endothelial cell of lymphatic vessel,skin of body,normal,11,6035,0.1822700911350455,1.4136829752304492
ABCC5,endothelial cell of lymphatic vessel,skin of body,normal,23,6035,0.3811101905550952,1.596109182456786
ABCC5-AS1,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,2.2503581564648325
ABCC6,endothelial cell of lymphatic vessel,skin of body,normal,2,6035,0.0331400165700082,1.470688010930311
ABCC8,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.2430199392869177
ABCC9,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.154377917564993
ABCD1,endothelial cell of lymphatic vessel,skin of body,normal,181,6035,2.9991714995857497,1.6526239991400933
ABCD2,endothelial cell of lymphatic vessel,skin of body,normal,3,6035,0.0497100248550124,1.236040487368932
ABCD3,endothelial cell of lymphatic vessel,skin of body,normal,18,6035,0.2982601491300746,1.3846294632200875
ABCD4,endothelial cell of lymphatic vessel,skin of body,normal,571,6035,9.461474730737365,1.4713022631659824
ABCE1,endothelial cell of lymphatic vessel,skin of body,normal,948,6035,15.708367854183928,1.5104855763634455
ABCF1,endothelial cell of lymphatic vessel,skin of body,normal,443,6035,7.340513670256834,1.850139956618284
ABCF2,endothelial cell of lymphatic vessel,skin of body,normal,262,6035,4.341342170671085,1.373362188530412
ABCF2-H2BK1,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.92041110067897
ABCF3,endothelial cell of lymphatic vessel,skin of body,normal,296,6035,4.904722452361226,1.3915306635523572
ABCG1,endothelial cell of lymphatic vessel,skin of body,normal,117,6035,1.9386909693454848,1.4749297775380674
ABCG2,endothelial cell of lymphatic vessel,skin of body,normal,4,6035,0.0662800331400165,1.2822197927458046
ABCG4,endothelial cell of lymphatic vessel,skin of body,normal,4,6035,0.0662800331400165,1.3282417238981972
ABCG5,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.5649569736331836
ABCG8,endothelial cell of lymphatic vessel,skin of body,normal,2,6035,0.0331400165700082,1.2517948583876717
ABHD1,endothelial cell of lymphatic vessel,skin of body,normal,1,6035,0.0165700082850041,1.8590929693960816
ABHD10,endothelial cell of lymphatic vessel,skin of body,normal,43,6035,0.7125103562551781,1.3792744217252284
ABHD11,endothelial cell of lymphatic vessel,skin of body,normal,37,6035,0.6130903065451533,1.406447591140509
ABHD12,endothelial cell of lymphatic vessel,skin of body,normal,145,6035,2.4026512013256007,1.459726137803942
ABHD12B,endothelial cell of lymphatic vessel,skin of body,normal,3,6035,0.0497100248550124,2.0016262232074347
ABHD14A,endothelial cell of lymphatic vessel,skin of body,normal,49,6035,0.811930405965203,1.537949871663033
ABHD14B,endothelial cell of lymphatic vessel,skin of body,normal,72,6035,1.1930405965202984,1.357550784418344
ABHD15,endothelial cell of lymphatic vessel,skin of body,normal,2,6035,0.0331400165700082,1.4956482685346804
ABHD15-AS1,endothelial cell of lymphatic vessel,skin of body,normal,22,6035,0.3645401822700911,3.2768536401471806
ABHD16A,endothelial cell of lymphatic vessel,skin of body,normal,249,6035,4.125932062966031,1.3930390928445529
