gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,endothelial cell of vascular tree,skin of body,normal,23,35979,0.0639261791600655,1.451466353242662
A1BG-AS1,endothelial cell of vascular tree,skin of body,normal,41,35979,0.1139553628505517,1.416415852828847
A1CF,endothelial cell of vascular tree,skin of body,normal,1,35979,0.0027793990939158,1.1224458410588036
A2M,endothelial cell of vascular tree,skin of body,normal,9238,35979,25.67608882959504,1.7196310077097388
A2M-AS1,endothelial cell of vascular tree,skin of body,normal,27,35979,0.0750437755357291,1.3974480052751006
A2ML1,endothelial cell of vascular tree,skin of body,normal,74,35979,0.2056755329497762,1.6164396490653077
A2ML1-AS1,endothelial cell of vascular tree,skin of body,normal,14,35979,0.0389115873148225,2.951769394736997
A2ML1-AS2,endothelial cell of vascular tree,skin of body,normal,1,35979,0.0027793990939158,1.558698714362491
A3GALT2,endothelial cell of vascular tree,skin of body,normal,4,35979,0.0111175963756635,2.2795562824804323
A4GALT,endothelial cell of vascular tree,skin of body,normal,5501,35979,15.28947441563134,1.3748747506302308
AAAS,endothelial cell of vascular tree,skin of body,normal,68,35979,0.1889991383862808,1.3611802685905758
AACS,endothelial cell of vascular tree,skin of body,normal,22,35979,0.0611467800661496,1.372722668187702
AADAC,endothelial cell of vascular tree,skin of body,normal,312,35979,0.8671725173017594,1.529881955909442
AADACL2,endothelial cell of vascular tree,skin of body,normal,1,35979,0.0027793990939158,1.190637362683129
AADACL2-AS1,endothelial cell of vascular tree,skin of body,normal,23,35979,0.0639261791600655,1.7971829912895243
AADACL4,endothelial cell of vascular tree,skin of body,normal,1,35979,0.0027793990939158,1.2367576760857788
AADAT,endothelial cell of vascular tree,skin of body,normal,24,35979,0.0667055782539814,1.6573480440481785
AAGAB,endothelial cell of vascular tree,skin of body,normal,731,35979,2.03174073765252,1.4522027034541969
AAK1,endothelial cell of vascular tree,skin of body,normal,972,35979,2.7015759192862503,1.5354283986286246
AAMDC,endothelial cell of vascular tree,skin of body,normal,4213,35979,11.709608382667668,1.5296222729717537
AAMP,endothelial cell of vascular tree,skin of body,normal,1615,35979,4.488729536674171,1.3028731441183774
AANAT,endothelial cell of vascular tree,skin of body,normal,7,35979,0.0194557936574112,1.7323949290891305
AAR2,endothelial cell of vascular tree,skin of body,normal,47,35979,0.1306317574140471,1.423051409817368
AARD,endothelial cell of vascular tree,skin of body,normal,98,35979,0.2723811112037577,1.4676146326992985
AARS1,endothelial cell of vascular tree,skin of body,normal,70,35979,0.1945579365741127,1.3437202917719189
AARS2,endothelial cell of vascular tree,skin of body,normal,13,35979,0.0361321882209066,1.409516312345188
AARSD1,endothelial cell of vascular tree,skin of body,normal,1228,35979,3.41310208732872,1.4816265956320422
AASDH,endothelial cell of vascular tree,skin of body,normal,21,35979,0.0583673809722338,1.4079788863993248
AASDHPPT,endothelial cell of vascular tree,skin of body,normal,769,35979,2.137357903221324,1.3598844389418392
AASS,endothelial cell of vascular tree,skin of body,normal,64,35979,0.1778815420106173,1.421684821393219
AATBC,endothelial cell of vascular tree,skin of body,normal,2,35979,0.0055587981878317,1.4427166078791918
AATF,endothelial cell of vascular tree,skin of body,normal,244,35979,0.6781733789154785,1.4009852310200253
AATK,endothelial cell of vascular tree,skin of body,normal,41,35979,0.1139553628505517,1.7278264683760327
ABALON,endothelial cell of vascular tree,skin of body,normal,10,35979,0.0277939909391589,1.4140136784393635
ABAT,endothelial cell of vascular tree,skin of body,normal,298,35979,0.8282609299869369,1.5746956127153957
ABCA1,endothelial cell of vascular tree,skin of body,normal,291,35979,0.8088051363295256,1.4455068622727414
ABCA10,endothelial cell of vascular tree,skin of body,normal,621,35979,1.726006837321771,1.5328341244389467
ABCA12,endothelial cell of vascular tree,skin of body,normal,1,35979,0.0027793990939158,1.2687511123990831
ABCA13,endothelial cell of vascular tree,skin of body,normal,12,35979,0.0333527891269907,1.2926745123708194
ABCA15P,endothelial cell of vascular tree,skin of body,normal,5,35979,0.0138969954695794,1.9459427059417176
ABCA2,endothelial cell of vascular tree,skin of body,normal,1168,35979,3.2463381416937658,1.7737008186116685
ABCA3,endothelial cell of vascular tree,skin of body,normal,69,35979,0.1917785374801968,1.561850694444276
ABCA4,endothelial cell of vascular tree,skin of body,normal,70,35979,0.1945579365741127,1.9099266503835792
