gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,endothelial cell,skin of body,normal,1,40502,0.0024690138758579,1.1716274153089663
7SK_ENSG00000202198,endothelial cell,skin of body,normal,323,40502,0.7974914819021283,1.8539419023038048
7SK_ENSG00000271394,endothelial cell,skin of body,normal,3,40502,0.0074070416275739,2.0070641776920417
7SK_ENSG00000274303,endothelial cell,skin of body,normal,5,40502,0.0123450693792899,1.374736230267114
A1BG,endothelial cell,skin of body,normal,23,40502,0.0567873191447335,1.4492619805598843
A1BG-AS1,endothelial cell,skin of body,normal,41,40502,0.1012295689101772,1.416415852828847
A1CF,endothelial cell,skin of body,normal,1,40502,0.0024690138758579,1.1224458410588036
A2M,endothelial cell,skin of body,normal,12056,40502,29.766431287343835,1.9251655857436163
A2M-AS1,endothelial cell,skin of body,normal,27,40502,0.0666633746481655,1.3974480052751006
A2ML1,endothelial cell,skin of body,normal,75,40502,0.1851760406893486,1.6144307377872595
A2ML1-AS1,endothelial cell,skin of body,normal,53,40502,0.130857735420473,1.867480663838508
A2ML1-AS2,endothelial cell,skin of body,normal,1,40502,0.0024690138758579,1.558698714362491
A3GALT2,endothelial cell,skin of body,normal,4,40502,0.0098760555034319,2.2795562824804323
A4GALT,endothelial cell,skin of body,normal,5496,40502,13.56970026171547,1.371474857937362
AAAS,endothelial cell,skin of body,normal,93,40502,0.2296182904547923,1.3516335735740077
AACS,endothelial cell,skin of body,normal,23,40502,0.0567873191447335,1.348843857419863
AADAC,endothelial cell,skin of body,normal,312,40502,0.7703323292676905,1.529881955909442
AADACL2,endothelial cell,skin of body,normal,1,40502,0.0024690138758579,1.190637362683129
AADACL2-AS1,endothelial cell,skin of body,normal,25,40502,0.0617253468964495,1.7726931262835657
AADACL4,endothelial cell,skin of body,normal,1,40502,0.0024690138758579,1.2367576760857788
AADAT,endothelial cell,skin of body,normal,25,40502,0.0617253468964495,1.664769372377353
