gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,1.7508594960209038
A2ML1,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,2.3783674259540275
AAAS,epidermal Langerhans cell,skin of body,normal,2,38,5.263157894736842,1.7457865326231825
AACS,epidermal Langerhans cell,skin of body,normal,3,38,7.894736842105263,1.7878024061767628
AADACL2-AS1,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,3.3012487648118336
AAGAB,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,1.3491688629464973
AAK1,epidermal Langerhans cell,skin of body,normal,6,38,15.789473684210526,2.427758578492549
AAMDC,epidermal Langerhans cell,skin of body,normal,5,38,13.157894736842104,2.832293854060992
AAMP,epidermal Langerhans cell,skin of body,normal,2,38,5.263157894736842,1.5736935010656774
AARS1,epidermal Langerhans cell,skin of body,normal,2,38,5.263157894736842,1.5787307724053223
AASDH,epidermal Langerhans cell,skin of body,normal,3,38,7.894736842105263,1.5983324654567457
AASDHPPT,epidermal Langerhans cell,skin of body,normal,2,38,5.263157894736842,1.448184758636471
AATBC,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,1.29169261968832
AATF,epidermal Langerhans cell,skin of body,normal,2,38,5.263157894736842,2.262062988781857
ABAT,epidermal Langerhans cell,skin of body,normal,7,38,18.421052631578945,2.082966027648694
ABCA1,epidermal Langerhans cell,skin of body,normal,12,38,31.57894736842105,2.167276208440076
ABCA10,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,2.1235811377666725
ABCA2,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,2.8528718493529963
ABCA3,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,1.3494519850532232
ABCA5,epidermal Langerhans cell,skin of body,normal,7,38,18.421052631578945,1.81253082617933
ABCA7,epidermal Langerhans cell,skin of body,normal,13,38,34.21052631578947,2.7295680584843844
ABCB10,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,3.1848136691740763
ABCB5,epidermal Langerhans cell,skin of body,normal,2,38,5.263157894736842,1.5938986557772692
ABCB7,epidermal Langerhans cell,skin of body,normal,5,38,13.157894736842104,1.7317974619378649
ABCB8,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,1.5933509197759703
ABCB9,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,1.6659900919262447
ABCC1,epidermal Langerhans cell,skin of body,normal,17,38,44.73684210526316,1.6037642428847938
ABCC12,epidermal Langerhans cell,skin of body,normal,1,38,2.631578947368421,1.5328378491732968
ABCC3,epidermal Langerhans cell,skin of body,normal,23,38,60.526315789473685,2.9785942543304853
