gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,epidermal cell,skin of body,normal,35,132732,0.0263689238465479,1.3520716177109982
A1BG-AS1,epidermal cell,skin of body,normal,7,132732,0.0052737847693095,1.25248475031189
A1CF,epidermal cell,skin of body,normal,4,132732,0.0030135912967483,1.884106133271785
A2M,epidermal cell,skin of body,normal,465,132732,0.3503299882469939,1.7321127533517586
A2M-AS1,epidermal cell,skin of body,normal,27,132732,0.0203417412530512,1.361823120722553
A2ML1,epidermal cell,skin of body,normal,2079,132732,1.566314076484947,1.7437841620286971
A2ML1-AS1,epidermal cell,skin of body,normal,45,132732,0.0339029020884187,2.6043504139036995
A3GALT2,epidermal cell,skin of body,normal,13,132732,0.009794171714432,2.314697894201715
A4GALT,epidermal cell,skin of body,normal,53,132732,0.0399300846819154,1.3827792180523504
AAAS,epidermal cell,skin of body,normal,178,132732,0.1341048127053009,1.456674951950574
AACS,epidermal cell,skin of body,normal,514,132732,0.3872464816321611,1.5746967275904369
AADAC,epidermal cell,skin of body,normal,519,132732,0.3910134707530964,1.4483433799324554
AADACL2,epidermal cell,skin of body,normal,93,132732,0.0700659976493987,1.3576734515580449
AADACL2-AS1,epidermal cell,skin of body,normal,116,132732,0.0873941476057017,1.9076660255479712
AADACL4,epidermal cell,skin of body,normal,1,132732,0.000753397824187,1.302874757158475
AADAT,epidermal cell,skin of body,normal,11,132732,0.0082873760660579,1.402988268098012
AAGAB,epidermal cell,skin of body,normal,719,132732,0.5416930355905132,1.5034638200618389
AAK1,epidermal cell,skin of body,normal,1610,132732,1.212970496941205,1.5714458410615184
AAMDC,epidermal cell,skin of body,normal,22090,132732,16.64255793629268,1.4626981815421602
AAMP,epidermal cell,skin of body,normal,4203,132732,3.166531055058313,1.3151073259872748
AANAT,epidermal cell,skin of body,normal,6,132732,0.0045203869451225,1.9719254380565097
AAR2,epidermal cell,skin of body,normal,63,132732,0.0474640629237862,1.4211830108980832
AARD,epidermal cell,skin of body,normal,155,132732,0.1167766627489979,1.4861407291568347
AARS1,epidermal cell,skin of body,normal,64,132732,0.0482174607479733,1.4330628317645702
AARS2,epidermal cell,skin of body,normal,42,132732,0.0316427086158575,1.4238794093459872
AARSD1,epidermal cell,skin of body,normal,1866,132732,1.405840339933098,1.5652592124087776
AASDH,epidermal cell,skin of body,normal,89,132732,0.0670524063526504,1.4795531967770716
AASDHPPT,epidermal cell,skin of body,normal,1311,132732,0.9877045475092668,1.3556188698653129
AASS,epidermal cell,skin of body,normal,79,132732,0.0595184281107796,1.4641298921353243
AATBC,epidermal cell,skin of body,normal,37,132732,0.027875719494922,1.5139750803994445
AATF,epidermal cell,skin of body,normal,437,132732,0.3292348491697556,1.42270754220243
AATK,epidermal cell,skin of body,normal,82,132732,0.0617786215833408,1.6713296240965778
ABALON,epidermal cell,skin of body,normal,2,132732,0.0015067956483741,1.996660932521706
ABAT,epidermal cell,skin of body,normal,172,132732,0.1295844257601784,1.7102422295167827
ABCA1,epidermal cell,skin of body,normal,801,132732,0.6034716571738541,1.5860797000513942
ABCA10,epidermal cell,skin of body,normal,677,132732,0.5100503269746557,1.7395625917998114
ABCA12,epidermal cell,skin of body,normal,192,132732,0.14465238224392,1.3910511068762654
ABCA13,epidermal cell,skin of body,normal,21,132732,0.0158213543079287,1.3029759857655625
ABCA15P,epidermal cell,skin of body,normal,35,132732,0.0263689238465479,1.8291589801361632
ABCA2,epidermal cell,skin of body,normal,739,132732,0.5567609920742549,1.6877280434668838
ABCA3,epidermal cell,skin of body,normal,93,132732,0.0700659976493987,1.5225198065732426
ABCA4,epidermal cell,skin of body,normal,107,132732,0.0806135671880179,1.5258833526854323
ABCA5,epidermal cell,skin of body,normal,2545,132732,1.917397462556128,1.6437396717916426
ABCA6,epidermal cell,skin of body,normal,140,132732,0.1054756953861917,1.5599568484963424
ABCA7,epidermal cell,skin of body,normal,613,132732,0.4618328662266823,1.7418441778987253
ABCA8,epidermal cell,skin of body,normal,102,132732,0.0768465780670825,1.7273359947920348
ABCA9,epidermal cell,skin of body,normal,137,132732,0.1032155019136304,1.6294065673684888
ABCA9-AS1,epidermal cell,skin of body,normal,6,132732,0.0045203869451225,2.92970513699745
ABCB1,epidermal cell,skin of body,normal,279,132732,0.2101979929481963,1.6995855615311772
ABCB10,epidermal cell,skin of body,normal,489,132732,0.3684115360274839,1.5976702063570865
ABCB11,epidermal cell,skin of body,normal,17,132732,0.0128077630111804,1.7175970558869391
ABCB4,epidermal cell,skin of body,normal,8,132732,0.0060271825934966,1.80842424910439
ABCB5,epidermal cell,skin of body,normal,49,132732,0.0369164933851671,1.5535706341868054
ABCB6,epidermal cell,skin of body,normal,42,132732,0.0316427086158575,1.460918204974196
ABCB7,epidermal cell,skin of body,normal,361,132732,0.2719766145315372,1.563711655807767
ABCB8,epidermal cell,skin of body,normal,1123,132732,0.8460657565620952,1.4201419497455134
ABCB9,epidermal cell,skin of body,normal,42,132732,0.0316427086158575,1.4860762590489411
ABCC1,epidermal cell,skin of body,normal,257,132732,0.1936232408160805,1.555708761022439
ABCC10,epidermal cell,skin of body,normal,372,132732,0.2802639905975951,1.512023235640163
ABCC11,epidermal cell,skin of body,normal,6,132732,0.0045203869451225,1.8467073203648663
ABCC2,epidermal cell,skin of body,normal,79,132732,0.0595184281107796,1.6380030546846045
ABCC3,epidermal cell,skin of body,normal,1413,132732,1.0645511255763491,1.5128888204446478
ABCC4,epidermal cell,skin of body,normal,118,132732,0.0889009432540758,1.545745793027535
ABCC5,epidermal cell,skin of body,normal,334,132732,0.2516348732784859,1.501098810515499
ABCC5-AS1,epidermal cell,skin of body,normal,3,132732,0.0022601934725612,1.70586850936078
ABCC6,epidermal cell,skin of body,normal,19,132732,0.0143145586595545,1.9712885263568043
