gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1CF,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.8903052943277885
A2M,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,2.782936014416752
A2M-AS1,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.312491707896792
A2ML1,epithelial cell of sweat gland,skin of body,normal,4,173,2.312138728323699,2.8458198716342373
A2ML1-AS1,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.0953751901512714
A3GALT2,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.907222302251277
A4GALT,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.012329727795014
AAAS,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,1.894450734237772
AACS,epithelial cell of sweat gland,skin of body,normal,14,173,8.092485549132949,1.845320520671316
AADACL2-AS1,epithelial cell of sweat gland,skin of body,normal,5,173,2.8901734104046244,2.7032656531689723
AADAT,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.6189933777704146
AAGAB,epithelial cell of sweat gland,skin of body,normal,16,173,9.248554913294797,2.0175973734384263
AAK1,epithelial cell of sweat gland,skin of body,normal,36,173,20.809248554913296,2.3137255589394705
AAMDC,epithelial cell of sweat gland,skin of body,normal,14,173,8.092485549132949,2.517427797452119
AAMP,epithelial cell of sweat gland,skin of body,normal,4,173,2.312138728323699,1.4587995255699475
AANAT,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.546703090567879
AAR2,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.739882384574337
AARD,epithelial cell of sweat gland,skin of body,normal,4,173,2.312138728323699,1.898733885991628
AARS1,epithelial cell of sweat gland,skin of body,normal,4,173,2.312138728323699,1.5813475267159711
AASDH,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.6967601141909876
AASDHPPT,epithelial cell of sweat gland,skin of body,normal,9,173,5.202312138728324,2.0786640618144063
AASS,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.3518103667131518
AATBC,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.6303461769827192
AATF,epithelial cell of sweat gland,skin of body,normal,14,173,8.092485549132949,1.6839510129732014
AATK,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.9444603481904463
ABAT,epithelial cell of sweat gland,skin of body,normal,7,173,4.046242774566474,2.2436725518621303
ABCA1,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.4245369072353784
ABCA10,epithelial cell of sweat gland,skin of body,normal,34,173,19.653179190751445,2.281786563749114
ABCA13,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,1.4714645221582503
ABCA2,epithelial cell of sweat gland,skin of body,normal,11,173,6.358381502890173,2.1871050431415893
ABCA3,epithelial cell of sweat gland,skin of body,normal,11,173,6.358381502890173,1.393656628341841
ABCA4,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,2.442903613542946
ABCA5,epithelial cell of sweat gland,skin of body,normal,47,173,27.167630057803464,1.942286249032088
ABCA6,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,1.7606667406635277
ABCA7,epithelial cell of sweat gland,skin of body,normal,6,173,3.4682080924855487,2.2729204319686587
ABCA8,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.1398396677725477
ABCA9,epithelial cell of sweat gland,skin of body,normal,4,173,2.312138728323699,2.1363360766424595
ABCA9-AS1,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.834471056133683
ABCB1,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.245754749728621
ABCB10,epithelial cell of sweat gland,skin of body,normal,8,173,4.624277456647398,2.093542258174727
ABCB11,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.261027258941216
ABCB5,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,1.689724665908794
ABCB7,epithelial cell of sweat gland,skin of body,normal,16,173,9.248554913294797,1.7716769494678566
ABCB8,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.476953245723504
ABCB9,epithelial cell of sweat gland,skin of body,normal,9,173,5.202312138728324,1.6885007403115595
ABCC1,epithelial cell of sweat gland,skin of body,normal,8,173,4.624277456647398,1.6099078755182714
ABCC10,epithelial cell of sweat gland,skin of body,normal,5,173,2.8901734104046244,2.283319332702163
ABCC2,epithelial cell of sweat gland,skin of body,normal,6,173,3.4682080924855487,1.9245163058457104
ABCC3,epithelial cell of sweat gland,skin of body,normal,5,173,2.8901734104046244,2.262135679473409
ABCC4,epithelial cell of sweat gland,skin of body,normal,7,173,4.046242774566474,1.7765395933556682
ABCC5,epithelial cell of sweat gland,skin of body,normal,13,173,7.514450867052023,1.719629764868119
ABCC6,epithelial cell of sweat gland,skin of body,normal,10,173,5.780346820809249,2.065197626628924
ABCD3,epithelial cell of sweat gland,skin of body,normal,10,173,5.780346820809249,1.7350474537547207
ABCD4,epithelial cell of sweat gland,skin of body,normal,14,173,8.092485549132949,2.2028564924259944
ABCE1,epithelial cell of sweat gland,skin of body,normal,7,173,4.046242774566474,2.3895971978190835
ABCF1,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,1.7409990509608468
ABCG1,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.8213073618087177
ABCG2,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.3141497879270825
ABCG4,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.8753612913783508
ABCG5,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.818612056538569
ABHD10,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.5968250255204184
ABHD11,epithelial cell of sweat gland,skin of body,normal,12,173,6.9364161849710975,2.4457956365283664
ABHD12,epithelial cell of sweat gland,skin of body,normal,12,173,6.9364161849710975,2.2005254490727
ABHD12B,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.305451232751666
ABHD13,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.1312642657622891
ABHD14A,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.436939567033472
ABHD14A-ACY1,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.2052064877382422
ABHD15-AS1,epithelial cell of sweat gland,skin of body,normal,11,173,6.358381502890173,3.3651766571346697
ABHD17A,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.9190235552774535
ABHD17B,epithelial cell of sweat gland,skin of body,normal,7,173,4.046242774566474,1.7559293849630395
ABHD17C,epithelial cell of sweat gland,skin of body,normal,18,173,10.404624277456648,1.7509117917066552
ABHD18,epithelial cell of sweat gland,skin of body,normal,43,173,24.85549132947977,1.7963621328303023
ABHD2,epithelial cell of sweat gland,skin of body,normal,29,173,16.76300578034682,2.86246850163849
ABHD3,epithelial cell of sweat gland,skin of body,normal,10,173,5.780346820809249,2.141089083258007
ABHD4,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.586471659581621
ABHD5,epithelial cell of sweat gland,skin of body,normal,16,173,9.248554913294797,1.9527283722043691
ABHD6,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.4004214099917616
ABHD8,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,3.1161770635588515
ABI1,epithelial cell of sweat gland,skin of body,normal,10,173,5.780346820809249,1.5922855337516844
ABI2,epithelial cell of sweat gland,skin of body,normal,27,173,15.606936416184972,2.351175510556592
ABI3BP,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.48822625293283
ABITRAM,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.6218051645083444
ABL1,epithelial cell of sweat gland,skin of body,normal,8,173,4.624277456647398,1.3177135603655914
ABL2,epithelial cell of sweat gland,skin of body,normal,17,173,9.826589595375722,1.4849541648725555
ABLIM1,epithelial cell of sweat gland,skin of body,normal,28,173,16.184971098265898,1.6418665871865734
ABLIM2,epithelial cell of sweat gland,skin of body,normal,5,173,2.8901734104046244,1.8991220276117036
ABLIM3,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,1.947399936404464
ABO,epithelial cell of sweat gland,skin of body,normal,12,173,6.9364161849710975,2.1476618860305354
ABR,epithelial cell of sweat gland,skin of body,normal,30,173,17.341040462427745,2.6780476091051355
ABRACL,epithelial cell of sweat gland,skin of body,normal,3,173,1.7341040462427744,2.3200860203165967
ABRAXAS1,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,2.1946125046708373
ABRAXAS2,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.6415479632812862
ABT1,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,1.4997868391236633
ABTB1,epithelial cell of sweat gland,skin of body,normal,6,173,3.4682080924855487,2.078086897632975
ABTB2,epithelial cell of sweat gland,skin of body,normal,8,173,4.624277456647398,1.5735993194030369
ABTB3,epithelial cell of sweat gland,skin of body,normal,18,173,10.404624277456648,1.4346889300608332
ACAA1,epithelial cell of sweat gland,skin of body,normal,11,173,6.358381502890173,2.3484431240051773
ACAA2,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.2943221473032422
ACACA,epithelial cell of sweat gland,skin of body,normal,61,173,35.26011560693642,2.691586435818655
ACACB,epithelial cell of sweat gland,skin of body,normal,30,173,17.341040462427745,2.1868858704793954
ACAD10,epithelial cell of sweat gland,skin of body,normal,18,173,10.404624277456648,2.3877174416687925
ACAD11,epithelial cell of sweat gland,skin of body,normal,1,173,0.5780346820809248,1.4220029385781
ACAD8,epithelial cell of sweat gland,skin of body,normal,14,173,8.092485549132949,2.1969114847941165
ACAD9,epithelial cell of sweat gland,skin of body,normal,16,173,9.248554913294797,1.4753657013767398
ACADL,epithelial cell of sweat gland,skin of body,normal,10,173,5.780346820809249,2.604645026449945
ACADM,epithelial cell of sweat gland,skin of body,normal,5,173,2.8901734104046244,1.8314114589245205
ACADS,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.337190062270786
ACADSB,epithelial cell of sweat gland,skin of body,normal,10,173,5.780346820809249,2.2289851228134903
ACADVL,epithelial cell of sweat gland,skin of body,normal,69,173,39.884393063583815,2.8122595211184094
ACAP1,epithelial cell of sweat gland,skin of body,normal,2,173,1.1560693641618496,2.081032911984038
