gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,epithelial cell,skin of body,normal,1,173299,0.0005770373747107,1.1716274153089663
7SK_ENSG00000202198,epithelial cell,skin of body,normal,323,173299,0.1863830720315754,1.8539419023038048
7SK_ENSG00000271394,epithelial cell,skin of body,normal,3,173299,0.0017311121241322,2.0070641776920417
7SK_ENSG00000274303,epithelial cell,skin of body,normal,5,173299,0.0028851868735538,1.374736230267114
A1BG,epithelial cell,skin of body,normal,56,173299,0.0323140929838025,1.402676222046214
A1BG-AS1,epithelial cell,skin of body,normal,43,173299,0.0248126071125626,1.4091357672539315
A1CF,epithelial cell,skin of body,normal,5,173299,0.0028851868735538,1.7317740748291883
A2M,epithelial cell,skin of body,normal,12466,173299,7.193347913144334,1.9199923106442751
A2M-AS1,epithelial cell,skin of body,normal,54,173299,0.031160018234381,1.3735311253154154
A2ML1,epithelial cell,skin of body,normal,2133,173299,1.2308207202580512,1.7444209033348077
A2ML1-AS1,epithelial cell,skin of body,normal,99,173299,0.0571267000963652,2.19659557906364
A2ML1-AS2,epithelial cell,skin of body,normal,1,173299,0.0005770373747107,1.558698714362491
A3GALT2,epithelial cell,skin of body,normal,17,173299,0.0098096353700829,2.3064292796790604
A4GALT,epithelial cell,skin of body,normal,5512,173299,3.180630009405709,1.3735072075913448
AAAS,epithelial cell,skin of body,normal,282,173299,0.1627245396684343,1.4047843007988374
AACS,epithelial cell,skin of body,normal,544,173299,0.3139083318426535,1.5647195327554444
AADAC,epithelial cell,skin of body,normal,829,173299,0.47836398363522,1.4781188308408897
AADACL2,epithelial cell,skin of body,normal,94,173299,0.0542415132228114,1.3558964718891628
AADACL2-AS1,epithelial cell,skin of body,normal,140,173299,0.0807852324595064,1.8882022571237451
AADACL4,epithelial cell,skin of body,normal,2,173299,0.0011540747494215,1.269816216622127
AADAT,epithelial cell,skin of body,normal,38,173299,0.0219274202390088,1.5622451178699834
AAGAB,epithelial cell,skin of body,normal,1516,173299,0.8747886600615121,1.472305943831186
AAK1,epithelial cell,skin of body,normal,2958,173299,1.7068765543944282,1.5365180741427389
AAMDC,epithelial cell,skin of body,normal,27221,173299,15.707534377001595,1.4755600390701165
AAMP,epithelial cell,skin of body,normal,6042,173299,3.486459818002412,1.3085063260639598
AANAT,epithelial cell,skin of body,normal,13,173299,0.0075014858712398,1.863830668963742
AAR2,epithelial cell,skin of body,normal,112,173299,0.0646281859676051,1.4262768653440272
