gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1819488492858738
A1BG-AS1,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.2244863580837662
A2M,erythrocyte,skin of body,normal,4,1008,0.3968253968253968,1.42400598037977
A2ML1,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1971970706922093
A4GALT,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1553962573461862
AADAC,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.382290007893911
AAGAB,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1993175230714883
AAK1,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.546846771363069
AAMDC,erythrocyte,skin of body,normal,30,1008,2.976190476190476,1.3300647100374323
AAMP,erythrocyte,skin of body,normal,5,1008,0.496031746031746,1.2562164379495733
AASDHPPT,erythrocyte,skin of body,normal,4,1008,0.3968253968253968,1.2937652884408255
ABAT,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,1.3651208553043042
ABCA5,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,1.236524678581193
ABCA7,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,2.0301743728629478
ABCB10,erythrocyte,skin of body,normal,9,1008,0.8928571428571428,1.2572120656909571
ABCB6,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.362683000302964
ABCB9,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1627632757105653
ABCC10,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.2989255298702516
ABCD4,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.43382126218447
ABCE1,erythrocyte,skin of body,normal,12,1008,1.1904761904761905,1.361057878386747
ABCF2,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,1.4264643856990056
ABCF3,erythrocyte,skin of body,normal,4,1008,0.3968253968253968,1.383792959567734
ABHD11,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,1.4639741876600223
ABHD12,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.1641272196475274
ABHD12B,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,2.414484240932917
ABHD14A,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.8461446794031453
ABHD14B,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,1.1657443011851998
ABHD16A,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1390568882763086
ABHD17A,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.2139987628294877
ABHD2,erythrocyte,skin of body,normal,4,1008,0.3968253968253968,1.3753911987924512
ABHD3,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,1.3174047935159308
ABHD4,erythrocyte,skin of body,normal,12,1008,1.1904761904761905,1.3581098938745992
ABHD5,erythrocyte,skin of body,normal,7,1008,0.6944444444444444,1.463873565229952
ABHD8,erythrocyte,skin of body,normal,5,1008,0.496031746031746,1.4602414580362746
ABI2,erythrocyte,skin of body,normal,7,1008,0.6944444444444444,1.2634721063479797
ABI3BP,erythrocyte,skin of body,normal,5,1008,0.496031746031746,1.3535241936107063
ABITRAM,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,1.2458267605803357
ABR,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.3552740886717156
ABRACL,erythrocyte,skin of body,normal,56,1008,5.555555555555555,1.5447107393733706
ABTB1,erythrocyte,skin of body,normal,51,1008,5.059523809523809,1.428689216709221
ACAA1,erythrocyte,skin of body,normal,9,1008,0.8928571428571428,1.6561955628617326
ACACA,erythrocyte,skin of body,normal,6,1008,0.5952380952380952,1.365564576835256
ACADVL,erythrocyte,skin of body,normal,23,1008,2.281746031746032,1.3309268231943796
ACAP1,erythrocyte,skin of body,normal,9,1008,0.8928571428571428,1.5605892628741325
ACAP2,erythrocyte,skin of body,normal,10,1008,0.992063492063492,1.307750653833684
ACAP3,erythrocyte,skin of body,normal,5,1008,0.496031746031746,1.48821116436118
ACAT1,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.28694986475685
ACAT2,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1514205186343611
ACBD3,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.3621445482480448
ACD,erythrocyte,skin of body,normal,4,1008,0.3968253968253968,1.1975910959825855
ACHE,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.2531576856186284
ACIN1,erythrocyte,skin of body,normal,5,1008,0.496031746031746,1.1737758921330808
ACKR1,erythrocyte,skin of body,normal,21,1008,2.083333333333333,1.3378333114808072
ACLY,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1834522549255224
ACOT8,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.5306562893617517
ACOX1,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.1944159291086982
ACP1,erythrocyte,skin of body,normal,161,1008,15.97222222222222,1.3399867524582585
ACP2,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.242651818974356
ACP5,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.2027386314023207
ACP6,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1134054222567515
ACP7,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1392454905268237
ACSF3,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.2603451463300794
ACSM3,erythrocyte,skin of body,normal,27,1008,2.6785714285714284,1.4559637716950948
ACSS2,erythrocyte,skin of body,normal,7,1008,0.6944444444444444,1.481845416707395
ACTA1,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,2.8571208569523363
ACTB,erythrocyte,skin of body,normal,706,1008,70.03968253968253,2.114507805617864
ACTC1,erythrocyte,skin of body,normal,3,1008,0.2976190476190476,2.4696268312310843
ACTG1,erythrocyte,skin of body,normal,115,1008,11.408730158730158,1.8522575667569312
ACTL6A,erythrocyte,skin of body,normal,18,1008,1.7857142857142856,1.3410074774679412
ACTN4,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.3324380732910228
ACTR10,erythrocyte,skin of body,normal,30,1008,2.976190476190476,1.3349549177803215
ACTR1A,erythrocyte,skin of body,normal,9,1008,0.8928571428571428,1.2679563470653707
ACTR1B,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.294587523690914
ACTR2,erythrocyte,skin of body,normal,2,1008,0.1984126984126984,1.1947622728924332
ACTR3,erythrocyte,skin of body,normal,64,1008,6.349206349206349,1.346210804876329
ACTR3C,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.1972345578176586
ACTR6,erythrocyte,skin of body,normal,5,1008,0.496031746031746,1.2824958082550926
ACTR8,erythrocyte,skin of body,normal,4,1008,0.3968253968253968,1.432455978703814
ACY3,erythrocyte,skin of body,normal,1,1008,0.0992063492063492,1.153445863981563
