gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,fibroblast,skin of body,normal,2,209189,0.0009560732160868,1.9470911366294588
5S_rRNA_ENSG00000285626,fibroblast,skin of body,normal,1,209189,0.0004780366080434,1.1555237289062934
7SK_ENSG00000202198,fibroblast,skin of body,normal,535,209189,0.2557495853032425,1.894498367828063
7SK_ENSG00000274303,fibroblast,skin of body,normal,10,209189,0.0047803660804344,1.5406135104901637
A1BG,fibroblast,skin of body,normal,2284,209189,1.091835612771226,1.2969243391287415
A1BG-AS1,fibroblast,skin of body,normal,352,209189,0.1682688860312922,1.347212582557503
A1CF,fibroblast,skin of body,normal,5,209189,0.0023901830402172,1.542216738766255
A2M,fibroblast,skin of body,normal,8936,209189,4.271735129476215,1.8602456127115528
A2M-AS1,fibroblast,skin of body,normal,120,209189,0.0573643929652132,1.344036220014903
A2ML1,fibroblast,skin of body,normal,702,209189,0.3355816988464977,1.6127973107669806
A2ML1-AS1,fibroblast,skin of body,normal,157,209189,0.0750517474628207,1.6191067631363814
A2ML1-AS2,fibroblast,skin of body,normal,8,209189,0.0038242928643475,1.7294861295723258
A3GALT2,fibroblast,skin of body,normal,7,209189,0.0033462562563041,2.238626409515127
A4GALT,fibroblast,skin of body,normal,6997,209189,3.3448221464799777,1.358967474527235
A4GNT,fibroblast,skin of body,normal,1,209189,0.0004780366080434,1.242977220212603
AAAS,fibroblast,skin of body,normal,1482,209189,0.708450253120384,1.334454651299078
AACS,fibroblast,skin of body,normal,590,209189,0.2820415987456319,1.3506556534553444
AACSP1_ENSG00000250420,fibroblast,skin of body,normal,1,209189,0.0004780366080434,1.86729729500542
AADAC,fibroblast,skin of body,normal,2492,209189,1.1912672272442624,1.6061850683295371
AADACL2,fibroblast,skin of body,normal,7,209189,0.0033462562563041,1.281229128052209
AADACL2-AS1,fibroblast,skin of body,normal,177,209189,0.0846124796236895,2.1523701674213847
AADACP1_ENSG00000240602,fibroblast,skin of body,normal,41,209189,0.0195995009297812,1.49973521152737
AADAT,fibroblast,skin of body,normal,731,209189,0.3494447604797575,1.4058492667376037
AAGAB,fibroblast,skin of body,normal,2492,209189,1.1912672272442624,1.4099865212435072
AAK1,fibroblast,skin of body,normal,10974,209189,5.245973736668754,1.4398230614437009
AAMDC,fibroblast,skin of body,normal,42283,209189,20.21282189790094,1.5724770943606512
AAMP,fibroblast,skin of body,normal,9407,209189,4.496890371864677,1.3551164161119111
AANAT,fibroblast,skin of body,normal,43,209189,0.020555574145868,1.3377762209234716
AAR2,fibroblast,skin of body,normal,248,209189,0.1185530787947741,1.307053535400254
AARD,fibroblast,skin of body,normal,824,209189,0.3939021650277978,1.4659623032169766
AARS1,fibroblast,skin of body,normal,108,209189,0.0516279536686919,1.2524899738790056
