gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,glial cell,skin of body,normal,65,4936,1.3168557536466774,1.2707558853766088
A1BG-AS1,glial cell,skin of body,normal,16,4936,0.3241491085899514,1.4879021447284708
A1CF,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.824102837280124
A2M,glial cell,skin of body,normal,135,4936,2.735008103727715,1.7866985411697407
A2M-AS1,glial cell,skin of body,normal,7,4936,0.1418152350081037,1.4127281052367324
A2ML1,glial cell,skin of body,normal,8,4936,0.1620745542949757,2.225103912654924
A2ML1-AS1,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.7983281029446416
A3GALT2,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.4092744168122402
A4GALT,glial cell,skin of body,normal,61,4936,1.2358184764991895,1.4220945869553223
AAAS,glial cell,skin of body,normal,85,4936,1.7220421393841168,1.2522502746774726
AACS,glial cell,skin of body,normal,6,4936,0.1215559157212317,1.2359068962871749
AADAC,glial cell,skin of body,normal,35,4936,0.7090761750405186,1.6630785863236863
AADAT,glial cell,skin of body,normal,14,4936,0.2836304700162074,1.2453122454358851
AAGAB,glial cell,skin of body,normal,67,4936,1.357374392220421,1.3201747244900064
AAK1,glial cell,skin of body,normal,150,4936,3.038897893030794,1.3588677949591443
AAMDC,glial cell,skin of body,normal,1211,4936,24.534035656401944,1.5507005902729674
AAMP,glial cell,skin of body,normal,236,4936,4.781199351701783,1.305590484552292
AANAT,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.5618921825421184
AAR2,glial cell,skin of body,normal,8,4936,0.1620745542949757,1.3970666802430207
AARD,glial cell,skin of body,normal,40,4936,0.8103727714748784,1.5745120116195566
AARS1,glial cell,skin of body,normal,4,4936,0.0810372771474878,1.157399177493111
AARS2,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.234484694965751
AARSD1,glial cell,skin of body,normal,148,4936,2.99837925445705,1.5477487066369364
AASDH,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.2065274197059022
AASDHPPT,glial cell,skin of body,normal,467,4936,9.461102106969204,1.357900123105887
AASS,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.2842543877050818
AATF,glial cell,skin of body,normal,63,4936,1.2763371150729337,1.2540201103248274
AATK,glial cell,skin of body,normal,308,4936,6.239870340356564,1.4710172912228194
ABAT,glial cell,skin of body,normal,71,4936,1.4384116693679092,1.3908010059076663
ABCA1,glial cell,skin of body,normal,88,4936,1.7828200972447326,1.4001360609428417
ABCA10,glial cell,skin of body,normal,67,4936,1.357374392220421,1.6617540549175394
ABCA13,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.2271911551276904
ABCA2,glial cell,skin of body,normal,134,4936,2.7147487844408427,1.510427784039044
ABCA3,glial cell,skin of body,normal,7,4936,0.1418152350081037,1.384732414409262
ABCA5,glial cell,skin of body,normal,18,4936,0.3646677471636953,1.2801028556118197
ABCA6,glial cell,skin of body,normal,20,4936,0.4051863857374392,1.4344051933374948
ABCA7,glial cell,skin of body,normal,7,4936,0.1418152350081037,1.5109198766366536
ABCA8,glial cell,skin of body,normal,1258,4936,25.486223662884928,1.528640287494002
ABCA9,glial cell,skin of body,normal,15,4936,0.3038897893030794,1.3919158196929806
ABCB1,glial cell,skin of body,normal,17,4936,0.3444084278768233,2.066688214375974
ABCB10,glial cell,skin of body,normal,36,4936,0.7293354943273906,1.3795198203134968
ABCB11,glial cell,skin of body,normal,9,4936,0.1823338735818476,1.5084646396308443
ABCB4,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.2550878929287033
ABCB5,glial cell,skin of body,normal,15,4936,0.3038897893030794,1.4880170817929892
ABCB6,glial cell,skin of body,normal,6,4936,0.1215559157212317,1.3504451566898996
ABCB7,glial cell,skin of body,normal,12,4936,0.2431118314424635,1.341559035981802
ABCB8,glial cell,skin of body,normal,134,4936,2.7147487844408427,1.3633256077352858
ABCB9,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.5512095978758709
ABCC10,glial cell,skin of body,normal,40,4936,0.8103727714748784,1.3422978446594462
ABCC2,glial cell,skin of body,normal,78,4936,1.5802269043760129,1.4858746767545423
ABCC3,glial cell,skin of body,normal,4,4936,0.0810372771474878,1.410855544024964
ABCC4,glial cell,skin of body,normal,19,4936,0.3849270664505672,1.5125425882652934
ABCC5,glial cell,skin of body,normal,10,4936,0.2025931928687196,1.205570852773412
ABCC6,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.6858764006488316
ABCC9,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.247375484070843
ABCD1,glial cell,skin of body,normal,107,4936,2.1677471636953,1.534429565904075
ABCD3,glial cell,skin of body,normal,7,4936,0.1418152350081037,1.2937118871146838
ABCD4,glial cell,skin of body,normal,403,4936,8.1645056726094,1.3853445623347735
ABCE1,glial cell,skin of body,normal,687,4936,13.918152350081035,1.4455363697253685
ABCF1,glial cell,skin of body,normal,8,4936,0.1620745542949757,1.350072468754551
ABCF2,glial cell,skin of body,normal,43,4936,0.8711507293354943,1.2662815028132317
ABCF2-H2BK1,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.1453570640436526
ABCF3,glial cell,skin of body,normal,235,4936,4.760940032414911,1.3978774511097838
ABCG1,glial cell,skin of body,normal,14,4936,0.2836304700162074,1.35169814904279
ABCG2,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.18885647499979
ABCG5,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.2587098927191638
ABHD1,glial cell,skin of body,normal,8,4936,0.1620745542949757,1.3812619184012789
ABHD10,glial cell,skin of body,normal,190,4936,3.849270664505673,1.361044613266564
ABHD11,glial cell,skin of body,normal,156,4936,3.1604538087520258,1.3403827188467732
ABHD12,glial cell,skin of body,normal,130,4936,2.633711507293355,1.3182765933241976
ABHD12B,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.5358580572659937
ABHD14A,glial cell,skin of body,normal,60,4936,1.2155591572123177,1.3883709399511133
ABHD14B,glial cell,skin of body,normal,90,4936,1.8233387358184765,1.343268679631259
ABHD15,glial cell,skin of body,normal,7,4936,0.1418152350081037,1.4064621341937646
ABHD15-AS1,glial cell,skin of body,normal,1,4936,0.0202593192868719,2.283568381688053
ABHD16A,glial cell,skin of body,normal,211,4936,4.274716369529983,1.3356067373837186
ABHD16B,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.355789807770275
ABHD17A,glial cell,skin of body,normal,34,4936,0.6888168557536467,1.4018717346920058
ABHD17B,glial cell,skin of body,normal,4,4936,0.0810372771474878,1.212214543278071
ABHD17C,glial cell,skin of body,normal,9,4936,0.1823338735818476,1.658781413228353
ABHD2,glial cell,skin of body,normal,534,4936,10.818476499189629,1.5285663671341
ABHD3,glial cell,skin of body,normal,122,4936,2.471636952998379,1.30728290349556
ABHD4,glial cell,skin of body,normal,431,4936,8.731766612641815,1.4349582445282956
ABHD5,glial cell,skin of body,normal,115,4936,2.329821717990276,1.352881613299502
ABHD6,glial cell,skin of body,normal,47,4936,0.9521880064829822,1.3988894066491495
ABHD8,glial cell,skin of body,normal,188,4936,3.8087520259319287,1.60018733144422
ABI1,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.293911199558241
ABI2,glial cell,skin of body,normal,768,4936,15.559157212317668,1.4456975592848451
ABI3,glial cell,skin of body,normal,5,4936,0.1012965964343598,1.816195439378027
ABI3BP,glial cell,skin of body,normal,438,4936,8.87358184764992,1.6478080505806625
ABITRAM,glial cell,skin of body,normal,289,4936,5.854943273905996,1.5527262311589614
ABL1,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.1954852235866702
ABL2,glial cell,skin of body,normal,13,4936,0.2633711507293355,1.2757154024217685
ABLIM1,glial cell,skin of body,normal,60,4936,1.2155591572123177,1.3429208661587395
ABLIM2,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.707185536358434
ABLIM3,glial cell,skin of body,normal,8,4936,0.1620745542949757,1.4970039856247026
ABR,glial cell,skin of body,normal,120,4936,2.4311183144246358,1.4555485883457615
ABRACL,glial cell,skin of body,normal,283,4936,5.733387358184765,1.4756957257023466
ABRAXAS1,glial cell,skin of body,normal,17,4936,0.3444084278768233,1.2687060603872775
ABRAXAS2,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.652842905363334
ABT1,glial cell,skin of body,normal,4,4936,0.0810372771474878,1.4770643429001602
ABTB1,glial cell,skin of body,normal,247,4936,5.004051863857375,1.3533352791671316
ABTB2,glial cell,skin of body,normal,8,4936,0.1620745542949757,1.369544368914824
ABTB3,glial cell,skin of body,normal,12,4936,0.2431118314424635,1.5887727288421551
ACAA1,glial cell,skin of body,normal,414,4936,8.387358184764992,1.4624628686428214
ACAA2,glial cell,skin of body,normal,81,4936,1.641004862236629,1.2086044576972808
ACACA,glial cell,skin of body,normal,145,4936,2.9376012965964344,1.3910851524730503
ACACB,glial cell,skin of body,normal,101,4936,2.046191247974068,1.646591120625041
ACAD10,glial cell,skin of body,normal,71,4936,1.4384116693679092,1.3394011906957233
ACAD11,glial cell,skin of body,normal,4,4936,0.0810372771474878,1.2149450020824712
ACAD8,glial cell,skin of body,normal,60,4936,1.2155591572123177,1.3256966894520104
ACAD9,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.3255534544069218
ACADL,glial cell,skin of body,normal,10,4936,0.2025931928687196,1.4236936846815311
ACADM,glial cell,skin of body,normal,31,4936,0.6280388978930308,1.2582585342368668
ACADS,glial cell,skin of body,normal,91,4936,1.8435980551053488,1.310285852311877
ACADSB,glial cell,skin of body,normal,46,4936,0.9319286871961102,1.3445522394199785
ACADVL,glial cell,skin of body,normal,1430,4936,28.970826580226905,1.5185830858198588
ACAP1,glial cell,skin of body,normal,89,4936,1.8030794165316044,1.5649621994880814
ACAP2,glial cell,skin of body,normal,920,4936,18.638573743922205,1.47370962057038
ACAP3,glial cell,skin of body,normal,128,4936,2.593192868719611,1.3789059967441195
ACAT1,glial cell,skin of body,normal,241,4936,4.882495948136143,1.315372520925884
ACAT2,glial cell,skin of body,normal,124,4936,2.512155591572123,1.300212027961339
ACBD3,glial cell,skin of body,normal,13,4936,0.2633711507293355,1.2029895169930138
ACBD3-AS1,glial cell,skin of body,normal,2,4936,0.0405186385737439,1.6445135814520946
ACBD4,glial cell,skin of body,normal,161,4936,3.261750405186386,1.8162050265862757
ACBD6,glial cell,skin of body,normal,66,4936,1.3371150729335497,1.2645199347422726
ACBD7,glial cell,skin of body,normal,21,4936,0.4254457050243111,1.492931047462991
ACCS,glial cell,skin of body,normal,22,4936,0.4457050243111831,1.3573522875090058
ACD,glial cell,skin of body,normal,85,4936,1.7220421393841168,1.2427196084661232
ACE,glial cell,skin of body,normal,2,4936,0.0405186385737439,1.3222644006811262
ACER1,glial cell,skin of body,normal,2,4936,0.0405186385737439,1.895076174691656
ACER2,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.6137690514541831
ACHE,glial cell,skin of body,normal,47,4936,0.9521880064829822,1.5669750550170307
ACIN1,glial cell,skin of body,normal,474,4936,9.60291734197731,1.3960000705505569
ACKR1,glial cell,skin of body,normal,4,4936,0.0810372771474878,1.1740247800296268
ACKR2,glial cell,skin of body,normal,3,4936,0.0607779578606158,1.3902725228706034
ACKR3,glial cell,skin of body,normal,26,4936,0.526742301458671,1.3689753099920408
ACKR4,glial cell,skin of body,normal,17,4936,0.3444084278768233,1.5112512180201014
ACLY,glial cell,skin of body,normal,50,4936,1.012965964343598,1.412415414050587
ACO2,glial cell,skin of body,normal,4,4936,0.0810372771474878,1.1762635238330112
ACOT1,glial cell,skin of body,normal,32,4936,0.6482982171799028,1.3735700847977326
ACOT11,glial cell,skin of body,normal,1,4936,0.0202593192868719,2.499083759616397
ACOT2,glial cell,skin of body,normal,115,4936,2.329821717990276,1.264296808754604
ACOT4,glial cell,skin of body,normal,5,4936,0.1012965964343598,1.3755764263680412
ACOT6,glial cell,skin of body,normal,1,4936,0.0202593192868719,1.141876290263317
ACOT7,glial cell,skin of body,normal,32,4936,0.6482982171799028,1.265210557353278
