gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A2ML1,granular cell of epidermis,skin of body,normal,28,212,13.20754716981132,1.3695319494736804
AADAC,granular cell of epidermis,skin of body,normal,1,212,0.4716981132075472,1.9496093314476484
AADACL2,granular cell of epidermis,skin of body,normal,1,212,0.4716981132075472,1.145788049714485
AAGAB,granular cell of epidermis,skin of body,normal,1,212,0.4716981132075472,1.188821395710028
AAK1,granular cell of epidermis,skin of body,normal,2,212,0.9433962264150944,1.6577347277927057
AAMDC,granular cell of epidermis,skin of body,normal,24,212,11.320754716981131,1.3260127869911047
AAMP,granular cell of epidermis,skin of body,normal,2,212,0.9433962264150944,1.1959748990417176
ABCA1,granular cell of epidermis,skin of body,normal,1,212,0.4716981132075472,1.4158857988339784
ABCB8,granular cell of epidermis,skin of body,normal,2,212,0.9433962264150944,1.2153025322740194
ABCC3,granular cell of epidermis,skin of body,normal,5,212,2.358490566037736,1.364062391938554
ABCE1,granular cell of epidermis,skin of body,normal,4,212,1.8867924528301887,1.2796364827190578
ABCF2,granular cell of epidermis,skin of body,normal,1,212,0.4716981132075472,1.1095091609588588
ABCF3,granular cell of epidermis,skin of body,normal,2,212,0.9433962264150944,1.190327668273702
ABHD11,granular cell of epidermis,skin of body,normal,2,212,0.9433962264150944,1.3173690749354183
ABHD12B,granular cell of epidermis,skin of body,normal,3,212,1.4150943396226416,1.3595252801010786
ABHD14A,granular cell of epidermis,skin of body,normal,1,212,0.4716981132075472,1.2897826743567309
ABHD17A,granular cell of epidermis,skin of body,normal,6,212,2.8301886792452837,1.2654187820091454
ABHD5,granular cell of epidermis,skin of body,normal,36,212,16.9811320754717,1.2920190673967455
ABHD6,granular cell of epidermis,skin of body,normal,5,212,2.358490566037736,1.457600239739243
ABI2,granular cell of epidermis,skin of body,normal,2,212,0.9433962264150944,1.4021015608220018
ABITRAM,granular cell of epidermis,skin of body,normal,3,212,1.4150943396226416,1.185661881103128
ABLIM1,granular cell of epidermis,skin of body,normal,5,212,2.358490566037736,1.255300459017013
ABR,granular cell of epidermis,skin of body,normal,4,212,1.8867924528301887,1.1632591317139374
ABRACL,granular cell of epidermis,skin of body,normal,10,212,4.716981132075472,1.2759233565540735
ACAA1,granular cell of epidermis,skin of body,normal,3,212,1.4150943396226416,1.2331635023558851
ACAA2,granular cell of epidermis,skin of body,normal,1,212,0.4716981132075472,1.2259096718020976
ACADVL,granular cell of epidermis,skin of body,normal,77,212,36.32075471698113,1.447206923268145
ACAP1,granular cell of epidermis,skin of body,normal,2,212,0.9433962264150944,1.2995929998284113
ACAP2,granular cell of epidermis,skin of body,normal,22,212,10.37735849056604,1.383682737099952
ACAP3,granular cell of epidermis,skin of body,normal,4,212,1.8867924528301887,1.4052325872566238
