gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,group 2 innate lymphoid cell,skin of body,normal,2,324,0.6172839506172839,1.27026936808962
A2M,group 2 innate lymphoid cell,skin of body,normal,2,324,0.6172839506172839,1.1162749332868884
AAGAB,group 2 innate lymphoid cell,skin of body,normal,12,324,3.7037037037037033,1.2686467811058624
AAK1,group 2 innate lymphoid cell,skin of body,normal,40,324,12.34567901234568,1.4692525088456596
AAMDC,group 2 innate lymphoid cell,skin of body,normal,11,324,3.3950617283950617,1.4399772651552312
AAMP,group 2 innate lymphoid cell,skin of body,normal,3,324,0.9259259259259258,1.2527431191295757
AARSD1,group 2 innate lymphoid cell,skin of body,normal,5,324,1.5432098765432098,1.164388155021928
AASDHPPT,group 2 innate lymphoid cell,skin of body,normal,12,324,3.7037037037037033,1.3128579360302244
AATF,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.105272158185383
AATK,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.18620107299309
ABCA2,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.1991177278616538
ABCA7,group 2 innate lymphoid cell,skin of body,normal,4,324,1.2345679012345678,1.3321611832652835
ABCA9-AS1,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.989864636342848
ABCB10,group 2 innate lymphoid cell,skin of body,normal,3,324,0.9259259259259258,1.240379735991558
ABCB8,group 2 innate lymphoid cell,skin of body,normal,7,324,2.1604938271604937,1.3116760755181205
ABCC10,group 2 innate lymphoid cell,skin of body,normal,2,324,0.6172839506172839,1.1226935971938794
ABCD1,group 2 innate lymphoid cell,skin of body,normal,3,324,0.9259259259259258,1.2467430232652714
ABCD4,group 2 innate lymphoid cell,skin of body,normal,6,324,1.851851851851852,1.39252883009505
ABCE1,group 2 innate lymphoid cell,skin of body,normal,24,324,7.4074074074074066,1.3656522593854448
ABCF2,group 2 innate lymphoid cell,skin of body,normal,2,324,0.6172839506172839,1.214503383624245
ABCF3,group 2 innate lymphoid cell,skin of body,normal,8,324,2.469135802469136,1.3208726534135145
ABHD10,group 2 innate lymphoid cell,skin of body,normal,6,324,1.851851851851852,1.2456473452856562
ABHD11,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.3463385378440365
ABHD12,group 2 innate lymphoid cell,skin of body,normal,2,324,0.6172839506172839,1.2507057023413348
ABHD14A,group 2 innate lymphoid cell,skin of body,normal,5,324,1.5432098765432098,1.2914602806356297
ABHD14B,group 2 innate lymphoid cell,skin of body,normal,4,324,1.2345679012345678,1.277415531256509
ABHD16A,group 2 innate lymphoid cell,skin of body,normal,13,324,4.012345679012346,1.2543033576366212
ABHD17A,group 2 innate lymphoid cell,skin of body,normal,2,324,0.6172839506172839,1.266646287838548
ABHD17B,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.4677606778253258
ABHD18,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.1865752066570432
ABHD2,group 2 innate lymphoid cell,skin of body,normal,15,324,4.62962962962963,1.4166730883033112
ABHD3,group 2 innate lymphoid cell,skin of body,normal,9,324,2.7777777777777777,1.2567908103634466
ABHD4,group 2 innate lymphoid cell,skin of body,normal,6,324,1.851851851851852,1.3521713740368542
ABHD5,group 2 innate lymphoid cell,skin of body,normal,5,324,1.5432098765432098,1.209753778802075
ABHD6,group 2 innate lymphoid cell,skin of body,normal,1,324,0.3086419753086419,1.4069167207724018
ABHD8,group 2 innate lymphoid cell,skin of body,normal,10,324,3.08641975308642,1.3377215200153334
