gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.263522388180229
A2ML1,hair follicular keratinocyte,skin of body,normal,13,3396,0.3828032979976443,1.388656369204878
AAAS,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.1947928677061284
AADAC,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.10161009976126
AAGAB,hair follicular keratinocyte,skin of body,normal,3,3396,0.0883392226148409,1.1614681359315635
AAK1,hair follicular keratinocyte,skin of body,normal,26,3396,0.7656065959952886,1.2709948684925876
AAMDC,hair follicular keratinocyte,skin of body,normal,319,3396,9.393404004711424,1.3299653891503882
AAMP,hair follicular keratinocyte,skin of body,normal,28,3396,0.8244994110718492,1.2261212789506115
AARD,hair follicular keratinocyte,skin of body,normal,11,3396,0.3239104829210836,1.2962094009172804
AARSD1,hair follicular keratinocyte,skin of body,normal,54,3396,1.5901060070671376,1.280166696501978
AASDHPPT,hair follicular keratinocyte,skin of body,normal,16,3396,0.4711425206124852,1.2273688280831934
AATF,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.1279774442188404
ABCA1,hair follicular keratinocyte,skin of body,normal,3,3396,0.0883392226148409,1.2086629973246936
ABCA2,hair follicular keratinocyte,skin of body,normal,2,3396,0.0588928150765606,1.2527877376276126
ABCA4,hair follicular keratinocyte,skin of body,normal,13,3396,0.3828032979976443,1.250220893388191
ABCA5,hair follicular keratinocyte,skin of body,normal,6,3396,0.1766784452296819,1.149604593949897
ABCA7,hair follicular keratinocyte,skin of body,normal,4,3396,0.1177856301531213,1.195523958420514
ABCB10,hair follicular keratinocyte,skin of body,normal,3,3396,0.0883392226148409,1.1723109990989335
ABCB8,hair follicular keratinocyte,skin of body,normal,23,3396,0.6772673733804476,1.2323502219607851
ABCC10,hair follicular keratinocyte,skin of body,normal,5,3396,0.1472320376914016,1.2265446146250247
ABCC3,hair follicular keratinocyte,skin of body,normal,87,3396,2.5618374558303887,1.3034708801338608
ABCD4,hair follicular keratinocyte,skin of body,normal,44,3396,1.2956419316843346,1.2457451910221111
ABCE1,hair follicular keratinocyte,skin of body,normal,318,3396,9.363957597173144,1.3432551951859308
ABCF1,hair follicular keratinocyte,skin of body,normal,3,3396,0.0883392226148409,1.1914590264858778
ABCF2,hair follicular keratinocyte,skin of body,normal,25,3396,0.7361601884570083,1.2456702496813423
ABCF3,hair follicular keratinocyte,skin of body,normal,39,3396,1.1484098939929328,1.2342123559690446
ABHD10,hair follicular keratinocyte,skin of body,normal,7,3396,0.2061248527679623,1.163731726677121
ABHD11,hair follicular keratinocyte,skin of body,normal,19,3396,0.5594817432273262,1.2638300396759845
ABHD12,hair follicular keratinocyte,skin of body,normal,2,3396,0.0588928150765606,1.2893595202752266
ABHD14A,hair follicular keratinocyte,skin of body,normal,12,3396,0.3533568904593639,1.195520963869927
ABHD14B,hair follicular keratinocyte,skin of body,normal,2,3396,0.0588928150765606,1.2030181706358327
ABHD16A,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.1050549034156836
ABHD17A,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.14762308369859
ABHD2,hair follicular keratinocyte,skin of body,normal,46,3396,1.3545347467608952,1.2612714844745594
ABHD3,hair follicular keratinocyte,skin of body,normal,6,3396,0.1766784452296819,1.2814300209685396
ABHD4,hair follicular keratinocyte,skin of body,normal,12,3396,0.3533568904593639,1.3502470276348912
ABHD5,hair follicular keratinocyte,skin of body,normal,46,3396,1.3545347467608952,1.2582109327637694
ABHD6,hair follicular keratinocyte,skin of body,normal,17,3396,0.5005889281507656,1.2429385500229455
ABHD8,hair follicular keratinocyte,skin of body,normal,58,3396,1.707891637220259,1.274237699894419
ABI2,hair follicular keratinocyte,skin of body,normal,69,3396,2.0318021201413425,1.2743269767636616
ABI3BP,hair follicular keratinocyte,skin of body,normal,921,3396,27.12014134275618,1.6207445825152011
ABITRAM,hair follicular keratinocyte,skin of body,normal,80,3396,2.3557126030624262,1.3148412142110053
ABLIM1,hair follicular keratinocyte,skin of body,normal,9,3396,0.2650176678445229,1.2110301981926483
ABO,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.4509846072585064
ABR,hair follicular keratinocyte,skin of body,normal,46,3396,1.3545347467608952,1.283449187567952
ABRACL,hair follicular keratinocyte,skin of body,normal,1397,3396,41.13663133097762,1.562420525918505
ABRAXAS1,hair follicular keratinocyte,skin of body,normal,1,3396,0.0294464075382803,1.156748354477456
ABTB1,hair follicular keratinocyte,skin of body,normal,26,3396,0.7656065959952886,1.3158616386658804
ACAA1,hair follicular keratinocyte,skin of body,normal,64,3396,1.884570082449941,1.28531639241046
ACAA2,hair follicular keratinocyte,skin of body,normal,11,3396,0.3239104829210836,1.1812748519922929
ACACA,hair follicular keratinocyte,skin of body,normal,12,3396,0.3533568904593639,1.1986275588220898
ACACB,hair follicular keratinocyte,skin of body,normal,5,3396,0.1472320376914016,1.2119112702763368
ACAD10,hair follicular keratinocyte,skin of body,normal,4,3396,0.1177856301531213,1.237404847031477
ACAD8,hair follicular keratinocyte,skin of body,normal,2,3396,0.0588928150765606,1.1304275926712677
ACADM,hair follicular keratinocyte,skin of body,normal,2,3396,0.0588928150765606,1.2955559005671664
ACADSB,hair follicular keratinocyte,skin of body,normal,2,3396,0.0588928150765606,1.1763135470334096
