gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,immature B cell,skin of body,normal,10,385,2.5974025974025974,1.2651768509924128
A1BG-AS1,immature B cell,skin of body,normal,2,385,0.5194805194805194,1.1717245483997845
A4GALT,immature B cell,skin of body,normal,1,385,0.2597402597402597,1.53642510648078
AAAS,immature B cell,skin of body,normal,6,385,1.5584415584415583,1.1688037036290913
AAGAB,immature B cell,skin of body,normal,34,385,8.831168831168831,1.3457343733964908
AAK1,immature B cell,skin of body,normal,27,385,7.012987012987012,1.3899455066038635
AAMDC,immature B cell,skin of body,normal,3,385,0.7792207792207793,1.6833256991390764
AAMP,immature B cell,skin of body,normal,32,385,8.311688311688311,1.231159509468745
AARSD1,immature B cell,skin of body,normal,10,385,2.5974025974025974,1.499038289301255
AASDHPPT,immature B cell,skin of body,normal,45,385,11.688311688311687,1.3218590556361558
AATF,immature B cell,skin of body,normal,8,385,2.0779220779220777,1.3198255236106076
ABAT,immature B cell,skin of body,normal,1,385,0.2597402597402597,1.2603147991601733
ABCA1,immature B cell,skin of body,normal,12,385,3.116883116883117,1.2859460479295308
ABCA2,immature B cell,skin of body,normal,2,385,0.5194805194805194,1.2746642880644925
ABCA7,immature B cell,skin of body,normal,21,385,5.454545454545454,1.5582908369949913
ABCB1,immature B cell,skin of body,normal,1,385,0.2597402597402597,1.3637628944246327
ABCB10,immature B cell,skin of body,normal,2,385,0.5194805194805194,1.2519053861982354
ABCB7,immature B cell,skin of body,normal,4,385,1.0389610389610389,1.3648401316970915
ABCB8,immature B cell,skin of body,normal,18,385,4.675324675324675,1.464940988214264
ABCC10,immature B cell,skin of body,normal,3,385,0.7792207792207793,1.552790090417273
ABCC5,immature B cell,skin of body,normal,1,385,0.2597402597402597,1.135162010986117
ABCD1,immature B cell,skin of body,normal,12,385,3.116883116883117,1.305655598126722
ABCD4,immature B cell,skin of body,normal,21,385,5.454545454545454,1.5424562891018516
ABCE1,immature B cell,skin of body,normal,56,385,14.545454545454543,1.6072312974931116
ABCF1,immature B cell,skin of body,normal,1,385,0.2597402597402597,1.3542593571757715
ABCF2,immature B cell,skin of body,normal,4,385,1.0389610389610389,1.337652219743631
ABCF3,immature B cell,skin of body,normal,8,385,2.0779220779220777,1.4467405097613908
ABCG1,immature B cell,skin of body,normal,1,385,0.2597402597402597,1.136072301136353
ABHD10,immature B cell,skin of body,normal,33,385,8.571428571428571,1.420407334215528
ABHD11,immature B cell,skin of body,normal,23,385,5.974025974025974,1.4754179143343642
ABHD12,immature B cell,skin of body,normal,5,385,1.2987012987012987,1.3039942465772565
ABHD14B,immature B cell,skin of body,normal,6,385,1.5584415584415583,1.2692446589324362
ABHD16A,immature B cell,skin of body,normal,31,385,8.051948051948052,1.413167496623605
ABHD17A,immature B cell,skin of body,normal,2,385,0.5194805194805194,1.1294386739682385
ABHD17B,immature B cell,skin of body,normal,2,385,0.5194805194805194,1.152542876156658
ABHD18,immature B cell,skin of body,normal,2,385,0.5194805194805194,1.2498602619239103
ABHD2,immature B cell,skin of body,normal,7,385,1.818181818181818,1.6431363704515862
ABHD3,immature B cell,skin of body,normal,44,385,11.428571428571429,1.4831118362294398
