gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,innate lymphoid cell,skin of body,normal,1,20956,0.0047719030349303,2.2441267120066986
A1BG,innate lymphoid cell,skin of body,normal,234,20956,1.1166253101736971,1.2814218145709388
A1BG-AS1,innate lymphoid cell,skin of body,normal,22,20956,0.1049818667684672,1.2746344509971852
A1CF,innate lymphoid cell,skin of body,normal,4,20956,0.0190876121397213,1.2994101967895717
A2M,innate lymphoid cell,skin of body,normal,203,20956,0.968696316090857,1.8061947713077096
A2M-AS1,innate lymphoid cell,skin of body,normal,34,20956,0.1622447031876312,1.3071181817095985
A2ML1,innate lymphoid cell,skin of body,normal,218,20956,1.040274861614812,1.8858632816020957
A2ML1-AS1,innate lymphoid cell,skin of body,normal,11,20956,0.0524909333842336,2.1369740408533766
A2ML1-AS2,innate lymphoid cell,skin of body,normal,17,20956,0.0811223515938156,2.242309614949913
A4GALT,innate lymphoid cell,skin of body,normal,55,20956,0.2624546669211681,1.310766180270452
AAAS,innate lymphoid cell,skin of body,normal,82,20956,0.3912960488642871,1.2959762167164677
AACS,innate lymphoid cell,skin of body,normal,62,20956,0.2958579881656805,1.2678388656953476
AADAC,innate lymphoid cell,skin of body,normal,576,20956,2.7486161481198703,1.4868106765461702
AADACL2-AS1,innate lymphoid cell,skin of body,normal,52,20956,0.2481389578163771,1.7843749368345594
AADAT,innate lymphoid cell,skin of body,normal,1994,20956,9.515174651651078,1.6793096795458766
AAGAB,innate lymphoid cell,skin of body,normal,667,20956,3.18285932429853,1.3837828560242986
AAK1,innate lymphoid cell,skin of body,normal,2895,20956,13.814659286123309,1.50509584844917
AAMDC,innate lymphoid cell,skin of body,normal,571,20956,2.724756632945218,1.545299542778916
AAMP,innate lymphoid cell,skin of body,normal,753,20956,3.5932429853025387,1.3193662570703817
AANAT,innate lymphoid cell,skin of body,normal,4,20956,0.0190876121397213,1.3257862041379167
AAR2,innate lymphoid cell,skin of body,normal,18,20956,0.0858942546287459,1.2698513693762328
AARD,innate lymphoid cell,skin of body,normal,382,20956,1.822866959343386,1.3867264335787073
AARS1,innate lymphoid cell,skin of body,normal,7,20956,0.0334033212445123,1.2176663585429075
AARSD1,innate lymphoid cell,skin of body,normal,461,20956,2.199847299102882,1.5936204843405972
AASDH,innate lymphoid cell,skin of body,normal,5,20956,0.0238595151746516,1.227843896995491
AASDHPPT,innate lymphoid cell,skin of body,normal,1210,20956,5.774002672265699,1.362357056465751
AASS,innate lymphoid cell,skin of body,normal,4,20956,0.0190876121397213,1.238650199957685
AATBC,innate lymphoid cell,skin of body,normal,1,20956,0.0047719030349303,1.158836143225087
AATF,innate lymphoid cell,skin of body,normal,198,20956,0.9448368009162054,1.2986777278708823
AATK,innate lymphoid cell,skin of body,normal,216,20956,1.0307310555449514,1.5149978094577534
ABALON,innate lymphoid cell,skin of body,normal,1,20956,0.0047719030349303,1.68281045466444
ABAT,innate lymphoid cell,skin of body,normal,811,20956,3.8700133613284975,1.451681738276513
ABCA1,innate lymphoid cell,skin of body,normal,60,20956,0.2863141820958198,1.349181644859698
ABCA10,innate lymphoid cell,skin of body,normal,879,20956,4.19450276770376,1.4559160583452186
ABCA13,innate lymphoid cell,skin of body,normal,13,20956,0.0620347394540942,1.1825583589678117
ABCA2,innate lymphoid cell,skin of body,normal,427,20956,2.037602595915251,1.4159965908227896
ABCA3,innate lymphoid cell,skin of body,normal,73,20956,0.3483489215499141,1.308018764189438
ABCA4,innate lymphoid cell,skin of body,normal,29,20956,0.1383851880129795,1.712336807483285
ABCA5,innate lymphoid cell,skin of body,normal,107,20956,0.5105936247375453,1.2957577261602344
ABCA6,innate lymphoid cell,skin of body,normal,423,20956,2.0185149837755296,1.39023087245416
ABCA7,innate lymphoid cell,skin of body,normal,618,20956,2.949036075586944,1.5785757316894815
ABCA8,innate lymphoid cell,skin of body,normal,195,20956,0.9305210918114144,1.3794129162040265
ABCA9,innate lymphoid cell,skin of body,normal,136,20956,0.6489788127505249,1.49097943800614
ABCA9-AS1,innate lymphoid cell,skin of body,normal,5,20956,0.0238595151746516,1.724517446035453
ABCB1,innate lymphoid cell,skin of body,normal,976,20956,4.657377362092002,1.5430063822651678
ABCB10,innate lymphoid cell,skin of body,normal,149,20956,0.7110135522046191,1.4176877088570092
ABCB11,innate lymphoid cell,skin of body,normal,20,20956,0.0954380606986066,1.351692647521777
ABCB5,innate lymphoid cell,skin of body,normal,203,20956,0.968696316090857,1.3554692981618288
ABCB6,innate lymphoid cell,skin of body,normal,22,20956,0.1049818667684672,1.564335537036205
ABCB7,innate lymphoid cell,skin of body,normal,90,20956,0.4294712731437297,1.2725024912188234
ABCB8,innate lymphoid cell,skin of body,normal,295,20956,1.407711395304447,1.4616417709997125
ABCB9,innate lymphoid cell,skin of body,normal,60,20956,0.2863141820958198,1.3740682653515155
ABCC1,innate lymphoid cell,skin of body,normal,14,20956,0.0668066424890246,1.320731094190085
ABCC10,innate lymphoid cell,skin of body,normal,182,20956,0.8684863523573202,1.4860700701651528
ABCC11,innate lymphoid cell,skin of body,normal,2,20956,0.0095438060698606,1.2072637946872553
ABCC2,innate lymphoid cell,skin of body,normal,126,20956,0.6012597824012216,1.4434881370134494
ABCC3,innate lymphoid cell,skin of body,normal,88,20956,0.4199274670738691,2.051100398862541
ABCC4,innate lymphoid cell,skin of body,normal,4,20956,0.0190876121397213,1.464122592701805
ABCC5,innate lymphoid cell,skin of body,normal,42,20956,0.2004199274670738,1.2566188548204178
ABCC5-AS1,innate lymphoid cell,skin of body,normal,4,20956,0.0190876121397213,1.7661832239107798
ABCC6,innate lymphoid cell,skin of body,normal,3,20956,0.0143157091047909,1.4954884818663403
ABCC8,innate lymphoid cell,skin of body,normal,55,20956,0.2624546669211681,1.3609267178586784
ABCD1,innate lymphoid cell,skin of body,normal,3447,20956,16.448749761404848,1.818196248463732
