gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,keratinocyte,skin of body,normal,34,132262,0.0257065521464971,1.352464537040713
A1BG-AS1,keratinocyte,skin of body,normal,6,132262,0.0045364503787936,1.2735241885470157
A1CF,keratinocyte,skin of body,normal,3,132262,0.0022682251893968,1.882039746253117
A2M,keratinocyte,skin of body,normal,454,132262,0.3432580786620495,1.7013739170584892
A2M-AS1,keratinocyte,skin of body,normal,26,132262,0.0196579516414389,1.3637204827543132
A2ML1,keratinocyte,skin of body,normal,2026,132262,1.5318080779059744,1.7179949048500505
A2ML1-AS1,keratinocyte,skin of body,normal,41,132262,0.0309990775884229,2.611252278947585
A3GALT2,keratinocyte,skin of body,normal,10,132262,0.0075607506313226,2.492405438257813
A4GALT,keratinocyte,skin of body,normal,51,132262,0.0385598282197456,1.3689758376420986
AAAS,keratinocyte,skin of body,normal,169,132262,0.1277766856693532,1.4317271223622312
AACS,keratinocyte,skin of body,normal,459,132262,0.3470384539777109,1.5483507807443189
AADAC,keratinocyte,skin of body,normal,517,132262,0.3908908076393824,1.4469107954156408
AADACL2,keratinocyte,skin of body,normal,84,132262,0.0635103053031105,1.3552097614606962
AADACL2-AS1,keratinocyte,skin of body,normal,106,132262,0.0801439566920203,1.8319785395874724
AADACL4,keratinocyte,skin of body,normal,1,132262,0.0007560750631322,1.302874757158475
AADAT,keratinocyte,skin of body,normal,9,132262,0.0068046755681904,1.354987132615256
AAGAB,keratinocyte,skin of body,normal,684,132262,0.5171553431824711,1.47217515541034
AAK1,keratinocyte,skin of body,normal,1534,132262,1.1598191468448986,1.5358274685228974
AAMDC,keratinocyte,skin of body,normal,22046,132262,16.668430841813976,1.4608306742816732
AAMP,keratinocyte,skin of body,normal,4169,132262,3.152076938198424,1.3116694053174986
AANAT,keratinocyte,skin of body,normal,4,132262,0.003024300252529,1.6845366118008251
AAR2,keratinocyte,skin of body,normal,55,132262,0.0415841284722747,1.4111057883985665
AARD,keratinocyte,skin of body,normal,150,132262,0.1134112594698401,1.467884356241718
AARS1,keratinocyte,skin of body,normal,51,132262,0.0385598282197456,1.4090945662087415
AARS2,keratinocyte,skin of body,normal,40,132262,0.0302430025252907,1.4221245134232203
AARSD1,keratinocyte,skin of body,normal,1866,132262,1.4108360678048115,1.5652592124087776
AASDH,keratinocyte,skin of body,normal,80,132262,0.0604860050505814,1.480803396529388
AASDHPPT,keratinocyte,skin of body,normal,1296,132262,0.979873281819419,1.3484046022437817
AASS,keratinocyte,skin of body,normal,73,132262,0.0551934796086555,1.46938250106991
AATBC,keratinocyte,skin of body,normal,34,132262,0.0257065521464971,1.5114881175051362
AATF,keratinocyte,skin of body,normal,404,132262,0.3054543255054361,1.4037386427246523
AATK,keratinocyte,skin of body,normal,78,132262,0.0589738549243168,1.6430891271636774
ABALON,keratinocyte,skin of body,normal,2,132262,0.0015121501262645,1.996660932521706
ABAT,keratinocyte,skin of body,normal,160,132262,0.1209720101011628,1.6705202106651238
ABCA1,keratinocyte,skin of body,normal,775,132262,0.5859581739275075,1.5773364432356227
ABCA10,keratinocyte,skin of body,normal,637,132262,0.4816198152152545,1.708506774860768
ABCA12,keratinocyte,skin of body,normal,183,132262,0.138361736553205,1.395083451408016
