gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,late pro-B cell,skin of body,normal,7,101,6.930693069306932,1.554113442242984
A2M,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.4579071697843164
AAAS,late pro-B cell,skin of body,normal,4,101,3.96039603960396,1.2177727327150638
AAGAB,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.3697965789673954
AAK1,late pro-B cell,skin of body,normal,11,101,10.891089108910892,1.497908840330931
AAMDC,late pro-B cell,skin of body,normal,8,101,7.920792079207921,1.8566529169237247
AAMP,late pro-B cell,skin of body,normal,10,101,9.9009900990099,1.2193850935422048
AARSD1,late pro-B cell,skin of body,normal,2,101,1.98019801980198,2.075940576597653
AASDHPPT,late pro-B cell,skin of body,normal,18,101,17.82178217821782,1.3397682246937488
AATF,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.2521752059810507
ABCA1,late pro-B cell,skin of body,normal,16,101,15.84158415841584,1.4622874162001946
ABCA9,late pro-B cell,skin of body,normal,4,101,3.96039603960396,1.522785645049214
ABCB8,late pro-B cell,skin of body,normal,5,101,4.950495049504951,1.613584507440062
ABCC10,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.6807253671717897
ABCC5,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.117624537469084
ABCD1,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3471328399570357
ABCD4,late pro-B cell,skin of body,normal,17,101,16.831683168316832,1.7325156826144197
ABCE1,late pro-B cell,skin of body,normal,14,101,13.861386138613865,1.591183416636419
ABCF2,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.4651698102397064
ABCF3,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.734438001567281
ABCG1,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.2722102058607525
ABHD10,late pro-B cell,skin of body,normal,10,101,9.9009900990099,1.4921701976956985
ABHD11,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.2050136955265032
ABHD12,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.4449424397076995
ABHD12B,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.225669373021511
ABHD14B,late pro-B cell,skin of body,normal,4,101,3.96039603960396,1.270918161908564
ABHD16A,late pro-B cell,skin of body,normal,5,101,4.950495049504951,1.46528744380395
ABHD17A,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.1599366900872146
ABHD17B,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3628646106181794
ABHD2,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.4099462684748536
ABHD3,late pro-B cell,skin of body,normal,6,101,5.9405940594059405,1.3141992909963116
ABHD5,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3827516367898265
ABHD8,late pro-B cell,skin of body,normal,13,101,12.871287128712872,1.8215586441731515
ABI1,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3102984384154936
ABI2,late pro-B cell,skin of body,normal,7,101,6.930693069306932,1.498787280189828
ABITRAM,late pro-B cell,skin of body,normal,6,101,5.9405940594059405,1.683782378594839
ABR,late pro-B cell,skin of body,normal,5,101,4.950495049504951,1.644530419047502
ABRACL,late pro-B cell,skin of body,normal,55,101,54.45544554455446,2.0838562539722707
ABRAXAS1,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3349292300318372
ABT1,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.1910468911924088
ABTB1,late pro-B cell,skin of body,normal,22,101,21.782178217821784,1.6110983236043297
ACAA1,late pro-B cell,skin of body,normal,24,101,23.76237623762376,1.3692835090233648
ACAA2,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.4040973866611206
ACACA,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.6549191595489467
ACAD10,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.564044232593663
ACAD11,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.3219832831539973
ACAD8,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3811417073973704
ACADM,late pro-B cell,skin of body,normal,6,101,5.9405940594059405,1.234283470445934
ACADSB,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3104631092782524
ACADVL,late pro-B cell,skin of body,normal,17,101,16.831683168316832,1.7129606416289036
ACAP1,late pro-B cell,skin of body,normal,16,101,15.84158415841584,1.824888373048188
ACAP2,late pro-B cell,skin of body,normal,35,101,34.65346534653465,1.8691057196847112
ACAP3,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.572398319742815
ACAT1,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.3003450708475888
ACAT2,late pro-B cell,skin of body,normal,4,101,3.96039603960396,1.2344914919062244
ACBD3,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.1319066073027984
ACBD6,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.2334801783984524
ACBD7,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.1090711942161742
ACD,late pro-B cell,skin of body,normal,6,101,5.9405940594059405,1.2460130154170268
ACIN1,late pro-B cell,skin of body,normal,21,101,20.792079207920796,1.5714710948794517
ACLY,late pro-B cell,skin of body,normal,2,101,1.98019801980198,1.1637290890184246
ACOT2,late pro-B cell,skin of body,normal,1,101,0.99009900990099,1.2022351302384848
ACOT8,late pro-B cell,skin of body,normal,7,101,6.930693069306932,1.493589076258698
ACOT9,late pro-B cell,skin of body,normal,3,101,2.9702970297029703,1.1956966496657968
