gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,leukocyte,skin of body,normal,7,193020,0.0036265671951093,2.538131186877842
7SK_ENSG00000202198,leukocyte,skin of body,normal,1156,193020,0.5989016682209097,2.047597745386023
7SK_ENSG00000271394,leukocyte,skin of body,normal,6,193020,0.0031084861672365,2.0259656953512475
7SK_ENSG00000274303,leukocyte,skin of body,normal,13,193020,0.0067350533623458,1.690628786928302
A1BG,leukocyte,skin of body,normal,2580,193020,1.3366490519117191,1.3120543990037623
A1BG-AS1,leukocyte,skin of body,normal,214,193020,0.1108693399647705,1.3175280652435084
A1CF,leukocyte,skin of body,normal,25,193020,0.0129520256968189,1.3754619349006691
A2M,leukocyte,skin of body,normal,19816,193020,10.2662936483266,2.0921597981916373
A2M-AS1,leukocyte,skin of body,normal,142,193020,0.0735675059579318,1.345840644653692
A2ML1,leukocyte,skin of body,normal,1241,193020,0.6429385555900943,1.7149017370536064
A2ML1-AS1,leukocyte,skin of body,normal,335,193020,0.1735571443373743,1.7360431908519425
A2ML1-AS2,leukocyte,skin of body,normal,84,193020,0.0435188063413117,2.100764780601464
A2MP1_ENSG00000256069,leukocyte,skin of body,normal,1,193020,0.0005180810278727,1.178547805064549
A3GALT2,leukocyte,skin of body,normal,9,193020,0.0046627292508548,1.4101208710995037
A4GALT,leukocyte,skin of body,normal,374,193020,0.1937623044244119,1.3518216111851498
A4GNT,leukocyte,skin of body,normal,1,193020,0.0005180810278727,1.713614510009285
AAAS,leukocyte,skin of body,normal,671,193020,0.3476323697026215,1.3179953987727693
AACS,leukocyte,skin of body,normal,244,193020,0.1264117708009532,1.292681483086621
AACSP1_ENSG00000250420,leukocyte,skin of body,normal,4,193020,0.002072324111491,1.2596930321286457
AADAC,leukocyte,skin of body,normal,3693,193020,1.9132732359341,1.4763052172372593
AADACL2-AS1,leukocyte,skin of body,normal,406,193020,0.2103408973163403,1.7233029006819245
AADACL3,leukocyte,skin of body,normal,1,193020,0.0005180810278727,1.5437471388979729
AADACP1_ENSG00000240602,leukocyte,skin of body,normal,1,193020,0.0005180810278727,2.7828127746564397
AADAT,leukocyte,skin of body,normal,6584,193020,3.4110454875142477,1.7416796787186055
AAGAB,leukocyte,skin of body,normal,4053,193020,2.099782405968293,1.3921248357718676
AAK1,leukocyte,skin of body,normal,19164,193020,9.92850481815356,1.4892002583284276
AAMDC,leukocyte,skin of body,normal,7882,193020,4.083514661693089,1.5337979466978109
AAMP,leukocyte,skin of body,normal,4624,193020,2.395606672883639,1.3258518821731973
AANAT,leukocyte,skin of body,normal,22,193020,0.0113977826132007,1.36391555574816
AAR2,leukocyte,skin of body,normal,87,193020,0.04507304942493,1.2542715895037253
AARD,leukocyte,skin of body,normal,2273,193020,1.1775981763547818,1.4183511100903317
AARS1,leukocyte,skin of body,normal,90,193020,0.0466272925085483,1.283892900135232
AARS2,leukocyte,skin of body,normal,184,193020,0.0953269091285877,1.3257000081970756
AARSD1,leukocyte,skin of body,normal,3552,193020,1.8402238110040408,1.5502164136316818
AASDH,leukocyte,skin of body,normal,74,193020,0.0383379960625841,1.2899727381235149
AASDHPPT,leukocyte,skin of body,normal,5846,193020,3.028701688944151,1.3745931840651369
AASS,leukocyte,skin of body,normal,58,193020,0.03004869961662,1.3051798409287672
AATBC,leukocyte,skin of body,normal,39,193020,0.0202051600870376,1.370775856733433
AATF,leukocyte,skin of body,normal,1237,193020,0.6408662314786032,1.3062921983871822
AATK,leukocyte,skin of body,normal,1902,193020,0.985390115013988,1.5076379610711383
ABALON,leukocyte,skin of body,normal,13,193020,0.0067350533623458,1.403050739459084
ABAT,leukocyte,skin of body,normal,4297,193020,2.2261941767692464,1.4484263716709072
ABCA1,leukocyte,skin of body,normal,16259,193020,8.423479432183195,1.658384501079125
ABCA10,leukocyte,skin of body,normal,4911,193020,2.544295927883121,1.462634163183817
ABCA12,leukocyte,skin of body,normal,1,193020,0.0005180810278727,1.3377986450148251
ABCA13,leukocyte,skin of body,normal,80,193020,0.0414464822298207,1.365986951176671
ABCA15P,leukocyte,skin of body,normal,44,193020,0.0227955652264014,1.4490720706139617
ABCA17P,leukocyte,skin of body,normal,21,193020,0.0108797015853279,1.5830965763221072
ABCA2,leukocyte,skin of body,normal,1125,193020,0.5828411563568542,1.4394554550673733
ABCA3,leukocyte,skin of body,normal,364,193020,0.1885814941456844,1.348376199592224
ABCA3P1,leukocyte,skin of body,normal,1,193020,0.0005180810278727,1.2209539360068062
ABCA4,leukocyte,skin of body,normal,180,193020,0.0932545850170966,1.625576346500162
ABCA5,leukocyte,skin of body,normal,1061,193020,0.5496839705729976,1.4144789728673526
ABCA6,leukocyte,skin of body,normal,2829,193020,1.4656512278520362,1.4207091875200917
ABCA7,leukocyte,skin of body,normal,4208,193020,2.180084965288571,1.5465116015181688
ABCA8,leukocyte,skin of body,normal,798,193020,0.4134286602424619,1.4274651936611475
ABCA9,leukocyte,skin of body,normal,1133,193020,0.5869858045798363,1.4883275454291702
ABCA9-AS1,leukocyte,skin of body,normal,88,193020,0.0455911304528028,1.5927949005284157
ABCB1,leukocyte,skin of body,normal,1592,193020,0.8247849963734328,1.5783617553476883
ABCB10,leukocyte,skin of body,normal,1379,193020,0.714433737436535,1.4249748991854192
ABCB11,leukocyte,skin of body,normal,97,193020,0.0502538597036576,1.3751129902487649
ABCB4,leukocyte,skin of body,normal,10,193020,0.0051808102787275,1.3468904332969769
ABCB5,leukocyte,skin of body,normal,1729,193020,0.8957620971920007,1.369618279108412
ABCB6,leukocyte,skin of body,normal,208,193020,0.1077608537975339,1.4599168891656105
ABCB7,leukocyte,skin of body,normal,615,193020,0.318619832141747,1.3279791788945086
ABCB8,leukocyte,skin of body,normal,2429,193020,1.2584188167029324,1.4260942212507783
ABCB9,leukocyte,skin of body,normal,379,193020,0.1963527095637757,1.3707740694132091
ABCC1,leukocyte,skin of body,normal,581,193020,0.3010050771940731,1.347927035125147
ABCC10,leukocyte,skin of body,normal,1619,193020,0.8387731841259973,1.472366541277824
ABCC11,leukocyte,skin of body,normal,16,193020,0.0082892964459641,1.2950149836951683
ABCC12,leukocyte,skin of body,normal,5,193020,0.0025904051393637,1.2907100416607509
ABCC2,leukocyte,skin of body,normal,725,193020,0.3756087452077504,1.458582742678132
ABCC3,leukocyte,skin of body,normal,3955,193020,2.049010465236763,2.289238790409416
ABCC4,leukocyte,skin of body,normal,1107,193020,0.5735156978551446,1.5260051089858857
ABCC5,leukocyte,skin of body,normal,673,193020,0.348668531758367,1.313738281281066
ABCC5-AS1,leukocyte,skin of body,normal,59,193020,0.0305667806444928,1.645098066914246
ABCC6,leukocyte,skin of body,normal,59,193020,0.0305667806444928,1.2895177300124574
ABCC6P1_ENSG00000256340,leukocyte,skin of body,normal,2,193020,0.0010361620557455,1.2883751886317838
ABCC6P2_ENSG00000255277,leukocyte,skin of body,normal,1,193020,0.0005180810278727,1.1843315108495462
ABCC8,leukocyte,skin of body,normal,1521,193020,0.7880012433944669,1.3791485213791423
ABCC9,leukocyte,skin of body,normal,3,193020,0.0015542430836182,1.6295886259578396
ABCD1,leukocyte,skin of body,normal,23813,193020,12.337063516734018,1.7507730278027414
ABCD2,leukocyte,skin of body,normal,5,193020,0.0025904051393637,1.1926480181819066
ABCD3,leukocyte,skin of body,normal,156,193020,0.0808206403481504,1.313444108295387
ABCD4,leukocyte,skin of body,normal,6719,193020,3.48098642627707,1.4705947668279908
ABCE1,leukocyte,skin of body,normal,19643,193020,10.176665630504612,1.590011932072916
ABCF1,leukocyte,skin of body,normal,648,193020,0.335716506061548,1.2753212689348377
ABCF2,leukocyte,skin of body,normal,2581,193020,1.3371671329395918,1.3835312871728662
ABCF2-H2BK1,leukocyte,skin of body,normal,58,193020,0.03004869961662,1.355128516124774
ABCF3,leukocyte,skin of body,normal,5574,193020,2.8877836493627607,1.4817773133763588
ABCG1,leukocyte,skin of body,normal,1515,193020,0.7848927572272303,1.303544439605789
ABCG2,leukocyte,skin of body,normal,107,193020,0.0554346699823852,1.2412547288499658
ABCG5,leukocyte,skin of body,normal,2,193020,0.0010361620557455,1.2708144150135363
ABCG8,leukocyte,skin of body,normal,30,193020,0.0155424308361827,1.3041279856148869
ABHD1,leukocyte,skin of body,normal,140,193020,0.0725313439021863,1.3985378211956632
ABHD10,leukocyte,skin of body,normal,2860,193020,1.4817117397160915,1.405068862199251
ABHD11,leukocyte,skin of body,normal,1908,193020,0.9884986011812248,1.4320691011276163
ABHD12,leukocyte,skin of body,normal,10158,193020,5.2626670811314895,1.4059171555866117
ABHD12B,leukocyte,skin of body,normal,10,193020,0.0051808102787275,1.3829177760814126
ABHD13,leukocyte,skin of body,normal,20,193020,0.0103616205574551,1.2737114023703997
ABHD14A,leukocyte,skin of body,normal,2234,193020,1.1573930162677442,1.4808616867403244
ABHD14A-ACY1,leukocyte,skin of body,normal,16,193020,0.0082892964459641,1.2295429850924278
ABHD14B,leukocyte,skin of body,normal,2133,193020,1.1050668324525956,1.299151075275914
ABHD15,leukocyte,skin of body,normal,41,193020,0.0212413221427831,1.207989157418276
ABHD15-AS1,leukocyte,skin of body,normal,1739,193020,0.9009429074707284,2.3870967582789757
ABHD16A,leukocyte,skin of body,normal,3652,193020,1.8920319137913169,1.3893897770259451
ABHD16B,leukocyte,skin of body,normal,153,193020,0.0792663972645321,1.405589541157519
ABHD17A,leukocyte,skin of body,normal,3226,193020,1.6713293959175215,1.332240140872211
ABHD17AP6,leukocyte,skin of body,normal,1,193020,0.0005180810278727,1.1492174362378045
ABHD17B,leukocyte,skin of body,normal,2428,193020,1.2579007356750596,1.3648719657724464
