gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,macrophage,skin of body,normal,3,43918,0.0068309121544696,2.2026354055716726
7SK_ENSG00000202198,macrophage,skin of body,normal,475,43918,1.081561091124368,1.9632616787060413
7SK_ENSG00000271394,macrophage,skin of body,normal,2,43918,0.0045539414363131,1.6103239753169278
7SK_ENSG00000274303,macrophage,skin of body,normal,4,43918,0.0091078828726262,1.5455315851849407
A1BG,macrophage,skin of body,normal,340,43918,0.7741700441732319,1.3290794285044487
A1BG-AS1,macrophage,skin of body,normal,50,43918,0.1138485359078282,1.3704222669893449
A2M,macrophage,skin of body,normal,15553,43918,35.413725579489046,2.154062841447858
A2M-AS1,macrophage,skin of body,normal,24,43918,0.0546472972357575,1.3140725430183169
A2ML1,macrophage,skin of body,normal,185,43918,0.4212395828589644,1.5513686111730078
A2ML1-AS1,macrophage,skin of body,normal,44,43918,0.1001867115988888,1.5788941856588194
A2ML1-AS2,macrophage,skin of body,normal,4,43918,0.0091078828726262,1.4623608406896669
A3GALT2,macrophage,skin of body,normal,3,43918,0.0068309121544696,1.3244160246435916
A4GALT,macrophage,skin of body,normal,68,43918,0.1548340088346463,1.360495586984664
A4GNT,macrophage,skin of body,normal,2,43918,0.0045539414363131,1.7232087480503064
AAAS,macrophage,skin of body,normal,203,43918,0.4622250557857825,1.2893566741646487
AACS,macrophage,skin of body,normal,41,43918,0.0933557994444191,1.303164369995204
AADAC,macrophage,skin of body,normal,630,43918,1.4344915524386357,1.436381284076658
AADACL2-AS1,macrophage,skin of body,normal,35,43918,0.0796939751354797,1.4736110539322709
AADACP1_ENSG00000240602,macrophage,skin of body,normal,1,43918,0.0022769707181565,2.7828127746564397
AADAT,macrophage,skin of body,normal,35,43918,0.0796939751354797,1.422385123973776
AAGAB,macrophage,skin of body,normal,529,43918,1.2045175099048226,1.3886792435587836
AAK1,macrophage,skin of body,normal,5637,43918,12.835283938248557,1.486232892083437
AAMDC,macrophage,skin of body,normal,3185,43918,7.252151737328657,1.5208721426560292
AAMP,macrophage,skin of body,normal,1130,43918,2.572976911516918,1.3397879335117668
AANAT,macrophage,skin of body,normal,10,43918,0.0227697071815656,1.342054409177443
AAR2,macrophage,skin of body,normal,18,43918,0.0409854729268181,1.21499320635211
AARD,macrophage,skin of body,normal,403,43918,0.9176191994170956,1.4145367218106113
AARS1,macrophage,skin of body,normal,33,43918,0.0751400336991666,1.252202718749914
AARS2,macrophage,skin of body,normal,139,43918,0.3164989298237625,1.316838930014114
