gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,mast cell,skin of body,normal,1,3268,0.0305997552019583,2.7968928923474072
7SK_ENSG00000202198,mast cell,skin of body,normal,93,3268,2.8457772337821297,2.204957779559765
7SK_ENSG00000274303,mast cell,skin of body,normal,7,3268,0.2141982864137086,1.6921849062983814
A1BG,mast cell,skin of body,normal,74,3268,2.2643818849449207,1.3972557384209694
A1BG-AS1,mast cell,skin of body,normal,9,3268,0.2753977968176255,1.3260410097299475
A2M,mast cell,skin of body,normal,115,3268,3.518971848225214,1.7802736337273906
A2M-AS1,mast cell,skin of body,normal,11,3268,0.3365973072215422,1.354896742921418
A2ML1,mast cell,skin of body,normal,6,3268,0.1835985312117503,1.7927575951594366
A2ML1-AS1,mast cell,skin of body,normal,72,3268,2.203182374541004,1.7979443686461825
A4GALT,mast cell,skin of body,normal,12,3268,0.3671970624235006,1.651983161669426
AAAS,mast cell,skin of body,normal,16,3268,0.4895960832313341,1.2964317131061631
AACS,mast cell,skin of body,normal,3,3268,0.0917992656058751,1.3849694710250076
AACSP1_ENSG00000250420,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.3085920647075642
AADAC,mast cell,skin of body,normal,43,3268,1.3157894736842104,1.8856766534455784
AADACL2-AS1,mast cell,skin of body,normal,4,3268,0.1223990208078335,1.908035793713328
AADAT,mast cell,skin of body,normal,14,3268,0.4283965728274173,1.8765324695910148
AAGAB,mast cell,skin of body,normal,64,3268,1.9583843329253363,1.4097756929631515
AAK1,mast cell,skin of body,normal,370,3268,11.321909424724602,1.5012655330114506
AAMDC,mast cell,skin of body,normal,271,3268,8.292533659730722,1.6947904598863088
AAMP,mast cell,skin of body,normal,128,3268,3.9167686658506726,1.3373787004694724
AAR2,mast cell,skin of body,normal,2,3268,0.0611995104039167,1.262553664513176
AARD,mast cell,skin of body,normal,95,3268,2.9069767441860463,1.5522931723614817
AARS1,mast cell,skin of body,normal,7,3268,0.2141982864137086,1.2682332194747066
AARS2,mast cell,skin of body,normal,5,3268,0.1529987760097919,1.3530204407863695
AARSD1,mast cell,skin of body,normal,58,3268,1.7747858017135865,1.579552211737257
AASDH,mast cell,skin of body,normal,2,3268,0.0611995104039167,1.2786836142403497
AASDHPPT,mast cell,skin of body,normal,122,3268,3.733170134638923,1.388304356945809
AASS,mast cell,skin of body,normal,9,3268,0.2753977968176255,1.431608970023672
AATF,mast cell,skin of body,normal,28,3268,0.8567931456548347,1.2981011873032944
AATK,mast cell,skin of body,normal,5,3268,0.1529987760097919,1.571371716307896
ABAT,mast cell,skin of body,normal,37,3268,1.1321909424724603,1.781644854430404
ABCA1,mast cell,skin of body,normal,675,3268,20.65483476132191,1.7155195963612755
ABCA10,mast cell,skin of body,normal,57,3268,1.744186046511628,1.8157131650574128
ABCA13,mast cell,skin of body,normal,4,3268,0.1223990208078335,1.1735432744177865
ABCA15P,mast cell,skin of body,normal,4,3268,0.1223990208078335,1.3887350091929642
ABCA17P,mast cell,skin of body,normal,5,3268,0.1529987760097919,1.6107052840858238
ABCA2,mast cell,skin of body,normal,9,3268,0.2753977968176255,1.6918138426806255
ABCA3,mast cell,skin of body,normal,3,3268,0.0917992656058751,1.339561853401549
ABCA3P1,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.2209539360068062
ABCA4,mast cell,skin of body,normal,6,3268,0.1835985312117503,1.4989578214466668
ABCA5,mast cell,skin of body,normal,18,3268,0.550795593635251,1.320922018512039
ABCA6,mast cell,skin of body,normal,24,3268,0.7343941248470013,1.7220699365935668
ABCA7,mast cell,skin of body,normal,64,3268,1.9583843329253363,1.4870061687931089
ABCA8,mast cell,skin of body,normal,8,3268,0.244798041615667,1.5164120346949763
ABCA9,mast cell,skin of body,normal,4,3268,0.1223990208078335,1.6631826653624575
ABCA9-AS1,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.4052904947805978
ABCB1,mast cell,skin of body,normal,14,3268,0.4283965728274173,1.4625839466389985
ABCB10,mast cell,skin of body,normal,45,3268,1.3769889840881273,1.447600058352704
ABCB11,mast cell,skin of body,normal,2,3268,0.0611995104039167,1.4233605021044562
ABCB5,mast cell,skin of body,normal,16,3268,0.4895960832313341,1.564704407520449
ABCB6,mast cell,skin of body,normal,2,3268,0.0611995104039167,1.7211988257957875
ABCB7,mast cell,skin of body,normal,21,3268,0.642594859241126,1.422940511710689
ABCB8,mast cell,skin of body,normal,44,3268,1.346389228886169,1.513303459853792
ABCB9,mast cell,skin of body,normal,2,3268,0.0611995104039167,1.369730969671187
ABCC1,mast cell,skin of body,normal,90,3268,2.7539779681762546,1.3091059003456256
ABCC10,mast cell,skin of body,normal,28,3268,0.8567931456548347,1.5083169705865376
ABCC2,mast cell,skin of body,normal,10,3268,0.3059975520195838,1.816777009862164
ABCC3,mast cell,skin of body,normal,13,3268,0.397796817625459,2.028804398503108
ABCC4,mast cell,skin of body,normal,488,3268,14.932680538555692,1.5181075147514969
ABCC5,mast cell,skin of body,normal,6,3268,0.1835985312117503,1.354255706097118
ABCC5-AS1,mast cell,skin of body,normal,2,3268,0.0611995104039167,1.3159730243657315
ABCC6,mast cell,skin of body,normal,3,3268,0.0917992656058751,1.158996580244024
ABCC6P1_ENSG00000256340,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.2567812557449405
ABCC6P2_ENSG00000255277,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.1843315108495462
ABCC8,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.2748854933263172
ABCD1,mast cell,skin of body,normal,156,3268,4.773561811505508,2.1488987688190773
ABCD3,mast cell,skin of body,normal,89,3268,2.7233782129742963,1.3013994288092383
ABCD4,mast cell,skin of body,normal,106,3268,3.243574051407589,1.5613482173552913
ABCE1,mast cell,skin of body,normal,289,3268,8.843329253365972,1.5927001460022197
ABCF1,mast cell,skin of body,normal,45,3268,1.3769889840881273,1.2470681594088588
ABCF2,mast cell,skin of body,normal,61,3268,1.8665850673194613,1.376921323146206
ABCF2-H2BK1,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.6269792178068547
ABCF3,mast cell,skin of body,normal,123,3268,3.763769889840881,1.6163515033362874
ABCG1,mast cell,skin of body,normal,35,3268,1.0709914320685434,1.303120911363112
ABCG2,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.2806095314401478
ABCG8,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.4987154133380367
ABHD1,mast cell,skin of body,normal,12,3268,0.3671970624235006,1.8108684608382053
ABHD10,mast cell,skin of body,normal,37,3268,1.1321909424724603,1.425191822829239
ABHD11,mast cell,skin of body,normal,26,3268,0.795593635250918,1.448794350658732
ABHD12,mast cell,skin of body,normal,118,3268,3.610771113831089,1.4461686641795948
ABHD12B,mast cell,skin of body,normal,1,3268,0.0305997552019583,1.1178436061826422
