gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,mature B cell,skin of body,normal,7,1182,0.5922165820642978,1.4637143353960178
A2M,mature B cell,skin of body,normal,3,1182,0.2538071065989847,1.3035930624692271
A2ML1-AS1,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.402458359755457
AAAS,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.1389837909750535
AAGAB,mature B cell,skin of body,normal,28,1182,2.368866328257192,1.2607916264186545
AAK1,mature B cell,skin of body,normal,16,1182,1.353637901861252,1.3523527005087317
AAMDC,mature B cell,skin of body,normal,22,1182,1.8612521150592216,1.3362628381149082
AAMP,mature B cell,skin of body,normal,17,1182,1.4382402707275803,1.275217006115883
AARSD1,mature B cell,skin of body,normal,28,1182,2.368866328257192,1.4364143717701094
AASDHPPT,mature B cell,skin of body,normal,31,1182,2.622673434856176,1.2833844956487532
AATF,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.5602191897802624
AATK,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.1512533568969172
ABCA1,mature B cell,skin of body,normal,7,1182,0.5922165820642978,1.2379717552623823
ABCA2,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.3953087763769585
ABCA7,mature B cell,skin of body,normal,26,1182,2.199661590524535,1.4458384561355848
ABCB1,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.4408399600597708
ABCB6,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.2038109117122862
ABCB8,mature B cell,skin of body,normal,22,1182,1.8612521150592216,1.3014211359731818
ABCC10,mature B cell,skin of body,normal,12,1182,1.015228426395939,1.3031324481436624
ABCD1,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.283877704390785
ABCD4,mature B cell,skin of body,normal,28,1182,2.368866328257192,1.3658158029683611
ABCE1,mature B cell,skin of body,normal,127,1182,10.744500846023689,1.4437220599565763
ABCF1,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.256168760631086
ABCF2,mature B cell,skin of body,normal,6,1182,0.5076142131979695,1.3129818639885025
ABCF3,mature B cell,skin of body,normal,34,1182,2.8764805414551606,1.3368739077157898
ABHD10,mature B cell,skin of body,normal,22,1182,1.8612521150592216,1.317561656380874
ABHD11,mature B cell,skin of body,normal,13,1182,1.0998307952622677,1.367049398373987
ABHD12,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.184685726304477
ABHD14A,mature B cell,skin of body,normal,3,1182,0.2538071065989847,1.5281696811292942
ABHD14A-ACY1,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.148809721486939
ABHD14B,mature B cell,skin of body,normal,11,1182,0.9306260575296108,1.2947491252836885
ABHD16A,mature B cell,skin of body,normal,30,1182,2.538071065989848,1.276856354830213
ABHD18,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.3683968246972746
ABHD2,mature B cell,skin of body,normal,15,1182,1.269035532994924,1.310974395872633
ABHD3,mature B cell,skin of body,normal,19,1182,1.6074450084602367,1.2383286688964417
ABHD4,mature B cell,skin of body,normal,7,1182,0.5922165820642978,1.2826264154620262
ABHD5,mature B cell,skin of body,normal,10,1182,0.8460236886632826,1.2441507052951195
ABHD6,mature B cell,skin of body,normal,6,1182,0.5076142131979695,1.3580193707903778
ABHD8,mature B cell,skin of body,normal,12,1182,1.015228426395939,1.2928345019908896
ABI1,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.2448154063738073
ABI2,mature B cell,skin of body,normal,14,1182,1.1844331641285957,1.3479887616858457
ABI3,mature B cell,skin of body,normal,6,1182,0.5076142131979695,1.1906847896126942
ABITRAM,mature B cell,skin of body,normal,20,1182,1.6920473773265652,1.3587644004904988
ABLIM1,mature B cell,skin of body,normal,5,1182,0.4230118443316413,1.18728855756579
ABR,mature B cell,skin of body,normal,19,1182,1.6074450084602367,1.3075626326953886
ABRACL,mature B cell,skin of body,normal,800,1182,67.68189509306261,1.810091259932456
ABRAXAS1,mature B cell,skin of body,normal,5,1182,0.4230118443316413,1.1752602969323989
ABT1,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1711537960151266
ABTB1,mature B cell,skin of body,normal,64,1182,5.414551607445008,1.3715065826448294
ACAA1,mature B cell,skin of body,normal,81,1182,6.852791878172589,1.3335223081275625
ACAA2,mature B cell,skin of body,normal,3,1182,0.2538071065989847,1.376772343234537
ACACA,mature B cell,skin of body,normal,12,1182,1.015228426395939,1.2660603325212103
ACAD10,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.1121609359447646
ACAD8,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.2077014184949375
ACADM,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.2038029147595022
ACADSB,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.3531437105503925
ACADVL,mature B cell,skin of body,normal,107,1182,9.052453468697124,1.385994833597887
ACAP1,mature B cell,skin of body,normal,324,1182,27.411167512690355,1.5098097455583113
ACAP2,mature B cell,skin of body,normal,264,1182,22.33502538071066,1.4408864986293275
ACAP3,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.2573142454664452
ACAT1,mature B cell,skin of body,normal,7,1182,0.5922165820642978,1.3241353156241105
ACAT2,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.2413046991004857
ACBD3,mature B cell,skin of body,normal,3,1182,0.2538071065989847,1.2106531925320694
ACBD4,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.1455925339172173
ACBD6,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.2347272523668535
ACCS,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.3342212131693991
ACD,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.208470395897678
ACE,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.5050127363911292
ACIN1,mature B cell,skin of body,normal,90,1182,7.614213197969544,1.3545569709986578
ACLY,mature B cell,skin of body,normal,4,1182,0.338409475465313,1.346530680356499
ACOT2,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.185955461863498
ACOT8,mature B cell,skin of body,normal,16,1182,1.353637901861252,1.286681330952201
ACOT9,mature B cell,skin of body,normal,7,1182,0.5922165820642978,1.2691534509013518
ACOX1,mature B cell,skin of body,normal,22,1182,1.8612521150592216,1.3355009517897356
ACOX3,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1554202512986445
ACOXL,mature B cell,skin of body,normal,5,1182,0.4230118443316413,1.298746768321056
ACP1,mature B cell,skin of body,normal,336,1182,28.426395939086294,1.4595175821729025
ACP5,mature B cell,skin of body,normal,29,1182,2.45346869712352,1.318319745884887
ACRBP,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1979132760055249
ACSF2,mature B cell,skin of body,normal,8,1182,0.676818950930626,1.3701696001777544
ACSF3,mature B cell,skin of body,normal,21,1182,1.7766497461928936,1.2882010692162549
ACSM3,mature B cell,skin of body,normal,34,1182,2.8764805414551606,1.501643838648361
ACSS2,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.2235031157153902
ACTB,mature B cell,skin of body,normal,1154,1182,97.63113367174282,3.529907792733151
ACTG1,mature B cell,skin of body,normal,1089,1182,92.13197969543148,2.286960756873881
ACTL6A,mature B cell,skin of body,normal,66,1182,5.583756345177665,1.358530718650465
ACTMAP,mature B cell,skin of body,normal,6,1182,0.5076142131979695,1.336971303129202
ACTN4,mature B cell,skin of body,normal,5,1182,0.4230118443316413,1.2037872690239024
ACTR10,mature B cell,skin of body,normal,116,1182,9.813874788494076,1.3678516423888956
ACTR1A,mature B cell,skin of body,normal,33,1182,2.7918781725888326,1.3023907544020552
ACTR1B,mature B cell,skin of body,normal,19,1182,1.6074450084602367,1.2294545595951276
ACTR2,mature B cell,skin of body,normal,81,1182,6.852791878172589,1.317952225368248
ACTR3,mature B cell,skin of body,normal,689,1182,58.29103214890017,1.6781196912727097
ACTR3-AS1,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1601189469830036
ACTR3C,mature B cell,skin of body,normal,5,1182,0.4230118443316413,1.3649067062061018
ACTR6,mature B cell,skin of body,normal,46,1182,3.8917089678511,1.3731488542484116
ACTR8,mature B cell,skin of body,normal,13,1182,1.0998307952622677,1.241922065059608
ACVR2A,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.4541012436603398
ACY1,mature B cell,skin of body,normal,7,1182,0.5922165820642978,1.1974561199070757
ACY3,mature B cell,skin of body,normal,21,1182,1.7766497461928936,1.3965422153928753
ACYP1,mature B cell,skin of body,normal,75,1182,6.345177664974619,1.3899083616091945
ACYP2,mature B cell,skin of body,normal,84,1182,7.106598984771575,1.3057102009685986
ADA,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1908434785704678
ADAM10,mature B cell,skin of body,normal,108,1182,9.137055837563452,1.399207532108
ADAM15,mature B cell,skin of body,normal,7,1182,0.5922165820642978,1.255565583538608
ADAM17,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1782468595326072
ADAM19,mature B cell,skin of body,normal,3,1182,0.2538071065989847,1.1748081104177943
ADAM28,mature B cell,skin of body,normal,29,1182,2.45346869712352,1.5330743270404277
ADAM7-AS1,mature B cell,skin of body,normal,8,1182,0.676818950930626,1.4674669422258806
ADAM8,mature B cell,skin of body,normal,54,1182,4.568527918781726,1.341647052817309
ADAMTS19,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.311298593165641
ADAMTS6,mature B cell,skin of body,normal,8,1182,0.676818950930626,1.466153828388847
ADAP1,mature B cell,skin of body,normal,5,1182,0.4230118443316413,1.3012998590902856
ADAP2,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.2384738161266775
ADARB2,mature B cell,skin of body,normal,37,1182,3.130287648054145,1.4102414702023411
ADARB2-AS1,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.3109103182567212
ADAT1,mature B cell,skin of body,normal,22,1182,1.8612521150592216,1.3239619000911107
ADCK1,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.2498454216828625
ADCK5,mature B cell,skin of body,normal,15,1182,1.269035532994924,1.3522184041925704
ADCY3,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.138941012410008
ADCY7,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.2851097828832558
ADD1,mature B cell,skin of body,normal,38,1182,3.214890016920473,1.2975533268119497
ADD2,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.275242379897737
ADD3,mature B cell,skin of body,normal,363,1182,30.710659898477157,1.5244070913292955
ADGRE5,mature B cell,skin of body,normal,80,1182,6.768189509306261,1.5228158189227865
ADGRG1,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1318171446286407
ADGRG5,mature B cell,skin of body,normal,2,1182,0.1692047377326565,1.1128055789353768
ADGRG6,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1453663450461795
ADGRL1-AS1,mature B cell,skin of body,normal,13,1182,1.0998307952622677,1.3520868277067424
ADH5,mature B cell,skin of body,normal,112,1182,9.475465313028764,1.3517671785676575
ADI1,mature B cell,skin of body,normal,11,1182,0.9306260575296108,1.2572362750090922
ADIPOR1,mature B cell,skin of body,normal,56,1182,4.737732656514383,1.3015135796650477
ADIPOR2,mature B cell,skin of body,normal,87,1182,7.3604060913705585,1.5024821637514745
ADIRF,mature B cell,skin of body,normal,1,1182,0.0846023688663282,1.1688184619098194
ADISSP,mature B cell,skin of body,normal,20,1182,1.6920473773265652,1.2967179399458575
ADK,mature B cell,skin of body,normal,22,1182,1.8612521150592216,1.2996212037815795
ADM,mature B cell,skin of body,normal,8,1182,0.676818950930626,1.5324111644433462
