gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,2.3110046413071936
AAGAB,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.207229245870702
AAK1,mature NK T cell,skin of body,normal,15,23,65.21739130434783,1.6225762887559374
AAMDC,mature NK T cell,skin of body,normal,3,23,13.043478260869565,1.689832878568767
AAMP,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.6746533509815684
ABCA1,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.5196862334855934
ABCA7,mature NK T cell,skin of body,normal,3,23,13.043478260869565,1.2926027142567609
ABCB1,mature NK T cell,skin of body,normal,6,23,26.08695652173913,1.819171626175562
ABCB8,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.5458129843527293
ABCC5,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.4479335828577522
ABCD1,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.288055587158438
ABCD4,mature NK T cell,skin of body,normal,2,23,8.695652173913043,1.2405680894258315
ABCE1,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.1445819364346388
ABCF2,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.3607936130347074
ABCF3,mature NK T cell,skin of body,normal,2,23,8.695652173913043,1.2061831606453517
ABCG1,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.5229370966683171
ABHD10,mature NK T cell,skin of body,normal,3,23,13.043478260869565,1.3189370553435031
ABHD11,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.4170347473315963
ABHD12,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.2862020164902117
ABHD15-AS1,mature NK T cell,skin of body,normal,11,23,47.82608695652174,2.4738662675182104
ABHD16A,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.4767373414074287
ABHD17A,mature NK T cell,skin of body,normal,5,23,21.73913043478261,1.5730154121219575
ABHD2,mature NK T cell,skin of body,normal,11,23,47.82608695652174,1.555429443332391
ABHD3,mature NK T cell,skin of body,normal,6,23,26.08695652173913,1.4852026579821065
ABHD5,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.5796857441020182
ABHD6,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.153058557491042
ABHD8,mature NK T cell,skin of body,normal,2,23,8.695652173913043,1.54127474516218
ABI1,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.2441227043177092
ABI2,mature NK T cell,skin of body,normal,5,23,21.73913043478261,1.466132569830251
ABI3,mature NK T cell,skin of body,normal,2,23,8.695652173913043,1.178028113698423
ABITRAM,mature NK T cell,skin of body,normal,1,23,4.3478260869565215,1.436780232779374
ABR,mature NK T cell,skin of body,normal,2,23,8.695652173913043,1.70739889299279
ABRACL,mature NK T cell,skin of body,normal,4,23,17.391304347826086,1.7601856245502072
