gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,melanocyte of skin,skin of body,normal,5,732,0.6830601092896175,1.7122748164347292
A1BG-AS1,melanocyte of skin,skin of body,normal,1,732,0.1366120218579235,1.5714917411486664
A1CF,melanocyte of skin,skin of body,normal,1,732,0.1366120218579235,1.371949067094721
A2M,melanocyte of skin,skin of body,normal,84,732,11.475409836065571,1.7455757481034202
A2M-AS1,melanocyte of skin,skin of body,normal,8,732,1.092896174863388,1.2482355056888663
A2ML1,melanocyte of skin,skin of body,normal,29,732,3.9617486338797816,1.7013031287524587
A2ML1-AS1,melanocyte of skin,skin of body,normal,2,732,0.273224043715847,2.462119788998962
A3GALT2,melanocyte of skin,skin of body,normal,1,732,0.1366120218579235,2.157481663746602
A4GALT,melanocyte of skin,skin of body,normal,10,732,1.366120218579235,1.5880297789588145
AAAS,melanocyte of skin,skin of body,normal,4,732,0.546448087431694,1.441191320107441
AACS,melanocyte of skin,skin of body,normal,2,732,0.273224043715847,2.0987309677058867
AADAC,melanocyte of skin,skin of body,normal,81,732,11.065573770491802,1.5199069600437831
AADACL2-AS1,melanocyte of skin,skin of body,normal,13,732,1.7759562841530054,2.193228214030888
AADAT,melanocyte of skin,skin of body,normal,9,732,1.2295081967213115,1.5695972468537047
AAGAB,melanocyte of skin,skin of body,normal,16,732,2.185792349726776,1.9542962724272976
AAK1,melanocyte of skin,skin of body,normal,20,732,2.73224043715847,2.3652754494061687
AAMDC,melanocyte of skin,skin of body,normal,29,732,3.9617486338797816,2.6082240605805738
AAMP,melanocyte of skin,skin of body,normal,18,732,2.459016393442623,1.808096402570884
AANAT,melanocyte of skin,skin of body,normal,2,732,0.273224043715847,1.7511888239770368
AAR2,melanocyte of skin,skin of body,normal,7,732,0.9562841530054644,1.6015057009280318
AARD,melanocyte of skin,skin of body,normal,41,732,5.601092896174864,1.393687795831818
AARS1,melanocyte of skin,skin of body,normal,3,732,0.4098360655737705,1.4801453798274762
AARS2,melanocyte of skin,skin of body,normal,1,732,0.1366120218579235,1.69714529507705
AARSD1,melanocyte of skin,skin of body,normal,17,732,2.3224043715847,1.8192049702711144
AASDH,melanocyte of skin,skin of body,normal,9,732,1.2295081967213115,1.529532660563924
AASDHPPT,melanocyte of skin,skin of body,normal,38,732,5.191256830601093,1.4880982482365774
AASS,melanocyte of skin,skin of body,normal,19,732,2.5956284153005464,1.4166474324169398
AATBC,melanocyte of skin,skin of body,normal,2,732,0.273224043715847,1.8587526419988816
AATF,melanocyte of skin,skin of body,normal,23,732,3.1420765027322406,1.6082739695546096
AATK,melanocyte of skin,skin of body,normal,16,732,2.185792349726776,1.541755733735319
ABALON,melanocyte of skin,skin of body,normal,1,732,0.1366120218579235,1.3680740297988867
ABAT,melanocyte of skin,skin of body,normal,55,732,7.513661202185792,1.509456263367526
ABCA1,melanocyte of skin,skin of body,normal,56,732,7.650273224043716,2.162705487771116
ABCA10,melanocyte of skin,skin of body,normal,138,732,18.852459016393443,1.5995723823138903
ABCA13,melanocyte of skin,skin of body,normal,7,732,0.9562841530054644,1.4090830261884435
ABCA2,melanocyte of skin,skin of body,normal,101,732,13.797814207650273,1.6018371063724812
ABCA3,melanocyte of skin,skin of body,normal,8,732,1.092896174863388,1.4396433200712873
