gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,melanocyte,skin of body,normal,24,10139,0.236709734687839,2.212737780926703
A1BG,melanocyte,skin of body,normal,308,10139,3.0377749284939344,1.3493141201257806
A1BG-AS1,melanocyte,skin of body,normal,18,10139,0.1775323010158792,1.4414157007203998
A1CF,melanocyte,skin of body,normal,1,10139,0.0098629056119932,1.371949067094721
A2M,melanocyte,skin of body,normal,169,10139,1.6668310484268665,1.842834230871636
A2M-AS1,melanocyte,skin of body,normal,9,10139,0.0887661505079396,1.2417979005339004
A2ML1,melanocyte,skin of body,normal,40,10139,0.3945162244797317,1.6289071030670392
A2ML1-AS1,melanocyte,skin of body,normal,6,10139,0.0591774336719597,1.8216656363733137
A3GALT2,melanocyte,skin of body,normal,1,10139,0.0098629056119932,2.157481663746602
A4GALT,melanocyte,skin of body,normal,11,10139,0.1084919617319262,1.6235304682502545
AAAS,melanocyte,skin of body,normal,68,10139,0.6706775816155439,1.3913034101354078
AACS,melanocyte,skin of body,normal,22,10139,0.2169839234638524,1.4570045599427643
AADAC,melanocyte,skin of body,normal,83,10139,0.8186211657954433,1.5142374242040362
AADACL2-AS1,melanocyte,skin of body,normal,13,10139,0.1282177729559128,2.193228214030888
AADAT,melanocyte,skin of body,normal,18,10139,0.1775323010158792,1.661262530289802
AAGAB,melanocyte,skin of body,normal,162,10139,1.5977907091429135,1.454083327570847
AAK1,melanocyte,skin of body,normal,303,10139,2.988460400433968,1.567773917152651
AAMDC,melanocyte,skin of body,normal,2147,10139,21.1756583489496,1.5580177310804602
AAMP,melanocyte,skin of body,normal,526,10139,5.187888351908472,1.418087082567819
AANAT,melanocyte,skin of body,normal,2,10139,0.0197258112239865,1.7511888239770368
AAR2,melanocyte,skin of body,normal,23,10139,0.2268468290758457,1.4340851660946106
AARD,melanocyte,skin of body,normal,41,10139,0.404379130091725,1.393687795831818
AARS1,melanocyte,skin of body,normal,14,10139,0.1380806785679061,1.3166444335815488
AARS2,melanocyte,skin of body,normal,2,10139,0.0197258112239865,1.4293067302094218
AARSD1,melanocyte,skin of body,normal,369,10139,3.639412170825525,1.5814552387136258
AASDH,melanocyte,skin of body,normal,26,10139,0.2564355459118256,1.358400784818193
AASDHPPT,melanocyte,skin of body,normal,373,10139,3.678863793273498,1.4346105078675884
AASS,melanocyte,skin of body,normal,29,10139,0.2860242627478055,1.3657393991462317
AATBC,melanocyte,skin of body,normal,3,10139,0.0295887168359798,1.6134042778801143
AATF,melanocyte,skin of body,normal,203,10139,2.0021698392346385,1.3455781119121053
AATK,melanocyte,skin of body,normal,188,10139,1.8542262550547397,2.266585055126697
ABALON,melanocyte,skin of body,normal,4,10139,0.0394516224479731,1.319702111079175
ABAT,melanocyte,skin of body,normal,70,10139,0.6904033928395306,1.5417302543433489
ABCA1,melanocyte,skin of body,normal,356,10139,3.5111943978696125,1.584699912627498
ABCA10,melanocyte,skin of body,normal,159,10139,1.5682019923069337,1.5920849168556472
ABCA13,melanocyte,skin of body,normal,7,10139,0.069040339283953,1.4090830261884435
ABCA15P,melanocyte,skin of body,normal,7,10139,0.069040339283953,1.2003633456955762
ABCA2,melanocyte,skin of body,normal,261,10139,2.5742183647302497,1.691036902027126
ABCA3,melanocyte,skin of body,normal,15,10139,0.1479435841798994,1.4481400502022297
ABCA4,melanocyte,skin of body,normal,3,10139,0.0295887168359798,1.946384653035612
ABCA5,melanocyte,skin of body,normal,819,10139,8.077719696222507,1.4859228374141678
ABCA6,melanocyte,skin of body,normal,46,10139,0.4536936581516914,1.5192617857222934
ABCA7,melanocyte,skin of body,normal,52,10139,0.5128710918236513,1.5266921069807369
ABCA8,melanocyte,skin of body,normal,149,10139,1.4695729361870007,2.049655214619405
ABCA9,melanocyte,skin of body,normal,30,10139,0.2958871683597988,1.6584915847697268
ABCA9-AS1,melanocyte,skin of body,normal,2,10139,0.0197258112239865,1.8175347597217024
ABCB1,melanocyte,skin of body,normal,38,10139,0.3747904132557451,1.743501199916968
ABCB10,melanocyte,skin of body,normal,46,10139,0.4536936581516914,1.699531360465385
ABCB11,melanocyte,skin of body,normal,8,10139,0.0789032448959463,1.3907583442888578
ABCB4,melanocyte,skin of body,normal,43,10139,0.4241049413157116,1.5174593716561953
ABCB5,melanocyte,skin of body,normal,35,10139,0.3452016964197653,1.285018153166495
ABCB6,melanocyte,skin of body,normal,12,10139,0.1183548673439195,1.4362059634720454
ABCB7,melanocyte,skin of body,normal,72,10139,0.7101292040635171,1.4206143984482262
ABCB8,melanocyte,skin of body,normal,250,10139,2.4657264029983232,1.4236496598444892
ABCB9,melanocyte,skin of body,normal,11,10139,0.1084919617319262,1.3150855845577278
ABCC1,melanocyte,skin of body,normal,22,10139,0.2169839234638524,1.3553936212574391
ABCC10,melanocyte,skin of body,normal,63,10139,0.6213630535555774,1.55588436235917
ABCC2,melanocyte,skin of body,normal,318,10139,3.136403984613867,1.491291830223521
ABCC3,melanocyte,skin of body,normal,11,10139,0.1084919617319262,1.7570679636464317
ABCC4,melanocyte,skin of body,normal,16,10139,0.1578064897918926,1.383252704586823
ABCC5,melanocyte,skin of body,normal,90,10139,0.8876615050793963,1.5701150254135705
ABCC5-AS1,melanocyte,skin of body,normal,14,10139,0.1380806785679061,1.8080900102858024
ABCC6,melanocyte,skin of body,normal,1,10139,0.0098629056119932,1.5179175921518355
ABCC9,melanocyte,skin of body,normal,40,10139,0.3945162244797317,1.3219268890413418
ABCD1,melanocyte,skin of body,normal,206,10139,2.0317585560706184,1.59948023202714
ABCD3,melanocyte,skin of body,normal,81,10139,0.7988953545714568,1.411061673244388
ABCD4,melanocyte,skin of body,normal,500,10139,4.931452805996647,1.4922443673450567
ABCE1,melanocyte,skin of body,normal,1044,10139,10.296873458921,1.4748955920590183
ABCF1,melanocyte,skin of body,normal,104,10139,1.0257421836473026,1.2814912242137235
ABCF2,melanocyte,skin of body,normal,259,10139,2.554492553506263,1.4176130817548962
ABCF3,melanocyte,skin of body,normal,456,10139,4.497484959068942,1.449099809566753
ABCG1,melanocyte,skin of body,normal,56,10139,0.5523227142716245,1.2878587890648507
ABCG2,melanocyte,skin of body,normal,4,10139,0.0394516224479731,1.2783916355976412
ABHD1,melanocyte,skin of body,normal,7,10139,0.069040339283953,1.6522785998572047
ABHD10,melanocyte,skin of body,normal,127,10139,1.2525890127231485,1.4796971503183316
ABHD11,melanocyte,skin of body,normal,208,10139,2.0514843672946053,1.3626600067586103
ABHD12,melanocyte,skin of body,normal,887,10139,8.74839727783805,1.5030080298418844
ABHD12B,melanocyte,skin of body,normal,3,10139,0.0295887168359798,1.7102444016624765
ABHD14A,melanocyte,skin of body,normal,253,10139,2.495315119834303,1.429941312282626
ABHD14B,melanocyte,skin of body,normal,340,10139,3.35338790807772,1.34733402116073
ABHD15,melanocyte,skin of body,normal,6,10139,0.0591774336719597,1.276492815982654
ABHD15-AS1,melanocyte,skin of body,normal,54,10139,0.5325969030476378,3.211855564266995
ABHD16A,melanocyte,skin of body,normal,224,10139,2.209290857086498,1.48558383430054
ABHD16B,melanocyte,skin of body,normal,4,10139,0.0394516224479731,1.3133549489278735
ABHD17A,melanocyte,skin of body,normal,140,10139,1.3808067856790611,1.4290811320005226
ABHD17B,melanocyte,skin of body,normal,48,10139,0.4734194693756781,1.4130329773450228
ABHD17C,melanocyte,skin of body,normal,3,10139,0.0295887168359798,1.6507479697799008
ABHD18,melanocyte,skin of body,normal,54,10139,0.5325969030476378,1.7015626125176015
ABHD2,melanocyte,skin of body,normal,2262,10139,22.309892494328828,1.6813276294117323
ABHD3,melanocyte,skin of body,normal,168,10139,1.656968142814873,1.4589397342172867
ABHD4,melanocyte,skin of body,normal,351,10139,3.4618798698096462,1.570169906158552
ABHD5,melanocyte,skin of body,normal,164,10139,1.6175165203669,1.4787372056946284
ABHD6,melanocyte,skin of body,normal,142,10139,1.4005325969030475,1.4309013178652177
ABHD8,melanocyte,skin of body,normal,233,10139,2.298057007594437,1.6495994282774775
ABI1,melanocyte,skin of body,normal,131,10139,1.2920406351711216,1.345634481983828
ABI2,melanocyte,skin of body,normal,852,10139,8.403195581418284,1.5180555731334526
ABI3,melanocyte,skin of body,normal,10,10139,0.0986290561199329,1.8229334796509324
ABI3BP,melanocyte,skin of body,normal,59,10139,0.5819114311076042,2.327000415939051
ABITRAM,melanocyte,skin of body,normal,333,10139,3.284347568793767,1.610533124150856
ABL1,melanocyte,skin of body,normal,10,10139,0.0986290561199329,1.2372664848819197
ABL2,melanocyte,skin of body,normal,193,10139,1.903540783114705,1.4053310484964072
ABLIM1,melanocyte,skin of body,normal,35,10139,0.3452016964197653,1.6082342881778593
ABLIM2,melanocyte,skin of body,normal,3,10139,0.0295887168359798,1.4100642347994965
ABLIM3,melanocyte,skin of body,normal,20,10139,0.1972581122398658,1.56424332087187
ABO,melanocyte,skin of body,normal,1,10139,0.0098629056119932,1.8736024310693105
ABR,melanocyte,skin of body,normal,1812,10139,17.87158496893185,1.634305271801804
ABRACL,melanocyte,skin of body,normal,1917,10139,18.90719005819114,1.4926838990357525
ABRAXAS1,melanocyte,skin of body,normal,54,10139,0.5325969030476378,1.4884710807551298
ABRAXAS2,melanocyte,skin of body,normal,20,10139,0.1972581122398658,1.3554043385450876
ABT1,melanocyte,skin of body,normal,28,10139,0.2761613571358122,1.2891938518927168
ABTB1,melanocyte,skin of body,normal,521,10139,5.138573823848506,1.5318962346686371
ABTB2,melanocyte,skin of body,normal,69,10139,0.6805404872275372,1.516410202098485
ABTB3,melanocyte,skin of body,normal,5,10139,0.0493145280599664,1.3243554907599873
ACAA1,melanocyte,skin of body,normal,784,10139,7.732517999802742,1.4978528360497625
ACAA2,melanocyte,skin of body,normal,201,10139,1.982444028010652,1.3268064021412989
ACACA,melanocyte,skin of body,normal,133,10139,1.311766446395108,1.605311677252745
ACACB,melanocyte,skin of body,normal,216,10139,2.1303876121905514,1.6388562516150866
ACAD10,melanocyte,skin of body,normal,58,10139,0.572048525495611,1.6872872594751651
ACAD11,melanocyte,skin of body,normal,6,10139,0.0591774336719597,1.4587058439114695
ACAD8,melanocyte,skin of body,normal,114,10139,1.1243712397672354,1.4771953917635243
ACAD9,melanocyte,skin of body,normal,12,10139,0.1183548673439195,1.3711548597687526
ACAD9-DT,melanocyte,skin of body,normal,1,10139,0.0098629056119932,1.6977769929461004
ACADL,melanocyte,skin of body,normal,36,10139,0.3550646020317585,1.4546923253743038
ACADM,melanocyte,skin of body,normal,80,10139,0.7890324489594635,1.3744502066595676
ACADS,melanocyte,skin of body,normal,257,10139,2.5347667422822764,1.4139971794658082
ACADSB,melanocyte,skin of body,normal,76,10139,0.7495808265114903,1.5583287487763025
ACADVL,melanocyte,skin of body,normal,3278,10139,32.330604596114014,1.6770090145830312
ACAP1,melanocyte,skin of body,normal,75,10139,0.739717920899497,1.6267019914970204
ACAP2,melanocyte,skin of body,normal,1517,10139,14.962027813393824,1.587576845206448
ACAP3,melanocyte,skin of body,normal,206,10139,2.0317585560706184,1.525374281208497
