gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,monocyte,skin of body,normal,9,8228,0.109382596013612,1.2587233553416446
A2M,monocyte,skin of body,normal,180,8228,2.1876519202722413,1.5904280905481232
A2M-AS1,monocyte,skin of body,normal,12,8228,0.1458434613514827,1.3458724818927577
A2ML1,monocyte,skin of body,normal,48,8228,0.583373845405931,1.6840780210161232
A2ML1-AS1,monocyte,skin of body,normal,10,8228,0.1215362177929022,1.5364403725202702
A2ML1-AS2,monocyte,skin of body,normal,1,8228,0.0121536217792902,2.743558430174298
A4GALT,monocyte,skin of body,normal,7,8228,0.0850753524550316,1.2268056624405443
AAAS,monocyte,skin of body,normal,8,8228,0.0972289742343218,1.2605221339783583
AADAC,monocyte,skin of body,normal,229,8228,2.783179387457462,1.4702939908768495
AADACL2-AS1,monocyte,skin of body,normal,9,8228,0.109382596013612,1.4834243404283474
AADAT,monocyte,skin of body,normal,12,8228,0.1458434613514827,1.7528057825341523
AAGAB,monocyte,skin of body,normal,91,8228,1.1059795819154108,1.3412412556213755
AAK1,monocyte,skin of body,normal,421,8228,5.116674769081186,1.3886681246856518
AAMDC,monocyte,skin of body,normal,228,8228,2.7710257656781723,1.435832218794789
AAMP,monocyte,skin of body,normal,61,8228,0.7413709285367039,1.2407477440338688
AAR2,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.141304826958864
AARD,monocyte,skin of body,normal,331,8228,4.022848808945065,1.472374860484255
AARS2,monocyte,skin of body,normal,3,8228,0.0364608653378706,1.4517361434008482
AARSD1,monocyte,skin of body,normal,51,8228,0.6198347107438017,1.5346218468835593
AASDHPPT,monocyte,skin of body,normal,311,8228,3.779776373359261,1.5212228520088509
AASS,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.35275884131143
AATF,monocyte,skin of body,normal,25,8228,0.3038405444822556,1.2141022630632723
AATK,monocyte,skin of body,normal,49,8228,0.5955274671852212,1.3805233359264797
ABAT,monocyte,skin of body,normal,350,8228,4.25376762275158,1.4703135921060269
ABCA1,monocyte,skin of body,normal,237,8228,2.880408361691784,1.3685583889504982
ABCA10,monocyte,skin of body,normal,146,8228,1.7744287797763734,1.4133361927584565
ABCA2,monocyte,skin of body,normal,17,8228,0.2066115702479339,1.4351735475196297
ABCA3,monocyte,skin of body,normal,6,8228,0.0729217306757413,1.4041188969132727
ABCA4,monocyte,skin of body,normal,8,8228,0.0972289742343218,1.7648960355344607
ABCA5,monocyte,skin of body,normal,2,8228,0.0243072435585804,1.4247202428418873
ABCA6,monocyte,skin of body,normal,28,8228,0.3403014098201264,1.4465218487832898
ABCA7,monocyte,skin of body,normal,254,8228,3.087019931939718,1.4975519567691222
ABCA8,monocyte,skin of body,normal,15,8228,0.1823043266893534,1.3911934655094718
ABCA9,monocyte,skin of body,normal,54,8228,0.6562955760816723,1.4983326912689958
ABCB1,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.3965199103174026
ABCB10,monocyte,skin of body,normal,62,8228,0.7535245503159942,1.309868607067716
ABCB11,monocyte,skin of body,normal,3,8228,0.0364608653378706,1.309425684608553
ABCB5,monocyte,skin of body,normal,103,8228,1.2518230432668935,1.386954702284812
ABCB6,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.5331865657836012
ABCB7,monocyte,skin of body,normal,11,8228,0.1336898395721925,1.2360549779252634
ABCB8,monocyte,skin of body,normal,92,8228,1.118133203694701,1.3490182978018912
ABCB9,monocyte,skin of body,normal,14,8228,0.1701507049100632,1.4001322149359523
ABCC1,monocyte,skin of body,normal,3,8228,0.0364608653378706,1.348151037992171
ABCC10,monocyte,skin of body,normal,43,8228,0.5226057365094798,1.3655269448730754
ABCC11,monocyte,skin of body,normal,6,8228,0.0729217306757413,1.2680044909616053
ABCC2,monocyte,skin of body,normal,23,8228,0.2795333009236752,1.4191972985130523
ABCC3,monocyte,skin of body,normal,14,8228,0.1701507049100632,1.577780268425526
ABCC4,monocyte,skin of body,normal,2,8228,0.0243072435585804,1.301809878700409
ABCC5,monocyte,skin of body,normal,11,8228,0.1336898395721925,1.16082869152294
ABCC5-AS1,monocyte,skin of body,normal,4,8228,0.0486144871171609,2.0164864965376705
ABCC6,monocyte,skin of body,normal,22,8228,0.267379679144385,1.2169693248690685
ABCD1,monocyte,skin of body,normal,805,8228,9.783665532328634,1.6271892635337692
ABCD4,monocyte,skin of body,normal,52,8228,0.6319883325230918,1.4438726484125466
ABCE1,monocyte,skin of body,normal,413,8228,5.019445794846864,1.5080768213070357
ABCF1,monocyte,skin of body,normal,5,8228,0.0607681088964511,1.2723841494101156
ABCF2,monocyte,skin of body,normal,24,8228,0.2916869227029655,1.2793771088237915
ABCF2-H2BK1,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.275529253720023
ABCF3,monocyte,skin of body,normal,120,8228,1.4584346135148274,1.4332141305316095
ABCG1,monocyte,skin of body,normal,106,8228,1.2882839086047642,1.2775949266288995
ABCG2,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.1081424077497155
ABCG8,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.3307287371232852
ABHD1,monocyte,skin of body,normal,8,8228,0.0972289742343218,1.2252823457763096
ABHD10,monocyte,skin of body,normal,59,8228,0.7170636849781236,1.3373989379739262
ABHD11,monocyte,skin of body,normal,69,8228,0.8385999027710258,1.36485158987071
ABHD12,monocyte,skin of body,normal,117,8228,1.4219737481769568,1.34951231327095
ABHD14A,monocyte,skin of body,normal,45,8228,0.5469129800680603,1.4135465534552532
ABHD14B,monocyte,skin of body,normal,17,8228,0.2066115702479339,1.261067132854883
ABHD15-AS1,monocyte,skin of body,normal,10,8228,0.1215362177929022,2.578845917985214
ABHD16A,monocyte,skin of body,normal,180,8228,2.1876519202722413,1.3606843587332471
ABHD16B,monocyte,skin of body,normal,3,8228,0.0364608653378706,1.5186888389381137
ABHD17A,monocyte,skin of body,normal,46,8228,0.5590666018473505,1.2147808788102004
ABHD17B,monocyte,skin of body,normal,339,8228,4.120077783179388,1.4013091498167802
ABHD17C,monocyte,skin of body,normal,5,8228,0.0607681088964511,1.2182120545913182
ABHD18,monocyte,skin of body,normal,1,8228,0.0121536217792902,1.1116098848850118
ABHD2,monocyte,skin of body,normal,681,8228,8.276616431696645,1.5724264224672175
ABHD3,monocyte,skin of body,normal,271,8228,3.2936315021876523,1.365609488100275
ABHD4,monocyte,skin of body,normal,96,8228,1.166747690811862,1.4729478540486036
ABHD5,monocyte,skin of body,normal,1270,8228,15.43509965969859,1.5974350876954173
ABHD6,monocyte,skin of body,normal,31,8228,0.3767622751579971,1.4002259928870031
ABHD8,monocyte,skin of body,normal,757,8228,9.200291686922704,1.6670877432851907
ABI1,monocyte,skin of body,normal,10,8228,0.1215362177929022,1.1623734020194645
ABI2,monocyte,skin of body,normal,113,8228,1.3733592610597958,1.4426091074269782
ABI3,monocyte,skin of body,normal,247,8228,3.0019445794846864,1.327764161604637
ABI3BP,monocyte,skin of body,normal,2,8228,0.0243072435585804,1.352941229589061
