gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,natural killer cell,skin of body,normal,1,11384,0.0087842586085734,2.2441267120066986
A1BG,natural killer cell,skin of body,normal,23,11384,0.202037947997189,1.272846390249323
A1BG-AS1,natural killer cell,skin of body,normal,3,11384,0.0263527758257203,1.2637836536816969
A1CF,natural killer cell,skin of body,normal,4,11384,0.0351370344342937,1.2994101967895717
A2M,natural killer cell,skin of body,normal,149,11384,1.308854532677442,1.820073431041993
A2M-AS1,natural killer cell,skin of body,normal,22,11384,0.1932536893886156,1.2963603689638528
A2ML1,natural killer cell,skin of body,normal,194,11384,1.7041461700632463,1.8831815878972755
A2ML1-AS1,natural killer cell,skin of body,normal,10,11384,0.0878425860857343,2.1669948257236173
A2ML1-AS2,natural killer cell,skin of body,normal,16,11384,0.1405481377371749,2.2781712776161664
A4GALT,natural killer cell,skin of body,normal,33,11384,0.2898805340829234,1.320500122609167
AAAS,natural killer cell,skin of body,normal,31,11384,0.2723120168657765,1.3546207113939308
AACS,natural killer cell,skin of body,normal,12,11384,0.1054111033028812,1.243506324011628
AADAC,natural killer cell,skin of body,normal,444,11384,3.900210822206606,1.4942969280231946
AADACL2-AS1,natural killer cell,skin of body,normal,45,11384,0.3952916373858046,1.8012030115444568
AADAT,natural killer cell,skin of body,normal,1786,11384,15.688685874912156,1.690070015480441
AAGAB,natural killer cell,skin of body,normal,312,11384,2.7406886858749124,1.410564613616088
AAK1,natural killer cell,skin of body,normal,1358,11384,11.929023190442727,1.516728862762166
AAMDC,natural killer cell,skin of body,normal,231,11384,2.029163738580464,1.5427643745473425
AAMP,natural killer cell,skin of body,normal,304,11384,2.6704146170063248,1.3235804911102498
AANAT,natural killer cell,skin of body,normal,2,11384,0.0175685172171468,1.4424651488332678
AAR2,natural killer cell,skin of body,normal,6,11384,0.0527055516514406,1.228623593800031
AARD,natural killer cell,skin of body,normal,300,11384,2.635277582572031,1.381246527095015
AARS1,natural killer cell,skin of body,normal,2,11384,0.0175685172171468,1.1646457079615375
AARSD1,natural killer cell,skin of body,normal,149,11384,1.308854532677442,1.6731538508919752
AASDH,natural killer cell,skin of body,normal,4,11384,0.0351370344342937,1.2057988135580155
AASDHPPT,natural killer cell,skin of body,normal,650,11384,5.709768095572733,1.374133453282968
AASS,natural killer cell,skin of body,normal,1,11384,0.0087842586085734,1.1116876635920991
AATBC,natural killer cell,skin of body,normal,1,11384,0.0087842586085734,1.158836143225087
AATF,natural killer cell,skin of body,normal,85,11384,0.7466619817287421,1.3077155855902325
AATK,natural killer cell,skin of body,normal,172,11384,1.510892480674631,1.544774706733916
ABAT,natural killer cell,skin of body,normal,617,11384,5.41988756148981,1.4517034588755906
ABCA1,natural killer cell,skin of body,normal,34,11384,0.2986647926914968,1.359652199167698
ABCA10,natural killer cell,skin of body,normal,698,11384,6.131412508784258,1.4500607980375213
ABCA13,natural killer cell,skin of body,normal,8,11384,0.0702740688685874,1.186859353882437
ABCA2,natural killer cell,skin of body,normal,246,11384,2.1609276177090653,1.419762046003689
