gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,neutrophil,skin of body,normal,24,294,8.16326530612245,2.219077990291266
A2ML1,neutrophil,skin of body,normal,5,294,1.7006802721088436,1.6381385198486256
A2ML1-AS1,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.935027057827412
A3GALT2,neutrophil,skin of body,normal,4,294,1.3605442176870748,1.465277859616236
AADACL2-AS1,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.6732276903521497
AAGAB,neutrophil,skin of body,normal,5,294,1.7006802721088436,1.459505278414427
AAK1,neutrophil,skin of body,normal,62,294,21.08843537414966,1.869997572238836
AAMDC,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.795750082563467
AAMP,neutrophil,skin of body,normal,4,294,1.3605442176870748,1.2153690628554197
AASDHPPT,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.2257067123694427
AATF,neutrophil,skin of body,normal,3,294,1.020408163265306,1.309555212490923
AATK,neutrophil,skin of body,normal,110,294,37.41496598639456,1.699539328961494
ABAT,neutrophil,skin of body,normal,3,294,1.020408163265306,1.5145723760699183
ABCA1,neutrophil,skin of body,normal,161,294,54.761904761904766,1.968085962983787
ABCA13,neutrophil,skin of body,normal,14,294,4.761904761904762,1.6795144109705653
ABCA17P,neutrophil,skin of body,normal,1,294,0.3401360544217687,2.2747167693240145
ABCA2,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.3493931368517302
ABCA7,neutrophil,skin of body,normal,11,294,3.741496598639456,1.5884184545562166
ABCA8,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.276987702325604
ABCA9,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.6057284023517058
ABCB1,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.3759740154789524
ABCB6,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.3703007827596263
ABCC1,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.172624236524891
ABCC2,neutrophil,skin of body,normal,3,294,1.020408163265306,1.2848967123451622
ABCC3,neutrophil,skin of body,normal,4,294,1.3605442176870748,1.359188814858789
ABCC5,neutrophil,skin of body,normal,3,294,1.020408163265306,1.4303298460510276
ABCD1,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.2977696829888012
ABCE1,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.589719301211269
ABCF1,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.316655215315143
ABCF3,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.84495151537441
ABCG1,neutrophil,skin of body,normal,50,294,17.006802721088434,1.5121843890498543
ABHD12,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.3303769392855906
ABHD12B,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.2366007031895017
ABHD15-AS1,neutrophil,skin of body,normal,48,294,16.3265306122449,2.8335488335947567
ABHD16A,neutrophil,skin of body,normal,5,294,1.7006802721088436,1.4706070268585143
ABHD17A,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.2846266308368808
ABHD17B,neutrophil,skin of body,normal,3,294,1.020408163265306,1.407338921161795
ABHD17C,neutrophil,skin of body,normal,3,294,1.020408163265306,1.8236586279796685
ABHD18,neutrophil,skin of body,normal,4,294,1.3605442176870748,1.3531508935744103
ABHD2,neutrophil,skin of body,normal,36,294,12.244897959183673,1.7467690379953775
ABHD3,neutrophil,skin of body,normal,10,294,3.4013605442176877,1.861564705331896
ABHD4,neutrophil,skin of body,normal,11,294,3.741496598639456,1.5998765233087904
ABHD5,neutrophil,skin of body,normal,220,294,74.82993197278913,2.1864461557603945
ABHD6,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.306387797774403
ABHD8,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.4766087102422147
ABI1,neutrophil,skin of body,normal,43,294,14.625850340136054,1.3799742038603289
ABI2,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.5626764194532392
ABI3BP,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.797785053947009
ABITRAM,neutrophil,skin of body,normal,2,294,0.6802721088435374,1.914431145411593
ABL2,neutrophil,skin of body,normal,8,294,2.7210884353741496,1.3483617841038855
ABLIM1,neutrophil,skin of body,normal,1,294,0.3401360544217687,1.2984810235875162
ABR,neutrophil,skin of body,normal,56,294,19.047619047619047,2.035524718363163
ABRACL,neutrophil,skin of body,normal,13,294,4.421768707482993,1.7146035120001883
