gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,pericyte,skin of body,normal,116,13076,0.8871214438666258,1.283899052542006
A1BG-AS1,pericyte,skin of body,normal,356,13076,2.722545120832059,1.4292087324276577
A2M,pericyte,skin of body,normal,2237,13076,17.107678189048638,1.8313270827745345
A2M-AS1,pericyte,skin of body,normal,26,13076,0.1988375650045885,1.3770170915719382
A2ML1,pericyte,skin of body,normal,263,13076,2.0113184460079534,1.6323920072967228
A2ML1-AS1,pericyte,skin of body,normal,11,13076,0.084123585194249,1.7270223399715663
A2ML1-AS2,pericyte,skin of body,normal,1,13076,0.0076475986540226,1.943992170385288
A4GALT,pericyte,skin of body,normal,740,13076,5.659223003976751,1.3807458343225198
AAAS,pericyte,skin of body,normal,50,13076,0.3823799327011318,1.277421868434767
AACS,pericyte,skin of body,normal,13,13076,0.0994187825022942,1.316033067592952
AADAC,pericyte,skin of body,normal,519,13076,3.969103701437749,1.460242637598321
AADACL2-AS1,pericyte,skin of body,normal,53,13076,0.4053227286631997,1.6951766563055994
AADAT,pericyte,skin of body,normal,32,13076,0.2447231569287244,1.6123671401616115
AAGAB,pericyte,skin of body,normal,217,13076,1.6595289079229123,1.3724784390480342
AAK1,pericyte,skin of body,normal,477,13076,3.647904557968798,1.4567715805398016
AAMDC,pericyte,skin of body,normal,931,13076,7.119914346895075,1.621681403493664
AAMP,pericyte,skin of body,normal,654,13076,5.001529519730805,1.3306078847804663
AAR2,pericyte,skin of body,normal,31,13076,0.2370755582747017,1.3289580144814557
AARD,pericyte,skin of body,normal,160,13076,1.223615784643622,1.4507612487527406
AARS1,pericyte,skin of body,normal,16,13076,0.1223615784643622,1.293480852915715
AARS2,pericyte,skin of body,normal,20,13076,0.1529519730804527,1.2532484667515669
AARSD1,pericyte,skin of body,normal,733,13076,5.605689813398593,1.7780609933534692
AASDH,pericyte,skin of body,normal,1,13076,0.0076475986540226,1.1189826203527191
AASDHPPT,pericyte,skin of body,normal,353,13076,2.699602324869991,1.4250617105744563
AASS,pericyte,skin of body,normal,346,13076,2.6460691342918325,1.3261010691009782
AATBC,pericyte,skin of body,normal,1,13076,0.0076475986540226,1.3209907480679424
AATF,pericyte,skin of body,normal,99,13076,0.7571122667482411,1.35558015232818
AATK,pericyte,skin of body,normal,95,13076,0.7265218721321505,1.5283819369927027
ABALON,pericyte,skin of body,normal,1,13076,0.0076475986540226,1.127484990061029
ABAT,pericyte,skin of body,normal,480,13076,3.6708473539308657,1.4617984821744092
ABCA1,pericyte,skin of body,normal,350,13076,2.676659528907923,1.365250229897211
ABCA10,pericyte,skin of body,normal,1139,13076,8.710614866931783,1.459435493938745
ABCA13,pericyte,skin of body,normal,12,13076,0.0917711838482716,1.4703253913877574
ABCA15P,pericyte,skin of body,normal,2,13076,0.0152951973080452,1.3398249129739104
ABCA2,pericyte,skin of body,normal,1953,13076,14.935760171306208,1.7059192384528543
ABCA3,pericyte,skin of body,normal,45,13076,0.3441419394310187,1.3822957221015817
ABCA4,pericyte,skin of body,normal,16,13076,0.1223615784643622,1.2931958892763298
ABCA5,pericyte,skin of body,normal,83,13076,0.6347506882838788,1.3352206420630954
ABCA6,pericyte,skin of body,normal,245,13076,1.873661670235546,1.3856150984706268
ABCA7,pericyte,skin of body,normal,33,13076,0.252370755582747,1.4586288598377055
