gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.2720258231559312
A2M,plasma cell,skin of body,normal,16,490,3.26530612244898,2.0422968441466134
A2M-AS1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.2947857617043863
A2ML1,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.8743847020249844
A2ML1-AS1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3603416968206328
A4GALT,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3799136821026785
AADAC,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.4294378061249826
AADACL2-AS1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.7975299209653632
AADAT,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.5649746977817598
AAK1,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.3189804764230566
AAMDC,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.3028680080007629
AAMP,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.269387809133062
AARD,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.546985569603407
AARSD1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3154296299028676
AATF,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.6208079566806206
AATK,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1070310574910012
ABAT,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2479735207374238
ABCA10,plasma cell,skin of body,normal,11,490,2.2448979591836733,1.719360052647515
ABCA13,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.355639581493027
ABCA2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.4336709702490116
ABCA3,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.303930065471151
ABCA4,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.233138208765709
ABCA5,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3682193513214145
ABCA6,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.5424567833399612
ABCA7,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.6799268998255883
ABCA8,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.2208549667097213
ABCA9,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3326206663600693
ABCB1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.5611059474023776
ABCB5,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.4929343000603277
ABCB7,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3969610693351986
ABCB8,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3120427765751783
ABCB9,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.6008327327414578
ABCC2,plasma cell,skin of body,normal,5,490,1.020408163265306,1.370500399783726
ABCC3,plasma cell,skin of body,normal,1,490,0.2040816326530612,2.096531875366432
ABCC4,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1277608777001649
ABCC5,plasma cell,skin of body,normal,10,490,2.0408163265306123,1.3744048207530155
ABCD1,plasma cell,skin of body,normal,49,490,10.0,1.6904662510944437
ABCD4,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.4770505769473363
ABCE1,plasma cell,skin of body,normal,24,490,4.8979591836734695,1.5381399982496786
ABCF3,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.7492652330141942
ABCG1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1951611136286997
ABHD12,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.6471856554766515
ABHD14A,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.6229853390027524
ABHD15-AS1,plasma cell,skin of body,normal,8,490,1.6326530612244898,2.0145592098964906
ABHD16A,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.443384574565779
ABHD16B,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.422357723058666
ABHD17B,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.4870031614184978
ABHD17C,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3759835801000408
ABHD2,plasma cell,skin of body,normal,5,490,1.020408163265306,1.6805483116042972
ABHD3,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.4814238336062835
ABHD5,plasma cell,skin of body,normal,16,490,3.26530612244898,1.7936735663470145
ABHD8,plasma cell,skin of body,normal,18,490,3.673469387755103,1.5745404293766256
ABI2,plasma cell,skin of body,normal,10,490,2.0408163265306123,1.6810172904926894
ABI3,plasma cell,skin of body,normal,5,490,1.020408163265306,2.22214336631095
ABITRAM,plasma cell,skin of body,normal,3,490,0.6122448979591837,2.140942829069368
ABL2,plasma cell,skin of body,normal,26,490,5.306122448979592,1.675931655473805
ABLIM1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.274366419609624
ABLIM3,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.4918164765166726
ABR,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.439002152914319
ABRACL,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.9242016152235584
ABRAXAS2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1694603945101445
ABT1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1722677266661532
ABTB1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.345799759223533
ABTB2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.409235434905444
ABTB3,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.547955682766093
ACAA1,plasma cell,skin of body,normal,40,490,8.16326530612245,1.6890356404951503
ACACA,plasma cell,skin of body,normal,3,490,0.6122448979591837,2.4651842278111853
ACACB,plasma cell,skin of body,normal,13,490,2.653061224489796,1.576542377297686
ACAD8,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.440278140584307
ACADL,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.334386801659205
ACADS,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.5664823384886488
ACADVL,plasma cell,skin of body,normal,33,490,6.73469387755102,1.4889699967119
ACAP1,plasma cell,skin of body,normal,19,490,3.877551020408163,1.6687565555696324
ACAP2,plasma cell,skin of body,normal,5,490,1.020408163265306,1.4402084537938802
ACAP3,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.5034257680243948
ACAT1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3129205019346608
ACAT2,plasma cell,skin of body,normal,5,490,1.020408163265306,1.6906111970178883
ACBD3,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.410448877132353
ACBD3-AS1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.1297008144551546
ACBD4,plasma cell,skin of body,normal,74,490,15.10204081632653,1.6095054590178444
ACBD6,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3161899384711029
ACBD7,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.3213230812807533
ACCS,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.312179722015618
ACD,plasma cell,skin of body,normal,31,490,6.326530612244897,1.513972121247041
ACHE,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.7430655382897278
ACIN1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2507881621584076
ACKR3,plasma cell,skin of body,normal,20,490,4.081632653061225,1.4054728246958348
ACKR4,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.438512273037957
ACLY,plasma cell,skin of body,normal,16,490,3.26530612244898,1.613874584611496
ACOT1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3155742369469436
ACOT11,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1271098701303273
ACOT13,plasma cell,skin of body,normal,1,490,0.2040816326530612,2.0913057628242417
ACOT7,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.322623698055151
ACOT9,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.3872627502282648
ACOX1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1957911198295947
ACOX3,plasma cell,skin of body,normal,17,490,3.4693877551020407,1.5290723156101451
ACOXL,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.8275478872359383
ACP1,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.1815616816536878
ACP3,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.576006931974732
ACP6,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.1792891818084497
ACP7,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.375884058017394
ACRBP,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.5043067597847162
ACSF2,plasma cell,skin of body,normal,14,490,2.857142857142857,1.7494515981983156
ACSF3,plasma cell,skin of body,normal,20,490,4.081632653061225,1.7198967271741157
ACSL6-AS1,plasma cell,skin of body,normal,1,490,0.2040816326530612,2.076255833650232
ACSM2A,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.4702639048381374
ACSM2B,plasma cell,skin of body,normal,22,490,4.489795918367347,1.6884361730907964
ACSM3,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.717520873458554
ACSM5,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.7309018658829554
ACSS2,plasma cell,skin of body,normal,87,490,17.755102040816325,1.7683668484268118
ACSS3,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.4263314770441902
ACTA1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.422357723058666
ACTA2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.210296878718622
ACTA2-AS1,plasma cell,skin of body,normal,10,490,2.0408163265306123,1.7880457503325886
ACTB,plasma cell,skin of body,normal,66,490,13.46938775510204,1.6133669885500137
ACTC1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.379250612080885
ACTG1,plasma cell,skin of body,normal,65,490,13.26530612244898,1.679353907390554
ACTG2,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.9188748334049888
ACTL6A,plasma cell,skin of body,normal,14,490,2.857142857142857,1.6190644811631991
ACTMAP,plasma cell,skin of body,normal,19,490,3.877551020408163,1.522298249325636
ACTN1-DT,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.9284042780648727
ACTN4,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.694219432741003
ACTR10,plasma cell,skin of body,normal,45,490,9.183673469387756,1.7002522557133817
ACTR1A,plasma cell,skin of body,normal,8,490,1.6326530612244898,1.5192887035724123
ACTR1B,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.6298175738936191
ACTR2,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.3835188473021534
ACTR3,plasma cell,skin of body,normal,14,490,2.857142857142857,1.545517444044385
ACTR3C,plasma cell,skin of body,normal,43,490,8.775510204081632,1.7605469881411593
ACTR6,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.471846248193127
ACTR8,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.5275146303857707
ACVRL1,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.4483012394991508
ACY1,plasma cell,skin of body,normal,27,490,5.510204081632653,1.645078231852834
ACY3,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.538279242845589
ACYP2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.9307915241561493
ADA,plasma cell,skin of body,normal,10,490,2.0408163265306123,1.6021824137589793
ADAD2,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.6568184682891165
ADAL,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.6254758543915044
ADAM10,plasma cell,skin of body,normal,12,490,2.4489795918367347,1.4731824785361465
ADAM12,plasma cell,skin of body,normal,32,490,6.530612244897959,1.8847329271355628
ADAM15,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1604019196669164
ADAM17,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1115872042181147
ADAM19,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3462591816622465
ADAM20,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.1656468286104678
ADAM28,plasma cell,skin of body,normal,14,490,2.857142857142857,1.6199534135021898
ADAM32,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.8741510816774425
ADAM7-AS1,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.5648154451779903
ADAM8,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.784149629254843
ADAM9,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.455565799915424
ADAMTS12,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.286494493166088
ADAMTS18,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.729366846260875
ADAMTS19,plasma cell,skin of body,normal,20,490,4.081632653061225,1.6521690285298445
ADAMTS5,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1118197424995802
ADAMTSL2,plasma cell,skin of body,normal,16,490,3.26530612244898,1.3822756148397508
ADAMTSL4-AS2,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.859475081937379
ADAMTSL5,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.595027362922304
ADARB1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3216911132989455
ADARB2-AS1,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.836081070733597
ADAT1,plasma cell,skin of body,normal,319,490,65.10204081632654,2.645080993727374
ADAT3,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.8832196278550972
ADCY5,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.219402024019152
ADCY6,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.821408503648182
ADCY9,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.171547618408891
ADCYAP1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.5994045924646587
ADCYAP1R1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.271930688809794
ADD1,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.324658561763104
ADD3,plasma cell,skin of body,normal,8,490,1.6326530612244898,1.4496181127357637
ADGRD1-AS1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.837542267238728
ADGRE3,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2440949238055197
ADGRE5,plasma cell,skin of body,normal,20,490,4.081632653061225,1.50791100838233
ADGRF3,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3333955029871205
ADGRF5,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.4640431272601848
ADGRG1,plasma cell,skin of body,normal,37,490,7.551020408163265,1.729780132361764
ADGRG2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3057698738119448
ADGRG3,plasma cell,skin of body,normal,47,490,9.591836734693878,1.670187583174083
ADGRG6,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.3986701330422615
ADGRL4,plasma cell,skin of body,normal,2,490,0.4081632653061224,2.192783185656994
ADGRV1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1543676835728398
ADH1C,plasma cell,skin of body,normal,59,490,12.040816326530612,1.8310871805480933
ADH6,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.534448567885535
ADIPOR1,plasma cell,skin of body,normal,5,490,1.020408163265306,1.4172470840780689
ADIPOR2,plasma cell,skin of body,normal,8,490,1.6326530612244898,1.5086105456368717
ADIRF,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.5353919373653706
ADK,plasma cell,skin of body,normal,17,490,3.4693877551020407,1.444368528939649
ADM,plasma cell,skin of body,normal,16,490,3.26530612244898,1.6722434200933871
ADM5,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.4497424238830123
ADNP2,plasma cell,skin of body,normal,15,490,3.061224489795918,1.529887371346054
ADO,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1418321570472778
ADORA2A,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.7874777816655638
ADORA2A-AS1,plasma cell,skin of body,normal,14,490,2.857142857142857,1.43801621871178
ADPGK,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.433127032454084
ADRA1D,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.2804569352244957
ADRA2A,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3268958970517457
ADRB2,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.288189388755625
ADRM1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.1488001340339955
ADSL,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.4827317810115994
ADSS1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.2773397446277155
ADSS2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1021883158496968
ADTRP,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.8139436043312027
AEBP1,plasma cell,skin of body,normal,11,490,2.2448979591836733,1.513319632990666
AEBP2,plasma cell,skin of body,normal,5,490,1.020408163265306,1.619096165330778
AEN,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.6113149065633638
AFDN,plasma cell,skin of body,normal,5,490,1.020408163265306,1.4759062302291743
AFF1,plasma cell,skin of body,normal,15,490,3.061224489795918,1.636258101074514
AFF4,plasma cell,skin of body,normal,45,490,9.183673469387756,1.7759511292891914
AFF4-DT,plasma cell,skin of body,normal,7,490,1.4285714285714286,2.158244661177357
AFG1L,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.4723368447164276
AFG3L2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.354468431968797
AFM,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.810527231282458
AFMID,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.1829111061129007
AFP,plasma cell,skin of body,normal,100,490,20.40816326530612,1.712380232420556
AFTPH-DT,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2670590961761774
AGA,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.705885874813157
AGA-DT,plasma cell,skin of body,normal,5,490,1.020408163265306,1.3935219270459187
AGAP1,plasma cell,skin of body,normal,11,490,2.2448979591836733,1.5922936951749695
AGAP3,plasma cell,skin of body,normal,14,490,2.857142857142857,1.6060780065497708
AGAP5,plasma cell,skin of body,normal,126,490,25.71428571428571,2.0161737567859648
AGAP6,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.38444587603686
AGBL3,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1314715160032964
AGBL5-AS1,plasma cell,skin of body,normal,40,490,8.16326530612245,1.9863756812287403
AGER,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.6463524978283854
AGFG1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.4749773014188647
AGGF1,plasma cell,skin of body,normal,180,490,36.734693877551024,1.6406000762331905
AGK,plasma cell,skin of body,normal,30,490,6.122448979591836,1.4351114084318384
AGMAT,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.3172330858212595
AGO2,plasma cell,skin of body,normal,22,490,4.489795918367347,1.5860913183257097
AGO3,plasma cell,skin of body,normal,5,490,1.020408163265306,1.345404967965684
AGO4,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2481713627262925
AGPAT2,plasma cell,skin of body,normal,5,490,1.020408163265306,1.315658100246408
AGPAT3,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.1711570301304046
AGPAT5,plasma cell,skin of body,normal,3,490,0.6122448979591837,2.1417674443713604
AGPS,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3258654908810212
AGR3,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.440854009476606
AGTRAP,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.5128064469841518
AHCYL1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2781455425277377
AHCYL2,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.2395814401906773
AHDC1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.1769710655211083
AHNAK,plasma cell,skin of body,normal,53,490,10.816326530612246,1.776077015977796
AHR,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.6159209229735665
AHRR,plasma cell,skin of body,normal,5,490,1.020408163265306,1.3843733425782987
AHSA1,plasma cell,skin of body,normal,19,490,3.877551020408163,1.5215559457330563
AHSP,plasma cell,skin of body,normal,5,490,1.020408163265306,1.9158628378315448
AIDA,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.3224468593285128
AIF1,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.374837098882247
AIG1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.486886574674486
AIM2,plasma cell,skin of body,normal,5,490,1.020408163265306,1.3347946580789274
AIP,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.543612501668079
AIPL1,plasma cell,skin of body,normal,1,490,0.2040816326530612,2.022585284526976
AK1,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.8907934803723407
AK2,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2162506114235363
AK3,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.4266874861445131
AK4,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.4835509320290825
AK6,plasma cell,skin of body,normal,5,490,1.020408163265306,1.3003493919020088
AKAP1,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.103564738584753
AKAP10,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.7517662002349843
AKAP13,plasma cell,skin of body,normal,50,490,10.20408163265306,1.7264027260913857
AKAP17A_ENSG00000197976,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2723330906580332
AKAP7,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.5301808023199943
AKIP1,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.4658051528239011
AKIRIN1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2216455576495218
AKIRIN2,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.4594100879011906
AKR1A1,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.6213339007159886
AKR1B1,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.4094237811045482
AKR1B10,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.3010645539826822
AKR1B15,plasma cell,skin of body,normal,59,490,12.040816326530612,1.503406337040187
AKR1C1,plasma cell,skin of body,normal,5,490,1.020408163265306,1.453475449768992
AKR1C2,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.5479471554573596
AKR1C3,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.2323230686494122
AKR1D1,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.4099428138886938
AKR7A2,plasma cell,skin of body,normal,1,490,0.2040816326530612,2.0161175387035395
AKR7A3,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.3883995904886146
AKT2,plasma cell,skin of body,normal,6,490,1.2244897959183674,1.8913057953035093
AKT3,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.2093204898319347
ALAD,plasma cell,skin of body,normal,97,490,19.79591836734694,1.8218292982090611
ALAS1,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.304510755766497
ALAS2,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.9469927767326496
ALB,plasma cell,skin of body,normal,26,490,5.306122448979592,2.103500504499784
ALCAM,plasma cell,skin of body,normal,31,490,6.326530612244897,1.5786370039549271
ALDH16A1,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.2564095754281226
ALDH18A1,plasma cell,skin of body,normal,4,490,0.8163265306122449,2.0577154454731232
ALDH1A2,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.7156616073606556
ALDH1A2-AS1,plasma cell,skin of body,normal,2,490,0.4081632653061224,2.0307595507256324
ALDH1A3,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.4797996260954087
ALDH1B1,plasma cell,skin of body,normal,11,490,2.2448979591836733,1.4881308094864414
ALDH1L1-AS1,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.5745438523479471
ALDH3B1,plasma cell,skin of body,normal,10,490,2.0408163265306123,1.8778979840963583
ALDH5A1,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.4370453941199928
ALDH6A1,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.6171217089349286
ALDH9A1,plasma cell,skin of body,normal,9,490,1.8367346938775515,1.554432521324724
ALDOA,plasma cell,skin of body,normal,14,490,2.857142857142857,1.4719397529081597
ALDOC,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.2872546643980023
ALG13,plasma cell,skin of body,normal,11,490,2.2448979591836733,1.8805753626380155
ALG14,plasma cell,skin of body,normal,7,490,1.4285714285714286,1.708420320257198
ALG1L2,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.2564259622211202
ALG2,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.5370831914252892
ALG3,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.541604383188029
ALG5,plasma cell,skin of body,normal,36,490,7.346938775510205,1.4729525429446626
ALG8,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.6796654495384111
ALG9,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.544932781262275
ALKAL2,plasma cell,skin of body,normal,2,490,0.4081632653061224,2.0816396898128384
ALKBH1,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.5098198840141477
ALKBH3,plasma cell,skin of body,normal,3,490,0.6122448979591837,1.7005062660446573
ALKBH3-AS1,plasma cell,skin of body,normal,32,490,6.530612244897959,1.635459328155052
ALKBH5,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.391807558198022
ALKBH7,plasma cell,skin of body,normal,49,490,10.0,1.4197226573271746
ALKBH8,plasma cell,skin of body,normal,1,490,0.2040816326530612,1.5462113784612588
ALLC,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.558044718161936
ALMS1,plasma cell,skin of body,normal,2,490,0.4081632653061224,1.264899265503094
ALOX12,plasma cell,skin of body,normal,4,490,0.8163265306122449,1.4888927941203014
