gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,professional antigen presenting cell,skin of body,normal,3,83683,0.0035849575182534,2.2026354055716726
7SK_ENSG00000202198,professional antigen presenting cell,skin of body,normal,478,83683,0.5712032312417098,1.961166195957025
7SK_ENSG00000271394,professional antigen presenting cell,skin of body,normal,2,83683,0.0023899716788356,1.6103239753169278
7SK_ENSG00000274303,professional antigen presenting cell,skin of body,normal,4,83683,0.0047799433576712,1.5455315851849407
A1BG,professional antigen presenting cell,skin of body,normal,800,83683,0.9559886715342424,1.3307945034417543
A1BG-AS1,professional antigen presenting cell,skin of body,normal,72,83683,0.0860389804380818,1.353756359406801
A1CF,professional antigen presenting cell,skin of body,normal,5,83683,0.005974929197089,1.4928706164277188
A2M,professional antigen presenting cell,skin of body,normal,18477,83683,22.079753354922744,2.120572504842837
A2M-AS1,professional antigen presenting cell,skin of body,normal,37,83683,0.0442144760584587,1.3219051798493515
A2ML1,professional antigen presenting cell,skin of body,normal,282,83683,0.3369860067158204,1.530508890437295
A2ML1-AS1,professional antigen presenting cell,skin of body,normal,54,83683,0.0645292353285613,1.6650514115240151
A2ML1-AS2,professional antigen presenting cell,skin of body,normal,6,83683,0.0071699150365068,1.479761692551523
A3GALT2,professional antigen presenting cell,skin of body,normal,3,83683,0.0035849575182534,1.3244160246435916
A4GALT,professional antigen presenting cell,skin of body,normal,124,83683,0.1481782440878075,1.3489516127410814
A4GNT,professional antigen presenting cell,skin of body,normal,3,83683,0.0035849575182534,1.5163044759383384
AAAS,professional antigen presenting cell,skin of body,normal,313,83683,0.3740305677377723,1.3509031109081615
AACS,professional antigen presenting cell,skin of body,normal,67,83683,0.0800640512409927,1.3465676265363014
AADAC,professional antigen presenting cell,skin of body,normal,966,83683,1.1543563208775975,1.4290962112651242
AADACL2-AS1,professional antigen presenting cell,skin of body,normal,58,83683,0.0693091786862325,1.6431830674290615
AADACL3,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.5437471388979729
AADACP1_ENSG00000240602,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,2.7828127746564397
AADAT,professional antigen presenting cell,skin of body,normal,54,83683,0.0645292353285613,1.432386984527022
AAGAB,professional antigen presenting cell,skin of body,normal,745,83683,0.8902644503662632,1.4102934666952205
AAK1,professional antigen presenting cell,skin of body,normal,6250,83683,7.468661496361268,1.4894786974907783
AAMDC,professional antigen presenting cell,skin of body,normal,4633,83683,5.536369394022681,1.502326145143204
AAMP,professional antigen presenting cell,skin of body,normal,1552,83683,1.85461802277643,1.355019669215804
AANAT,professional antigen presenting cell,skin of body,normal,12,83683,0.0143398300730136,1.3672839193691202
AAR2,professional antigen presenting cell,skin of body,normal,24,83683,0.0286796601460272,1.2100429551178886
AARD,professional antigen presenting cell,skin of body,normal,634,83683,0.757621022190887,1.4074767195005744
AARS1,professional antigen presenting cell,skin of body,normal,51,83683,0.0609442778103079,1.30667439308429
AARS2,professional antigen presenting cell,skin of body,normal,164,83683,0.1959776776645196,1.311601882376465
AARSD1,professional antigen presenting cell,skin of body,normal,781,83683,0.9332839405853042,1.527364366632908
AASDH,professional antigen presenting cell,skin of body,normal,41,83683,0.0489944194161299,1.3067028122764155
AASDHPPT,professional antigen presenting cell,skin of body,normal,1342,83683,1.6036709964986915,1.371683061301121
AASS,professional antigen presenting cell,skin of body,normal,28,83683,0.0334596035036984,1.296932099125672
AATBC,professional antigen presenting cell,skin of body,normal,39,83683,0.0466044477372943,1.3660047092873897
AATF,professional antigen presenting cell,skin of body,normal,308,83683,0.3680556385406833,1.323047539363425
AATK,professional antigen presenting cell,skin of body,normal,609,83683,0.727746376205442,1.4362583839161749
ABALON,professional antigen presenting cell,skin of body,normal,5,83683,0.005974929197089,1.3292797935222005
ABAT,professional antigen presenting cell,skin of body,normal,810,83683,0.9679385299284204,1.430273270604718
ABCA1,professional antigen presenting cell,skin of body,normal,14908,83683,17.814848894040605,1.6575091900787642
ABCA10,professional antigen presenting cell,skin of body,normal,1095,83683,1.3085094941624942,1.4397159344622408
ABCA12,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.234718126900048
ABCA13,professional antigen presenting cell,skin of body,normal,7,83683,0.0083649008759246,1.5051865267435285
ABCA15P,professional antigen presenting cell,skin of body,normal,36,83683,0.0430194902190409,1.4191198377014325
ABCA17P,professional antigen presenting cell,skin of body,normal,5,83683,0.005974929197089,1.4410511011574774
ABCA2,professional antigen presenting cell,skin of body,normal,187,83683,0.2234623519711291,1.4798741880386432
ABCA3,professional antigen presenting cell,skin of body,normal,55,83683,0.0657242211679791,1.3718837757045448
ABCA4,professional antigen presenting cell,skin of body,normal,27,83683,0.0322646176642806,1.5583393720416718
ABCA5,professional antigen presenting cell,skin of body,normal,672,83683,0.8030304840887635,1.464226922649888
ABCA6,professional antigen presenting cell,skin of body,normal,732,83683,0.8747296344538318,1.4228271164395525
ABCA7,professional antigen presenting cell,skin of body,normal,1708,83683,2.0410358137256077,1.5844014976579834
ABCA8,professional antigen presenting cell,skin of body,normal,116,83683,0.1386183573724651,1.442405731457653
ABCA9,professional antigen presenting cell,skin of body,normal,515,83683,0.6154177073001685,1.460696985229339
ABCA9-AS1,professional antigen presenting cell,skin of body,normal,67,83683,0.0800640512409927,1.5868855794315897
ABCB1,professional antigen presenting cell,skin of body,normal,113,83683,0.1350333998542117,1.7094448162150115
ABCB10,professional antigen presenting cell,skin of body,normal,721,83683,0.8615847902202359,1.4575852553644135
ABCB11,professional antigen presenting cell,skin of body,normal,27,83683,0.0322646176642806,1.3945572543729676
ABCB4,professional antigen presenting cell,skin of body,normal,7,83683,0.0083649008759246,1.3166614659148004
ABCB5,professional antigen presenting cell,skin of body,normal,213,83683,0.254531983795992,1.372932637215435
ABCB6,professional antigen presenting cell,skin of body,normal,77,83683,0.0920139096351708,1.462649386423165
ABCB7,professional antigen presenting cell,skin of body,normal,167,83683,0.1995626351827731,1.355344163287784
ABCB8,professional antigen presenting cell,skin of body,normal,927,83683,1.107751873140303,1.4295679535993109
ABCB9,professional antigen presenting cell,skin of body,normal,46,83683,0.0549693486132189,1.3522380148287416
ABCC1,professional antigen presenting cell,skin of body,normal,164,83683,0.1959776776645196,1.3158741674177574
ABCC10,professional antigen presenting cell,skin of body,normal,634,83683,0.757621022190887,1.4767525324323807
ABCC11,professional antigen presenting cell,skin of body,normal,3,83683,0.0035849575182534,1.2331130287767469
ABCC12,professional antigen presenting cell,skin of body,normal,2,83683,0.0023899716788356,1.3584052606548649
ABCC2,professional antigen presenting cell,skin of body,normal,117,83683,0.1398133432118829,1.4780492897089348
ABCC3,professional antigen presenting cell,skin of body,normal,1844,83683,2.2035538878864283,1.61476095290368
ABCC4,professional antigen presenting cell,skin of body,normal,533,83683,0.636927452409689,1.524903341386891
ABCC5,professional antigen presenting cell,skin of body,normal,484,83683,0.5783731462782166,1.3164073923166244
ABCC5-AS1,professional antigen presenting cell,skin of body,normal,20,83683,0.023899716788356,1.5698970064653524
ABCC6,professional antigen presenting cell,skin of body,normal,32,83683,0.0382395468613697,1.3284537595590054
ABCC6P1_ENSG00000256340,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.2382010475415492
ABCC8,professional antigen presenting cell,skin of body,normal,6,83683,0.0071699150365068,1.2452274936846135
ABCC9,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.108545833856064
ABCD1,professional antigen presenting cell,skin of body,normal,5936,83683,7.093435942784078,1.6173692614871027
ABCD2,professional antigen presenting cell,skin of body,normal,2,83683,0.0023899716788356,1.1705633756078524
ABCD3,professional antigen presenting cell,skin of body,normal,35,83683,0.0418245043796231,1.339591432869574
ABCD4,professional antigen presenting cell,skin of body,normal,2392,83683,2.8584061278873847,1.4667958872825582
ABCE1,professional antigen presenting cell,skin of body,normal,5058,83683,6.044238375775247,1.5219414144325616
ABCF1,professional antigen presenting cell,skin of body,normal,303,83683,0.3620807093435942,1.3011309659325097
ABCF2,professional antigen presenting cell,skin of body,normal,735,83683,0.8783145919720851,1.4013977444322592
ABCF2-H2BK1,professional antigen presenting cell,skin of body,normal,6,83683,0.0071699150365068,1.4870237963015274
ABCF3,professional antigen presenting cell,skin of body,normal,1557,83683,1.8605929519735191,1.4545850029174203
ABCG1,professional antigen presenting cell,skin of body,normal,584,83683,0.6978717302199968,1.2942916007115746
ABCG2,professional antigen presenting cell,skin of body,normal,73,83683,0.0872339662774996,1.2196187498684634
ABCG5,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.141202633084104
ABCG8,professional antigen presenting cell,skin of body,normal,2,83683,0.0023899716788356,1.3992268777888452
ABHD1,professional antigen presenting cell,skin of body,normal,64,83683,0.0764790937227394,1.4185593963251115
ABHD10,professional antigen presenting cell,skin of body,normal,588,83683,0.7026516735776681,1.4210933126351315
ABHD11,professional antigen presenting cell,skin of body,normal,860,83683,1.0276878218993104,1.4352193161464817
ABHD12,professional antigen presenting cell,skin of body,normal,6342,83683,7.578600193587706,1.4167465086386124
ABHD12B,professional antigen presenting cell,skin of body,normal,3,83683,0.0035849575182534,1.377199568978359
ABHD13,professional antigen presenting cell,skin of body,normal,8,83683,0.0095598867153424,1.2646071070341711
ABHD14A,professional antigen presenting cell,skin of body,normal,721,83683,0.8615847902202359,1.4238318025502208
ABHD14A-ACY1,professional antigen presenting cell,skin of body,normal,4,83683,0.0047799433576712,1.2813532793367115
ABHD14B,professional antigen presenting cell,skin of body,normal,277,83683,0.3310110775187314,1.3216187400530095
ABHD15,professional antigen presenting cell,skin of body,normal,12,83683,0.0143398300730136,1.2499791234807214
ABHD15-AS1,professional antigen presenting cell,skin of body,normal,510,83683,0.6094427781030796,2.061105589350148
ABHD16A,professional antigen presenting cell,skin of body,normal,996,83683,1.1902058960601318,1.3761359585699229
ABHD16B,professional antigen presenting cell,skin of body,normal,36,83683,0.0430194902190409,1.4049087752006542
ABHD17A,professional antigen presenting cell,skin of body,normal,779,83683,0.9308939689064684,1.3326213491221006
ABHD17B,professional antigen presenting cell,skin of body,normal,325,83683,0.3883703978107859,1.332681586387704
ABHD17C,professional antigen presenting cell,skin of body,normal,252,83683,0.3011364315332863,1.4119759142505997
ABHD18,professional antigen presenting cell,skin of body,normal,197,83683,0.2354122103653071,1.387244024468479
ABHD2,professional antigen presenting cell,skin of body,normal,4323,83683,5.165923783803162,1.526836708391594
ABHD3,professional antigen presenting cell,skin of body,normal,2063,83683,2.4652557867189278,1.4399791613214743
ABHD4,professional antigen presenting cell,skin of body,normal,1293,83683,1.545116690367219,1.4488435803526287
ABHD5,professional antigen presenting cell,skin of body,normal,2530,83683,3.0233141737270413,1.551124049313643
ABHD6,professional antigen presenting cell,skin of body,normal,1067,83683,1.2750498906587957,1.4945030370945187
ABHD8,professional antigen presenting cell,skin of body,normal,5429,83683,6.487578122199252,1.5302209973441312
ABI1,professional antigen presenting cell,skin of body,normal,707,83683,0.8448549884683866,1.324160063600382
ABI2,professional antigen presenting cell,skin of body,normal,3717,83683,4.441762365115974,1.5213834589638215
ABI3,professional antigen presenting cell,skin of body,normal,971,83683,1.1603312500746867,1.3681742603701106
ABI3BP,professional antigen presenting cell,skin of body,normal,213,83683,0.254531983795992,1.6737382826229006
ABITRAM,professional antigen presenting cell,skin of body,normal,1115,83683,1.3324092109508503,1.517831934617469
ABL1,professional antigen presenting cell,skin of body,normal,13,83683,0.0155348159124314,1.2613539817054211
ABL2,professional antigen presenting cell,skin of body,normal,6784,83683,8.106783934610375,1.4798584453268104
ABLIM1,professional antigen presenting cell,skin of body,normal,103,83683,0.1230835414600337,1.4469251257767533
ABLIM2,professional antigen presenting cell,skin of body,normal,6,83683,0.0071699150365068,1.5375617149501215
ABLIM3,professional antigen presenting cell,skin of body,normal,162,83683,0.1935877059856841,1.3328492602849449
ABO,professional antigen presenting cell,skin of body,normal,4,83683,0.0047799433576712,1.7131171696265592
ABR,professional antigen presenting cell,skin of body,normal,6850,83683,8.18565300001195,1.6252764341653878
ABR-AS1,professional antigen presenting cell,skin of body,normal,10,83683,0.011949858394178,1.5173517319381633
ABRA,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.539174044368634
ABRACL,professional antigen presenting cell,skin of body,normal,19198,83683,22.941338145142986,1.6980477163555845
ABRAXAS1,professional antigen presenting cell,skin of body,normal,147,83683,0.175662918394417,1.3022473965669077
ABRAXAS2,professional antigen presenting cell,skin of body,normal,49,83683,0.0585543061314723,1.2726389933304936
ABT1,professional antigen presenting cell,skin of body,normal,98,83683,0.1171086122629446,1.3558880105912108
ABTB1,professional antigen presenting cell,skin of body,normal,4026,83683,4.811012989496074,1.4249313228938936
ABTB2,professional antigen presenting cell,skin of body,normal,406,83683,0.4851642508036279,1.446304968568665
ABTB3,professional antigen presenting cell,skin of body,normal,65,83683,0.0776740795621571,1.5079890923359829
ACAA1,professional antigen presenting cell,skin of body,normal,6322,83683,7.554700476799351,1.4871921834755273
ACAA2,professional antigen presenting cell,skin of body,normal,253,83683,0.3023314173727041,1.2988255849596224
ACACA,professional antigen presenting cell,skin of body,normal,552,83683,0.6596321833586272,1.4694631566456196
ACACB,professional antigen presenting cell,skin of body,normal,2244,83683,2.6815482236535497,1.4783399295747968
ACAD10,professional antigen presenting cell,skin of body,normal,494,83683,0.5903230046723946,1.4591680911006264
ACAD11,professional antigen presenting cell,skin of body,normal,81,83683,0.096793852992842,1.43394652029617
ACAD8,professional antigen presenting cell,skin of body,normal,597,83683,0.7134065461324284,1.4237669831368895
ACAD9,professional antigen presenting cell,skin of body,normal,58,83683,0.0693091786862325,1.3299857733107827
ACAD9-DT,professional antigen presenting cell,skin of body,normal,7,83683,0.0083649008759246,1.4310138089038813
ACADL,professional antigen presenting cell,skin of body,normal,168,83683,0.2007576210221908,1.421375583805883
ACADM,professional antigen presenting cell,skin of body,normal,149,83683,0.1780528900732526,1.2808107297574691
ACADS,professional antigen presenting cell,skin of body,normal,392,83683,0.4684344490517787,1.311548381445851
ACADSB,professional antigen presenting cell,skin of body,normal,255,83683,0.3047213890515398,1.3963595500384502
ACADVL,professional antigen presenting cell,skin of body,normal,28592,83683,34.16703512063382,1.6775252016380793
ACAP1,professional antigen presenting cell,skin of body,normal,5004,83683,5.979709140446686,1.5448080554037198
ACAP2,professional antigen presenting cell,skin of body,normal,13410,83683,16.024760106592737,1.566109465864311
ACAP2-IT1,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.4590866940030327
ACAP3,professional antigen presenting cell,skin of body,normal,1006,83683,1.2021557544543098,1.4947467060221094
ACAT1,professional antigen presenting cell,skin of body,normal,770,83683,0.9201390963517082,1.3472916440958342
ACAT2,professional antigen presenting cell,skin of body,normal,980,83683,1.171086122629447,1.3748287227623708
ACBD3,professional antigen presenting cell,skin of body,normal,664,83683,0.7934705973734212,1.331299254537076
ACBD3-AS1,professional antigen presenting cell,skin of body,normal,10,83683,0.011949858394178,1.5812474064602202
ACBD4,professional antigen presenting cell,skin of body,normal,7824,83683,9.349569207604889,1.785188236729888
ACBD5,professional antigen presenting cell,skin of body,normal,32,83683,0.0382395468613697,1.237077560367499
ACBD6,professional antigen presenting cell,skin of body,normal,265,83683,0.3166712474457178,1.3456735789664211
ACBD7,professional antigen presenting cell,skin of body,normal,261,83683,0.3118913040880465,1.4087728247790483
ACCS,professional antigen presenting cell,skin of body,normal,898,83683,1.073097283797187,1.4840935520449543
ACCSL,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.4939620979951378
ACD,professional antigen presenting cell,skin of body,normal,353,83683,0.4218300013144844,1.3656310461412215
ACE,professional antigen presenting cell,skin of body,normal,62,83683,0.0740891220439037,1.534703396425788
ACE2,professional antigen presenting cell,skin of body,normal,1,83683,0.0011949858394178,1.1040610731134928
