gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,regulatory T cell,skin of body,normal,20,11922,0.1677570877369568,2.0756783734975377
A1BG,regulatory T cell,skin of body,normal,232,11922,1.9459822177487,1.2946309732716026
A1BG-AS1,regulatory T cell,skin of body,normal,21,11922,0.1761449421238047,1.3638885874573163
A1CF,regulatory T cell,skin of body,normal,2,11922,0.0167757087736956,1.2627956062881114
A2M,regulatory T cell,skin of body,normal,174,11922,1.4594866633115249,1.7078854962995187
A2M-AS1,regulatory T cell,skin of body,normal,5,11922,0.0419392719342392,1.2203056931654166
A2ML1,regulatory T cell,skin of body,normal,168,11922,1.4091595369904375,1.7640460178300568
A2ML1-AS1,regulatory T cell,skin of body,normal,9,11922,0.0754906894816306,1.9939306773124457
A2ML1-AS2,regulatory T cell,skin of body,normal,6,11922,0.050327126321087,2.1109771680615075
A4GALT,regulatory T cell,skin of body,normal,44,11922,0.3690655930213051,1.3578497394432365
AAAS,regulatory T cell,skin of body,normal,75,11922,0.6290890790135883,1.290986019970003
AACS,regulatory T cell,skin of body,normal,19,11922,0.159369233350109,1.2930041877621812
AADAC,regulatory T cell,skin of body,normal,327,11922,2.742828384499245,1.4871977910654643
AADACL2-AS1,regulatory T cell,skin of body,normal,38,11922,0.3187384667002181,1.817337384650108
AADAT,regulatory T cell,skin of body,normal,2679,11922,22.47106190236537,1.9118105386641364
AAGAB,regulatory T cell,skin of body,normal,622,11922,5.217245428619359,1.4282148168656077
AAK1,regulatory T cell,skin of body,normal,1353,11922,11.348766985405131,1.5210257809919565
AAMDC,regulatory T cell,skin of body,normal,406,11922,3.4054688810602243,1.5908168160488692
AAMP,regulatory T cell,skin of body,normal,376,11922,3.15383324945479,1.3125751492299824
AAR2,regulatory T cell,skin of body,normal,6,11922,0.050327126321087,1.216515659605923
AARD,regulatory T cell,skin of body,normal,333,11922,2.7931555108203323,1.4160341405340824
AARS1,regulatory T cell,skin of body,normal,6,11922,0.050327126321087,1.2113969887771978
AARS2,regulatory T cell,skin of body,normal,2,11922,0.0167757087736956,1.3763385137207438
AARSD1,regulatory T cell,skin of body,normal,341,11922,2.8602583459151147,1.5620867879161666
AASDH,regulatory T cell,skin of body,normal,7,11922,0.0587149807079349,1.2434812871094931
AASDHPPT,regulatory T cell,skin of body,normal,552,11922,4.6300956215400095,1.383168254533384
AASS,regulatory T cell,skin of body,normal,4,11922,0.0335514175473913,1.2518879078369514
AATF,regulatory T cell,skin of body,normal,156,11922,1.308505284348264,1.2734096412766855
AATK,regulatory T cell,skin of body,normal,136,11922,1.1407481966113069,1.5446363000461316
ABALON,regulatory T cell,skin of body,normal,2,11922,0.0167757087736956,1.6439916900631348
ABAT,regulatory T cell,skin of body,normal,351,11922,2.9441368897835933,1.4490039544882258
ABCA1,regulatory T cell,skin of body,normal,19,11922,0.159369233350109,1.2930881428637089
ABCA10,regulatory T cell,skin of body,normal,514,11922,4.311357154839792,1.4831794712183917
ABCA13,regulatory T cell,skin of body,normal,9,11922,0.0754906894816306,1.301148290978996
ABCA17P,regulatory T cell,skin of body,normal,1,11922,0.0083878543868478,1.4028058639588772
ABCA2,regulatory T cell,skin of body,normal,85,11922,0.7129676228820668,1.50136449000678
ABCA3,regulatory T cell,skin of body,normal,37,11922,0.3103506123133702,1.3271674654738133
ABCA4,regulatory T cell,skin of body,normal,11,11922,0.0922663982553262,1.5285184726982903
ABCA5,regulatory T cell,skin of body,normal,60,11922,0.5032712632108707,1.290467445737573
ABCA6,regulatory T cell,skin of body,normal,317,11922,2.6589498406307666,1.423714348430427
ABCA7,regulatory T cell,skin of body,normal,279,11922,2.340211373930549,1.5295500724656326
ABCA8,regulatory T cell,skin of body,normal,81,11922,0.6794162053346754,1.4860791481619255
ABCA9,regulatory T cell,skin of body,normal,61,11922,0.5116591175977185,1.51569885778532
ABCA9-AS1,regulatory T cell,skin of body,normal,1,11922,0.0083878543868478,1.2205859069003646
ABCB1,regulatory T cell,skin of body,normal,22,11922,0.1845327965106525,1.8265467047811923
ABCB10,regulatory T cell,skin of body,normal,99,11922,0.8303975842979365,1.493618324989766
ABCB11,regulatory T cell,skin of body,normal,7,11922,0.0587149807079349,1.376135163713642
ABCB5,regulatory T cell,skin of body,normal,144,11922,1.2078510317060895,1.3237742771015992
ABCB6,regulatory T cell,skin of body,normal,18,11922,0.1509813789632612,1.4519161631337951
ABCB7,regulatory T cell,skin of body,normal,80,11922,0.6710283509478275,1.3362800281532403
ABCB8,regulatory T cell,skin of body,normal,198,11922,1.660795168595873,1.40185163933171
ABCB9,regulatory T cell,skin of body,normal,45,11922,0.377453447408153,1.32846149443758
ABCC1,regulatory T cell,skin of body,normal,28,11922,0.2348599228317396,1.3328363997765702
ABCC10,regulatory T cell,skin of body,normal,167,11922,1.40077168260359,1.5193288782871457
ABCC11,regulatory T cell,skin of body,normal,4,11922,0.0335514175473913,1.344706441122722
ABCC2,regulatory T cell,skin of body,normal,91,11922,0.7632947492031538,1.496419150940601
ABCC3,regulatory T cell,skin of body,normal,46,11922,0.3858413017950008,1.896521852020138
ABCC4,regulatory T cell,skin of body,normal,2,11922,0.0167757087736956,1.523832856823983
ABCC5,regulatory T cell,skin of body,normal,19,11922,0.159369233350109,1.2446567362426528
ABCC5-AS1,regulatory T cell,skin of body,normal,2,11922,0.0167757087736956,2.0550309267505757
ABCC8,regulatory T cell,skin of body,normal,32,11922,0.268411340379131,1.321443464171704
ABCD1,regulatory T cell,skin of body,normal,2319,11922,19.451434323100152,1.817417388307194
ABCD3,regulatory T cell,skin of body,normal,7,11922,0.0587149807079349,1.2590780859727038
ABCD4,regulatory T cell,skin of body,normal,497,11922,4.168763630263379,1.4669085092333258
ABCE1,regulatory T cell,skin of body,normal,1804,11922,15.131689313873512,1.658351793817416
ABCF1,regulatory T cell,skin of body,normal,22,11922,0.1845327965106525,1.291637191890495
ABCF2,regulatory T cell,skin of body,normal,249,11922,2.088575742325113,1.395095902952045
ABCF2-H2BK1,regulatory T cell,skin of body,normal,8,11922,0.0671028350947827,1.280233136176219
ABCF3,regulatory T cell,skin of body,normal,444,11922,3.724207347760443,1.5095091095987947
ABCG1,regulatory T cell,skin of body,normal,62,11922,0.5200469719845663,1.3154768201930749
ABCG2,regulatory T cell,skin of body,normal,2,11922,0.0167757087736956,1.5164290247404577
ABCG8,regulatory T cell,skin of body,normal,3,11922,0.0251635631605435,1.377842248475215
ABHD1,regulatory T cell,skin of body,normal,5,11922,0.0419392719342392,1.3046152332424503
ABHD10,regulatory T cell,skin of body,normal,338,11922,2.835094782754571,1.4355475479268929
