gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,sebaceous gland cell,skin of body,normal,8,235,3.404255319148936,1.6130235799565016
A1BG,sebaceous gland cell,skin of body,normal,2,235,0.851063829787234,1.599601071901719
A1BG-AS1,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,2.4269459968629983
A2M,sebaceous gland cell,skin of body,normal,4,235,1.702127659574468,2.3847150287388903
A2ML1,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,2.74012946509464
A3GALT2,sebaceous gland cell,skin of body,normal,5,235,2.127659574468085,1.5379162264959114
A4GALT,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.2824404375670926
AAAS,sebaceous gland cell,skin of body,normal,3,235,1.276595744680851,1.782649906926703
AACS,sebaceous gland cell,skin of body,normal,72,235,30.638297872340424,2.00007048793976
AADACL2-AS1,sebaceous gland cell,skin of body,normal,2,235,0.851063829787234,1.6564664932808526
AADACL3,sebaceous gland cell,skin of body,normal,38,235,16.170212765957448,2.230678139960399
AADACL4,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.854173671097408
AAGAB,sebaceous gland cell,skin of body,normal,15,235,6.382978723404255,1.936505577732935
AAK1,sebaceous gland cell,skin of body,normal,34,235,14.468085106382976,2.056215705786795
AAMDC,sebaceous gland cell,skin of body,normal,11,235,4.680851063829787,2.3634246384675994
AAMP,sebaceous gland cell,skin of body,normal,3,235,1.276595744680851,2.24109926799229
AAR2,sebaceous gland cell,skin of body,normal,2,235,0.851063829787234,1.5545429871746557
AARD,sebaceous gland cell,skin of body,normal,6,235,2.553191489361702,1.8112536200287188
AARS1,sebaceous gland cell,skin of body,normal,3,235,1.276595744680851,1.580180972323087
AARS2,sebaceous gland cell,skin of body,normal,3,235,1.276595744680851,1.5507448095126646
AARSD1,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.9787385811674805
AASDH,sebaceous gland cell,skin of body,normal,9,235,3.829787234042553,1.6211203059467822
AASDHPPT,sebaceous gland cell,skin of body,normal,8,235,3.404255319148936,1.939450527580272
AASS,sebaceous gland cell,skin of body,normal,5,235,2.127659574468085,1.394463102836323
AATBC,sebaceous gland cell,skin of body,normal,69,235,29.361702127659573,1.9794992362790311
AATF,sebaceous gland cell,skin of body,normal,10,235,4.25531914893617,1.663039079749444
AATK,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.612808573684574
ABAT,sebaceous gland cell,skin of body,normal,11,235,4.680851063829787,1.9969745475163851
ABCA1,sebaceous gland cell,skin of body,normal,3,235,1.276595744680851,2.155432576397681
ABCA12,sebaceous gland cell,skin of body,normal,3,235,1.276595744680851,1.5384007806667874
ABCA13,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.174353129445975
ABCA15P,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.672398655921146
ABCA2,sebaceous gland cell,skin of body,normal,5,235,2.127659574468085,1.8605560427808443
ABCA3,sebaceous gland cell,skin of body,normal,11,235,4.680851063829787,1.5978530822389825
ABCA4,sebaceous gland cell,skin of body,normal,9,235,3.829787234042553,1.9197197725309227
ABCA5,sebaceous gland cell,skin of body,normal,10,235,4.25531914893617,1.875151822406296
ABCA6,sebaceous gland cell,skin of body,normal,2,235,0.851063829787234,1.6593519539988693
ABCA7,sebaceous gland cell,skin of body,normal,25,235,10.638297872340424,2.28280490663237
ABCB1,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.595953608890015
ABCB10,sebaceous gland cell,skin of body,normal,2,235,0.851063829787234,1.7601137222160217
ABCB11,sebaceous gland cell,skin of body,normal,7,235,2.9787234042553195,1.9622623028195776
ABCB4,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.3903513674700012
ABCB5,sebaceous gland cell,skin of body,normal,3,235,1.276595744680851,1.7507026121688063
ABCB7,sebaceous gland cell,skin of body,normal,12,235,5.106382978723404,1.659335317884553
ABCB8,sebaceous gland cell,skin of body,normal,11,235,4.680851063829787,2.137906951689407
ABCB9,sebaceous gland cell,skin of body,normal,2,235,0.851063829787234,1.8130760632773213
ABCC1,sebaceous gland cell,skin of body,normal,15,235,6.382978723404255,1.5571711634083256
ABCC10,sebaceous gland cell,skin of body,normal,6,235,2.553191489361702,2.237557937540412
ABCC12,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.6589582524294535
ABCC2,sebaceous gland cell,skin of body,normal,1,235,0.425531914893617,1.157766097795095
ABCC3,sebaceous gland cell,skin of body,normal,34,235,14.468085106382976,3.046878999755818
