gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,skin fibroblast,skin of body,normal,932,94775,0.9833816934845688,1.3153742255828047
A1BG-AS1,skin fibroblast,skin of body,normal,275,94775,0.2901609074122923,1.354696993107082
A1CF,skin fibroblast,skin of body,normal,1,94775,0.0010551305724083,1.6727773814940785
A2M,skin fibroblast,skin of body,normal,5419,94775,5.71775257188077,2.004818925954976
A2M-AS1,skin fibroblast,skin of body,normal,19,94775,0.0200474808757583,1.3030777169596508
A2ML1,skin fibroblast,skin of body,normal,84,94775,0.0886309680823001,1.7171563079189367
A2ML1-AS1,skin fibroblast,skin of body,normal,25,94775,0.0263782643102083,2.280026616838516
A2ML1-AS2,skin fibroblast,skin of body,normal,2,94775,0.0021102611448166,1.735449271541998
A3GALT2,skin fibroblast,skin of body,normal,6,94775,0.00633078343445,2.361893772725871
A4GALT,skin fibroblast,skin of body,normal,6794,94775,7.168557108942232,1.3591622032988144
A4GNT,skin fibroblast,skin of body,normal,1,94775,0.0010551305724083,1.46833545698241
AAAS,skin fibroblast,skin of body,normal,939,94775,0.990767607491427,1.3798205563776011
AACS,skin fibroblast,skin of body,normal,548,94775,0.5782115536797678,1.3608397646291068
AACSP1_ENSG00000250420,skin fibroblast,skin of body,normal,1,94775,0.0010551305724083,1.86729729500542
AADAC,skin fibroblast,skin of body,normal,324,94775,0.3418623054603007,1.7292790599187309
AADACL2,skin fibroblast,skin of body,normal,6,94775,0.00633078343445,1.2831426873350371
AADACL2-AS1,skin fibroblast,skin of body,normal,62,94775,0.0654180954893168,3.0252650577247766
AADACP1_ENSG00000240602,skin fibroblast,skin of body,normal,41,94775,0.0432603534687417,1.5231646197659583
AADAT,skin fibroblast,skin of body,normal,550,94775,0.5803218148245846,1.425883688356408
AAGAB,skin fibroblast,skin of body,normal,1563,94775,1.6491690846742284,1.480641575883183
AAK1,skin fibroblast,skin of body,normal,6000,94775,6.330783434450013,1.5056785971623627
AAMDC,skin fibroblast,skin of body,normal,14509,94775,15.30888947507254,1.717540203577564
AAMP,skin fibroblast,skin of body,normal,5624,94775,5.9340543392244784,1.3971625541149617
AANAT,skin fibroblast,skin of body,normal,8,94775,0.0084410445792666,1.730598319018441
AAR2,skin fibroblast,skin of body,normal,205,94775,0.2163017673437088,1.297153517023397
AARD,skin fibroblast,skin of body,normal,18,94775,0.01899235030335,1.3939848752209196
AARS1,skin fibroblast,skin of body,normal,99,94775,0.1044579266684252,1.2619837425662928
AARS2,skin fibroblast,skin of body,normal,33,94775,0.034819308889475,1.265462216832986
AARSD1,skin fibroblast,skin of body,normal,2612,94775,2.7560010551305725,1.565647862290089
AASDH,skin fibroblast,skin of body,normal,309,94775,0.3260353468741757,1.296376931768361
AASDHPPT,skin fibroblast,skin of body,normal,2426,94775,2.559746768662622,1.4319089750953844
AASS,skin fibroblast,skin of body,normal,227,94775,0.2395146399366921,1.3337751539377758
AATBC,skin fibroblast,skin of body,normal,12,94775,0.0126615668689,1.3839887837475275
AATF,skin fibroblast,skin of body,normal,147,94775,0.1551041941440253,1.397255725521007
AATK,skin fibroblast,skin of body,normal,84,94775,0.0886309680823001,1.7199020948172925
ABALON,skin fibroblast,skin of body,normal,105,94775,0.1107887101028752,1.3403813530027042
ABAT,skin fibroblast,skin of body,normal,272,94775,0.2869955156950672,1.5684062219612902
ABCA1,skin fibroblast,skin of body,normal,9461,94775,9.982590345555264,1.489452527824059
ABCA10,skin fibroblast,skin of body,normal,5080,94775,5.360063307834344,1.648881935272742
ABCA11P,skin fibroblast,skin of body,normal,44,94775,0.0464257451859667,1.393765948167384
ABCA12,skin fibroblast,skin of body,normal,1,94775,0.0010551305724083,1.105150276413598
ABCA13,skin fibroblast,skin of body,normal,3,94775,0.003165391717225,1.1639746908321955
ABCA15P,skin fibroblast,skin of body,normal,51,94775,0.0538116591928251,1.4502317562145357
ABCA17P,skin fibroblast,skin of body,normal,80,94775,0.0844104457926668,2.056244031368678
ABCA2,skin fibroblast,skin of body,normal,1613,94775,1.7019256132946452,1.521952961886281
ABCA3,skin fibroblast,skin of body,normal,109,94775,0.1150092323925085,1.3398729119972153
ABCA4,skin fibroblast,skin of body,normal,32,94775,0.0337641783170667,1.6372042130000428
