gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,small pre-B-II cell,skin of body,normal,27,222,12.162162162162163,1.4368566607884663
AAAS,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.2825618702123414
AACS,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.1214370308257238
AAGAB,small pre-B-II cell,skin of body,normal,16,222,7.207207207207207,1.4782775304695477
AAK1,small pre-B-II cell,skin of body,normal,8,222,3.603603603603604,1.491752332561893
AAMDC,small pre-B-II cell,skin of body,normal,6,222,2.702702702702702,1.8734058369886777
AAMP,small pre-B-II cell,skin of body,normal,28,222,12.612612612612612,1.2930974716919648
AARSD1,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,2.1319375620741394
AASDHPPT,small pre-B-II cell,skin of body,normal,15,222,6.756756756756757,1.2857515528780763
AATF,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.2079100933250344
ABALON,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.1229664453302426
ABCA1,small pre-B-II cell,skin of body,normal,16,222,7.207207207207207,1.2843945257518643
ABCA7,small pre-B-II cell,skin of body,normal,14,222,6.306306306306306,1.762439878352563
ABCB1,small pre-B-II cell,skin of body,normal,4,222,1.8018018018018016,1.695659250036697
ABCB4,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.1372625657106334
ABCB6,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.6526122790479445
ABCB7,small pre-B-II cell,skin of body,normal,5,222,2.2522522522522523,1.311663047366533
ABCB8,small pre-B-II cell,skin of body,normal,5,222,2.2522522522522523,1.443850019626708
ABCC10,small pre-B-II cell,skin of body,normal,4,222,1.8018018018018016,1.5525325041188882
ABCD1,small pre-B-II cell,skin of body,normal,6,222,2.702702702702702,1.412739582278843
ABCD4,small pre-B-II cell,skin of body,normal,31,222,13.963963963963964,1.5749753567517482
ABCE1,small pre-B-II cell,skin of body,normal,41,222,18.46846846846847,1.695843819537664
ABCF3,small pre-B-II cell,skin of body,normal,5,222,2.2522522522522523,1.6151725169388804
ABCG1,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.243547555564751
ABHD10,small pre-B-II cell,skin of body,normal,13,222,5.855855855855856,1.5470991962916305
ABHD11,small pre-B-II cell,skin of body,normal,9,222,4.054054054054054,1.708902050571166
ABHD12,small pre-B-II cell,skin of body,normal,4,222,1.8018018018018016,1.4229463821459436
ABHD12B,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.683231504717027
ABHD14B,small pre-B-II cell,skin of body,normal,7,222,3.153153153153153,1.1737071515016944
ABHD15,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.1648140804421567
ABHD16A,small pre-B-II cell,skin of body,normal,15,222,6.756756756756757,1.5013440399818758
ABHD17A,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.2154326770855484
ABHD17B,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.317305959803682
ABHD18,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.2737023842758666
ABHD2,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,2.0518551623566426
ABHD3,small pre-B-II cell,skin of body,normal,19,222,8.558558558558559,1.420142353440904
ABHD4,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.6438355143232155
ABHD5,small pre-B-II cell,skin of body,normal,5,222,2.2522522522522523,1.2773888620420906
ABHD8,small pre-B-II cell,skin of body,normal,11,222,4.954954954954955,1.798426890883566
ABI1,small pre-B-II cell,skin of body,normal,5,222,2.2522522522522523,1.2533863508269123
ABI2,small pre-B-II cell,skin of body,normal,5,222,2.2522522522522523,1.775731509969389
ABITRAM,small pre-B-II cell,skin of body,normal,4,222,1.8018018018018016,2.0449044735341486
ABLIM1,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.396811999424617
ABLIM2,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.6136143588327578
ABR,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.5934900248205712
ABRACL,small pre-B-II cell,skin of body,normal,81,222,36.48648648648648,1.9188602293511816
ABRAXAS1,small pre-B-II cell,skin of body,normal,9,222,4.054054054054054,1.2716551353155117
ABT1,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.3174773229921868
ABTB1,small pre-B-II cell,skin of body,normal,41,222,18.46846846846847,1.6281749428581904
ACAA1,small pre-B-II cell,skin of body,normal,29,222,13.063063063063062,1.5164919346355694
ACAA2,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.247497459331198
ACACA,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.6237908117793691
ACACB,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.2021633265033216
ACAD10,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.5976225718016628
ACAD8,small pre-B-II cell,skin of body,normal,7,222,3.153153153153153,1.3293300308521303
ACADM,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.4577568459526444
ACADS,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.262431804063803
ACADSB,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.5416317352368656
ACADVL,small pre-B-II cell,skin of body,normal,32,222,14.414414414414416,1.647238679155956
ACAP1,small pre-B-II cell,skin of body,normal,47,222,21.17117117117117,1.8178738102779683
ACAP2,small pre-B-II cell,skin of body,normal,80,222,36.03603603603604,1.7580522799882634
ACAP3,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.2043691510822083
ACAT1,small pre-B-II cell,skin of body,normal,4,222,1.8018018018018016,1.414270584990911
ACAT2,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.2657656726173103
ACBD4,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.313442239670837
ACBD6,small pre-B-II cell,skin of body,normal,7,222,3.153153153153153,1.1962994766682884
ACD,small pre-B-II cell,skin of body,normal,18,222,8.108108108108109,1.2852472126210044
ACIN1,small pre-B-II cell,skin of body,normal,37,222,16.666666666666664,1.6106270447560358
ACLY,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.1568323975018124
ACOT1,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.2910246322335308
ACOT2,small pre-B-II cell,skin of body,normal,6,222,2.702702702702702,1.1990331585838896
ACOT7,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.148674888813222
ACOT8,small pre-B-II cell,skin of body,normal,12,222,5.405405405405405,1.450155759577151
ACOT9,small pre-B-II cell,skin of body,normal,8,222,3.603603603603604,1.2558135906196146
ACOX1,small pre-B-II cell,skin of body,normal,10,222,4.504504504504505,1.6417225638970667
ACOX3,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.2470083223062745
ACOXL,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.292600301717585
ACP1,small pre-B-II cell,skin of body,normal,103,222,46.3963963963964,1.8329788333123893
ACP2,small pre-B-II cell,skin of body,normal,2,222,0.9009009009009008,1.3321076472627444
ACP5,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.1188512238402906
ACP6,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.4723301488896932
ACRBP,small pre-B-II cell,skin of body,normal,3,222,1.351351351351351,1.691883011648886
ACSF2,small pre-B-II cell,skin of body,normal,4,222,1.8018018018018016,1.7762189116012244
ACSF3,small pre-B-II cell,skin of body,normal,25,222,11.26126126126126,1.5463488423834797
ACSM1,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.149042735744483
ACSM3,small pre-B-II cell,skin of body,normal,98,222,44.14414414414414,2.207231982316354
ACTA2,small pre-B-II cell,skin of body,normal,1,222,0.4504504504504504,1.8074477548505512
ACTB,small pre-B-II cell,skin of body,normal,216,222,97.2972972972973,3.4537262136244595
ACTG1,small pre-B-II cell,skin of body,normal,212,222,95.4954954954955,2.7896312870779214
