gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,stem cell of epidermis,skin of body,normal,7,29730,0.0235452404978136,1.683949980409667
A1BG-AS1,stem cell of epidermis,skin of body,normal,1,29730,0.0033636057854019,1.7863283674644743
A1CF,stem cell of epidermis,skin of body,normal,1,29730,0.0033636057854019,2.182909535883182
A2M,stem cell of epidermis,skin of body,normal,114,29730,0.3834510595358223,1.666466705040032
A2M-AS1,stem cell of epidermis,skin of body,normal,8,29730,0.0269088462832156,1.3942187183606003
A2ML1,stem cell of epidermis,skin of body,normal,182,29730,0.6121762529431551,2.613578006512947
A2ML1-AS1,stem cell of epidermis,skin of body,normal,28,29730,0.0941809619912546,2.8992133507408755
A3GALT2,stem cell of epidermis,skin of body,normal,10,29730,0.0336360578540195,2.492405438257813
A4GALT,stem cell of epidermis,skin of body,normal,13,29730,0.0437268752102253,1.4250331398406466
AAAS,stem cell of epidermis,skin of body,normal,38,29730,0.1278170198452741,1.6950214278348956
AACS,stem cell of epidermis,skin of body,normal,146,29730,0.4910864446686848,1.8311112173896449
AADAC,stem cell of epidermis,skin of body,normal,40,29730,0.134544231416078,1.554497115682982
AADACL2,stem cell of epidermis,skin of body,normal,24,29730,0.0807265388496468,1.3230901881403647
AADACL2-AS1,stem cell of epidermis,skin of body,normal,34,29730,0.1143625967036663,2.333236767839621
AADACL4,stem cell of epidermis,skin of body,normal,1,29730,0.0033636057854019,1.302874757158475
AADAT,stem cell of epidermis,skin of body,normal,4,29730,0.0134544231416078,1.4413988724509972
AAGAB,stem cell of epidermis,skin of body,normal,191,29730,0.6424487050117726,1.7338390249095088
AAK1,stem cell of epidermis,skin of body,normal,540,29730,1.8163471241170532,1.7541012772053046
AAMDC,stem cell of epidermis,skin of body,normal,5479,29730,18.42919609821729,1.4407853836691633
AAMP,stem cell of epidermis,skin of body,normal,913,29730,3.070972082071981,1.3127136553071352
AANAT,stem cell of epidermis,skin of body,normal,2,29730,0.0067272115708039,2.2030663334810354
AAR2,stem cell of epidermis,skin of body,normal,20,29730,0.067272115708039,1.685071037912597
AARD,stem cell of epidermis,skin of body,normal,36,29730,0.1210898082744702,1.5355047164794344
