gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,stromal cell,skin of body,normal,3,2123,0.1413094677343382,1.180675187586228
A1BG-AS1,stromal cell,skin of body,normal,7,2123,0.3297220913801225,1.607078475648737
A2M,stromal cell,skin of body,normal,333,2123,15.68535091851154,1.5119893254936685
A2M-AS1,stromal cell,skin of body,normal,4,2123,0.1884126236457842,1.3799769212075488
A2ML1,stromal cell,skin of body,normal,29,2123,1.3659915214319358,1.590754013558722
A2ML1-AS1,stromal cell,skin of body,normal,2,2123,0.0942063118228921,1.6722459271701786
A2ML1-AS2,stromal cell,skin of body,normal,1,2123,0.047103155911446,2.054132622803539
A4GALT,stromal cell,skin of body,normal,9,2123,0.4239284032030146,1.3935871683129883
AAAS,stromal cell,skin of body,normal,1,2123,0.047103155911446,1.1477692322616988
AADAC,stromal cell,skin of body,normal,123,2123,5.7936881771078665,1.402025193678733
AADACL2-AS1,stromal cell,skin of body,normal,11,2123,0.5181347150259068,1.5112760068314648
AAGAB,stromal cell,skin of body,normal,8,2123,0.3768252472915685,1.567687593490935
AAMDC,stromal cell,skin of body,normal,87,2123,4.097974564295808,1.5457217990174514
AAMP,stromal cell,skin of body,normal,8,2123,0.3768252472915685,1.2606356408151025
AAR2,stromal cell,skin of body,normal,2,2123,0.0942063118228921,1.4040917638291075
AARD,stromal cell,skin of body,normal,84,2123,3.9566650965614696,1.385783041263512
AARS2,stromal cell,skin of body,normal,11,2123,0.5181347150259068,1.301371068472293
AARSD1,stromal cell,skin of body,normal,14,2123,0.659444182760245,2.824518741723929
AASDHPPT,stromal cell,skin of body,normal,42,2123,1.9783325482807348,1.427520828227205
AASS,stromal cell,skin of body,normal,8,2123,0.3768252472915685,1.4074563819728676
AATF,stromal cell,skin of body,normal,5,2123,0.2355157795572303,1.2528442756949338
AATK,stromal cell,skin of body,normal,23,2123,1.0833725859632597,1.431261569240908
ABAT,stromal cell,skin of body,normal,120,2123,5.6523787093735285,1.3952619378981206
ABCA1,stromal cell,skin of body,normal,4,2123,0.1884126236457842,1.334384847768218
ABCA10,stromal cell,skin of body,normal,435,2123,20.48987282147904,1.4434014980083183
ABCA13,stromal cell,skin of body,normal,3,2123,0.1413094677343382,1.1864100726802589
ABCA2,stromal cell,skin of body,normal,254,2123,11.964201601507302,1.6050341770708614
ABCA3,stromal cell,skin of body,normal,7,2123,0.3297220913801225,1.3185250932831774
ABCA5,stromal cell,skin of body,normal,7,2123,0.3297220913801225,1.2468408152843258
ABCA6,stromal cell,skin of body,normal,38,2123,1.7899199246349504,1.4731678804749426
ABCA7,stromal cell,skin of body,normal,1,2123,0.047103155911446,2.9572052605686907
ABCA8,stromal cell,skin of body,normal,27,2123,1.2717852096090438,1.4063359810066205
ABCA9,stromal cell,skin of body,normal,17,2123,0.8007536504945831,1.403212764779204
ABCA9-AS1,stromal cell,skin of body,normal,3,2123,0.1413094677343382,1.2304667468784385
ABCB1,stromal cell,skin of body,normal,20,2123,0.9420631182289214,1.8449484238880076
ABCB11,stromal cell,skin of body,normal,11,2123,0.5181347150259068,1.2959493003753395
ABCB5,stromal cell,skin of body,normal,51,2123,2.402260951483749,1.3489622612306809
ABCB7,stromal cell,skin of body,normal,3,2123,0.1413094677343382,1.3715135824694322
ABCB8,stromal cell,skin of body,normal,4,2123,0.1884126236457842,1.2534270772634453
ABCB9,stromal cell,skin of body,normal,4,2123,0.1884126236457842,1.2270302188482132
ABCC2,stromal cell,skin of body,normal,26,2123,1.2246820536975978,1.4273583567002428
ABCC3,stromal cell,skin of body,normal,3,2123,0.1413094677343382,1.4158445760466885
ABCC4,stromal cell,skin of body,normal,24,2123,1.1304757418747056,1.3230027287336956
ABCC5-AS1,stromal cell,skin of body,normal,18,2123,0.8478568064060292,1.495646838635373
ABCD1,stromal cell,skin of body,normal,994,2123,46.82053697597739,1.7087978627869844
ABCD3,stromal cell,skin of body,normal,1,2123,0.047103155911446,1.4988146388327908
ABCD4,stromal cell,skin of body,normal,40,2123,1.8841262364578428,1.3709693237724832
ABCE1,stromal cell,skin of body,normal,243,2123,11.446066886481397,1.4979031863267802
ABCF1,stromal cell,skin of body,normal,2,2123,0.0942063118228921,1.2641584698278896
ABCF2-H2BK1,stromal cell,skin of body,normal,3,2123,0.1413094677343382,1.2929611887111443
ABCF3,stromal cell,skin of body,normal,48,2123,2.260951483749411,1.499559091524423
ABCG1,stromal cell,skin of body,normal,7,2123,0.3297220913801225,1.38931909208728
ABCG2,stromal cell,skin of body,normal,3,2123,0.1413094677343382,1.3704157432606632
