gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,B-1 B cell,spleen,normal,3,4440,0.0675675675675675,1.2050329861090192
A2M,B-1 B cell,spleen,normal,5,4440,0.1126126126126126,1.3412440030545665
A2ML1,B-1 B cell,spleen,normal,1,4440,0.0225225225225225,1.271596361665129
AAAS,B-1 B cell,spleen,normal,3,4440,0.0675675675675675,1.129728724598172
AACS,B-1 B cell,spleen,normal,1,4440,0.0225225225225225,1.2291701260123236
AAGAB,B-1 B cell,spleen,normal,32,4440,0.7207207207207207,1.2352009098621446
AAK1,B-1 B cell,spleen,normal,15,4440,0.3378378378378378,1.3062313622085422
AAMDC,B-1 B cell,spleen,normal,36,4440,0.8108108108108109,1.3251651639002506
AAMP,B-1 B cell,spleen,normal,19,4440,0.4279279279279279,1.195015841245669
AARSD1,B-1 B cell,spleen,normal,66,4440,1.4864864864864866,1.262467376208541
AASDHPPT,B-1 B cell,spleen,normal,60,4440,1.351351351351351,1.2507765118221454
AATF,B-1 B cell,spleen,normal,2,4440,0.045045045045045,1.1380345541506045
AATK,B-1 B cell,spleen,normal,2,4440,0.045045045045045,1.1088892015789111
ABAT,B-1 B cell,spleen,normal,5,4440,0.1126126126126126,1.2200554883628216
ABCA1,B-1 B cell,spleen,normal,4,4440,0.09009009009009,1.2386003219661803
ABCA5,B-1 B cell,spleen,normal,1,4440,0.0225225225225225,1.2695567502083618
ABCA6,B-1 B cell,spleen,normal,2,4440,0.045045045045045,1.499386780086827
ABCA7,B-1 B cell,spleen,normal,93,4440,2.0945945945945947,1.2846707898377454
ABCB1,B-1 B cell,spleen,normal,3,4440,0.0675675675675675,1.252856197835868
ABCB10,B-1 B cell,spleen,normal,16,4440,0.3603603603603603,1.275115977219854
ABCB7,B-1 B cell,spleen,normal,2,4440,0.045045045045045,1.2165014248587385
ABCB8,B-1 B cell,spleen,normal,37,4440,0.8333333333333334,1.24060402785079
ABCC10,B-1 B cell,spleen,normal,18,4440,0.4054054054054054,1.2738279097740075
ABCC5,B-1 B cell,spleen,normal,2,4440,0.045045045045045,1.122423132545317
ABCD1,B-1 B cell,spleen,normal,3,4440,0.0675675675675675,1.3396519295571467
ABCD4,B-1 B cell,spleen,normal,46,4440,1.036036036036036,1.281069694930771
ABCE1,B-1 B cell,spleen,normal,369,4440,8.31081081081081,1.3436816277990065
ABCF1,B-1 B cell,spleen,normal,1,4440,0.0225225225225225,1.1949394531827526
ABCF2,B-1 B cell,spleen,normal,6,4440,0.1351351351351351,1.252412405268108
ABCF3,B-1 B cell,spleen,normal,50,4440,1.1261261261261262,1.2385916158904235
ABHD10,B-1 B cell,spleen,normal,49,4440,1.1036036036036037,1.2350485339048538
ABHD11,B-1 B cell,spleen,normal,32,4440,0.7207207207207207,1.3295774983586703
ABHD12,B-1 B cell,spleen,normal,3,4440,0.0675675675675675,1.272615796001079
ABHD14A,B-1 B cell,spleen,normal,8,4440,0.1801801801801801,1.2082233869708556
ABHD14B,B-1 B cell,spleen,normal,22,4440,0.4954954954954955,1.21629912054095
ABHD16A,B-1 B cell,spleen,normal,31,4440,0.6981981981981982,1.2467006864747074
ABHD17A,B-1 B cell,spleen,normal,3,4440,0.0675675675675675,1.1591505602892196
ABHD17B,B-1 B cell,spleen,normal,1,4440,0.0225225225225225,1.1567453171519768
ABHD18,B-1 B cell,spleen,normal,2,4440,0.045045045045045,1.3253309333534475
ABHD2,B-1 B cell,spleen,normal,41,4440,0.9234234234234232,1.336196211757575
ABHD3,B-1 B cell,spleen,normal,212,4440,4.774774774774775,1.369239389604499
ABHD4,B-1 B cell,spleen,normal,19,4440,0.4279279279279279,1.284278152005521
ABHD5,B-1 B cell,spleen,normal,9,4440,0.2027027027027027,1.366466805748837
ABHD6,B-1 B cell,spleen,normal,30,4440,0.6756756756756757,1.278419734276233
ABHD8,B-1 B cell,spleen,normal,21,4440,0.472972972972973,1.279118558888533
ABI1,B-1 B cell,spleen,normal,4,4440,0.09009009009009,1.2428641527841644
ABI2,B-1 B cell,spleen,normal,48,4440,1.0810810810810811,1.3209281926450809
ABI3,B-1 B cell,spleen,normal,15,4440,0.3378378378378378,1.2018440636978198
