gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,B cell,spleen,normal,27,93127,0.0289926659293223,1.8640292143395216
5S_rRNA_ENSG00000285626,B cell,spleen,normal,2,93127,0.0021476048836535,2.287991284105511
5S_rRNA_ENSG00000285674,B cell,spleen,normal,1,93127,0.0010738024418267,2.011361694115915
5S_rRNA_ENSG00000285912,B cell,spleen,normal,1,93127,0.0010738024418267,2.9295512983437413
5S_rRNA_ENSG00000288601,B cell,spleen,normal,1,93127,0.0010738024418267,1.9664754790689631
7SK_ENSG00000202198,B cell,spleen,normal,355,93127,0.3811998668484972,1.48423771609537
7SK_ENSG00000271394,B cell,spleen,normal,2,93127,0.0021476048836535,1.5399472480615386
7SK_ENSG00000274303,B cell,spleen,normal,11,93127,0.0118118268600942,1.4193471580430697
A1BG,B cell,spleen,normal,173,93127,0.1857678224360282,1.2771207139405745
A1BG-AS1,B cell,spleen,normal,144,93127,0.1546275516230524,1.310758385697798
A2M,B cell,spleen,normal,96,93127,0.1030850344153682,1.454820675827711
A2M-AS1,B cell,spleen,normal,13,93127,0.0139594317437477,1.2964407673074525
A2ML1,B cell,spleen,normal,27,93127,0.0289926659293223,1.4277381783073193
A2ML1-AS1,B cell,spleen,normal,197,93127,0.2115390810398703,1.4011501587897337
A3GALT2,B cell,spleen,normal,1,93127,0.0010738024418267,1.106043599726008
A4GALT,B cell,spleen,normal,22,93127,0.0236236537201885,1.2872268732308123
AAAS,B cell,spleen,normal,475,93127,0.5100561598677076,1.3329074818772575
AACS,B cell,spleen,normal,93,93127,0.099863627089888,1.3288150348039394
AADACL2-AS1,B cell,spleen,normal,17,93127,0.0182546415110547,1.5452089258534878
AAGAB,B cell,spleen,normal,2109,93127,2.264649349812621,1.3881073440268918
AAK1,B cell,spleen,normal,1258,93127,1.3508434718180549,1.4742877137094972
AAMDC,B cell,spleen,normal,1872,93127,2.010158171099681,1.4970516469560409
AAMP,B cell,spleen,normal,1762,93127,1.8920399024987384,1.3341930745137236
AANAT,B cell,spleen,normal,17,93127,0.0182546415110547,1.338670466445768
AAR2,B cell,spleen,normal,82,93127,0.0880518002297937,1.29919292427664
AARD,B cell,spleen,normal,3,93127,0.0032214073254802,1.3434400269425195
AARS1,B cell,spleen,normal,60,93127,0.0644281465096051,1.2395592044855437
AARS2,B cell,spleen,normal,41,93127,0.0440259001148968,1.3244619991771374
AARSD1,B cell,spleen,normal,3308,93127,3.552138477562898,1.4972302481106226
AASDH,B cell,spleen,normal,104,93127,0.1116754539499822,1.2668961750159464
AASDHPPT,B cell,spleen,normal,2248,93127,2.41390788922654,1.3658719431830326
AASS,B cell,spleen,normal,25,93127,0.0268450610456688,1.2575958694246194
AATBC,B cell,spleen,normal,3,93127,0.0032214073254802,1.675475112587938
AATF,B cell,spleen,normal,841,93127,0.903067853576299,1.2882587595197523
AATK,B cell,spleen,normal,65,93127,0.0697971587187389,1.2900815003505668
ABALON,B cell,spleen,normal,13,93127,0.0139594317437477,1.2870555704188549
ABAT,B cell,spleen,normal,654,93127,0.7022667969546963,1.4010902631988789
ABCA1,B cell,spleen,normal,990,93127,1.0630644174084851,1.403500913350345
ABCA10,B cell,spleen,normal,53,93127,0.0569115294168178,1.36598813933453
ABCA11P,B cell,spleen,normal,1,93127,0.0010738024418267,1.1373177089556028
ABCA13,B cell,spleen,normal,5,93127,0.0053690122091337,1.6501923641192042
ABCA15P,B cell,spleen,normal,55,93127,0.0590591343004714,1.3550961832921349
ABCA17P,B cell,spleen,normal,34,93127,0.0365092830221095,1.382756719370473
ABCA2,B cell,spleen,normal,146,93127,0.1567751565067059,1.425510544114149
ABCA3,B cell,spleen,normal,9,93127,0.0096642219764407,1.3809243966369733
ABCA4,B cell,spleen,normal,1,93127,0.0010738024418267,1.1201427937337
ABCA5,B cell,spleen,normal,423,93127,0.4542184328927163,1.3479190441409414
ABCA6,B cell,spleen,normal,55,93127,0.0590591343004714,1.3933993993871223
ABCA7,B cell,spleen,normal,2353,93127,2.526657145618349,1.4765697501121318
ABCA8,B cell,spleen,normal,3,93127,0.0032214073254802,1.5304906447021718
ABCA9,B cell,spleen,normal,16,93127,0.017180839069228,1.3801047580381502
ABCA9-AS1,B cell,spleen,normal,10,93127,0.0107380244182675,1.5054616855100833
ABCB1,B cell,spleen,normal,1725,93127,1.852309212151148,1.5551446136839944
ABCB10,B cell,spleen,normal,643,93127,0.690454970094602,1.4196572986391025
ABCB11,B cell,spleen,normal,1,93127,0.0010738024418267,1.4562752559774916
ABCB4,B cell,spleen,normal,931,93127,0.9997100733407068,1.3191083982193934
ABCB5,B cell,spleen,normal,5,93127,0.0053690122091337,1.4077674102543631
ABCB6,B cell,spleen,normal,98,93127,0.1052326392990217,1.4637259275781351
