gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,CD4-positive helper T cell,spleen,normal,60,7461,0.8041817450743868,1.3115539428495675
A1BG-AS1,CD4-positive helper T cell,spleen,normal,24,7461,0.3216726980297547,1.2677323006670875
A2M,CD4-positive helper T cell,spleen,normal,32,7461,0.4288969307063396,1.5684655818039708
A2M-AS1,CD4-positive helper T cell,spleen,normal,10,7461,0.1340302908457311,1.26867999481061
A2ML1,CD4-positive helper T cell,spleen,normal,2,7461,0.0268060581691462,1.90162867306257
A2ML1-AS1,CD4-positive helper T cell,spleen,normal,3,7461,0.0402090872537193,1.803727540667752
AAAS,CD4-positive helper T cell,spleen,normal,44,7461,0.589733279721217,1.3198238412741723
AACS,CD4-positive helper T cell,spleen,normal,17,7461,0.2278514944377429,1.3153501090530109
AAGAB,CD4-positive helper T cell,spleen,normal,251,7461,3.3641603002278515,1.3860862297158334
AAK1,CD4-positive helper T cell,spleen,normal,2816,7461,37.74292990215789,1.60868065020506
AAMDC,CD4-positive helper T cell,spleen,normal,171,7461,2.2919179734620023,1.5589776955566264
AAMP,CD4-positive helper T cell,spleen,normal,214,7461,2.868248224098646,1.3210175195829137
AAR2,CD4-positive helper T cell,spleen,normal,11,7461,0.1474333199303042,1.232909638811758
AARD,CD4-positive helper T cell,spleen,normal,1,7461,0.0134030290845731,1.148820048974838
AARS1,CD4-positive helper T cell,spleen,normal,7,7461,0.0938212035920117,1.1649007519087295
AARS2,CD4-positive helper T cell,spleen,normal,6,7461,0.0804181745074386,1.2753620992012753
AARSD1,CD4-positive helper T cell,spleen,normal,499,7461,6.688111513201983,1.4615848820985602
AASDH,CD4-positive helper T cell,spleen,normal,25,7461,0.3350757271143278,1.251242515034927
AASDHPPT,CD4-positive helper T cell,spleen,normal,238,7461,3.189920922128401,1.39840916755428
AASS,CD4-positive helper T cell,spleen,normal,1,7461,0.0134030290845731,1.2431159762848234
AATF,CD4-positive helper T cell,spleen,normal,104,7461,1.3939150247956038,1.293140024598684
AATK,CD4-positive helper T cell,spleen,normal,38,7461,0.5093151052137783,1.4057425058802988
ABALON,CD4-positive helper T cell,spleen,normal,3,7461,0.0402090872537193,1.4459333573101611
ABAT,CD4-positive helper T cell,spleen,normal,50,7461,0.6701514542286556,1.4453554384011926
ABCA1,CD4-positive helper T cell,spleen,normal,24,7461,0.3216726980297547,1.3965384170792805
ABCA10,CD4-positive helper T cell,spleen,normal,7,7461,0.0938212035920117,1.5135170720707072
ABCA15P,CD4-positive helper T cell,spleen,normal,3,7461,0.0402090872537193,1.3101384071303712
