gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG-AS1,IgG plasma cell,spleen,normal,2,1727,0.115807759119861,1.214329375946221
A2M,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.379642012242925
A2M-AS1,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.2411400646443207
A2ML1,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,2.571425589582325
AAAS,IgG plasma cell,spleen,normal,4,1727,0.231615518239722,1.3220890344914944
AACS,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.3116394173656118
AAGAB,IgG plasma cell,spleen,normal,8,1727,0.4632310364794441,1.4153589921002647
AAK1,IgG plasma cell,spleen,normal,45,1727,2.605674580196873,1.4363330311308204
AAMDC,IgG plasma cell,spleen,normal,17,1727,0.9843659525188188,1.455048159010875
AAMP,IgG plasma cell,spleen,normal,9,1727,0.5211349160393747,1.3688085003983077
AARS1,IgG plasma cell,spleen,normal,4,1727,0.231615518239722,1.2156055227989473
AARS2,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.1947130216064143
AARSD1,IgG plasma cell,spleen,normal,19,1727,1.1001737116386796,1.428504838873793
AASDHPPT,IgG plasma cell,spleen,normal,9,1727,0.5211349160393747,1.3042453258675717
AATF,IgG plasma cell,spleen,normal,3,1727,0.1737116386797915,1.252798522675214
AATK,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.7828297665158015
ABAT,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.3089376876950631
ABCA1,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.4690890453474017
ABCA5,IgG plasma cell,spleen,normal,11,1727,0.6369426751592357,1.2967836334932734
ABCA7,IgG plasma cell,spleen,normal,27,1727,1.563404748118124,1.5263353812005167
ABCA9,IgG plasma cell,spleen,normal,2,1727,0.115807759119861,1.2124322826736522
ABCB1,IgG plasma cell,spleen,normal,5,1727,0.2895193977996526,1.4972353451213856
ABCB10,IgG plasma cell,spleen,normal,3,1727,0.1737116386797915,1.5939309018390315
ABCB7,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.591902076571093
ABCB8,IgG plasma cell,spleen,normal,26,1727,1.5055008685581934,1.592982970077324
ABCB9,IgG plasma cell,spleen,normal,19,1727,1.1001737116386796,1.3268682230826192
ABCC1,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.224891595010798
ABCC10,IgG plasma cell,spleen,normal,6,1727,0.3474232773595831,1.5483904816778828
ABCC2,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.1492894996427934
ABCD1,IgG plasma cell,spleen,normal,2,1727,0.115807759119861,1.3946139364510317
ABCD4,IgG plasma cell,spleen,normal,17,1727,0.9843659525188188,1.431527432273234
ABCE1,IgG plasma cell,spleen,normal,47,1727,2.7214823393167342,1.4228205709112265
ABCF1,IgG plasma cell,spleen,normal,1,1727,0.0579038795599305,1.1056210827108972
ABCF2,IgG plasma cell,spleen,normal,10,1727,0.5790387955993052,1.3547219146084717
ABCF3,IgG plasma cell,spleen,normal,35,1727,2.026635784597568,1.3201511398040169
