gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A2M,IgM plasma cell,spleen,normal,2,2376,0.0841750841750841,1.616080133829167
AAAS,IgM plasma cell,spleen,normal,7,2376,0.2946127946127946,1.4386962385676705
AACS,IgM plasma cell,spleen,normal,3,2376,0.1262626262626262,1.2405330204042453
AAGAB,IgM plasma cell,spleen,normal,12,2376,0.5050505050505051,1.2849856497919183
AAK1,IgM plasma cell,spleen,normal,54,2376,2.272727272727273,1.4000531855962035
AAMDC,IgM plasma cell,spleen,normal,14,2376,0.5892255892255892,1.5277707724074152
AAMP,IgM plasma cell,spleen,normal,16,2376,0.6734006734006733,1.3817383907904273
AANAT,IgM plasma cell,spleen,normal,2,2376,0.0841750841750841,1.2439820616792463
AAR2,IgM plasma cell,spleen,normal,1,2376,0.042087542087542,1.1762575489881648
AARSD1,IgM plasma cell,spleen,normal,24,2376,1.0101010101010102,1.52942420414536
AASDHPPT,IgM plasma cell,spleen,normal,18,2376,0.7575757575757576,1.3543208952524683
AATF,IgM plasma cell,spleen,normal,6,2376,0.2525252525252525,1.2157277519418397
ABAT,IgM plasma cell,spleen,normal,4,2376,0.1683501683501683,1.3775397025086815
ABCA10,IgM plasma cell,spleen,normal,1,2376,0.042087542087542,1.1586271054295951
ABCA2,IgM plasma cell,spleen,normal,2,2376,0.0841750841750841,1.5243533772053044
ABCA5,IgM plasma cell,spleen,normal,6,2376,0.2525252525252525,1.321269035576275
ABCA7,IgM plasma cell,spleen,normal,22,2376,0.9259259259259258,1.611930488240206
ABCB1,IgM plasma cell,spleen,normal,6,2376,0.2525252525252525,1.5117387286021318
ABCB10,IgM plasma cell,spleen,normal,7,2376,0.2946127946127946,1.5199545051285277
ABCB7,IgM plasma cell,spleen,normal,2,2376,0.0841750841750841,1.421673049221953
ABCB8,IgM plasma cell,spleen,normal,17,2376,0.7154882154882155,1.472416065035854
ABCB9,IgM plasma cell,spleen,normal,67,2376,2.81986531986532,1.4107265451256117
ABCC10,IgM plasma cell,spleen,normal,6,2376,0.2525252525252525,1.455036101900398
ABCC5,IgM plasma cell,spleen,normal,1,2376,0.042087542087542,1.3104213199214725
ABCD1,IgM plasma cell,spleen,normal,2,2376,0.0841750841750841,1.356792887562765
ABCD4,IgM plasma cell,spleen,normal,19,2376,0.7996632996632996,1.459035226653582
