gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A2M,Kupffer cell,spleen,normal,105,115,91.30434782608695,2.2925669466941154
AAK1,Kupffer cell,spleen,normal,10,115,8.695652173913043,1.4369851038121573
AAMDC,Kupffer cell,spleen,normal,18,115,15.65217391304348,1.3721711496362232
AAMP,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.20763264553066
AARSD1,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.4095417368978382
AASDHPPT,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.2587360425788836
AATK,Kupffer cell,spleen,normal,6,115,5.217391304347826,1.3084918424007712
ABCA1,Kupffer cell,spleen,normal,51,115,44.34782608695652,1.4681326658759823
ABCA7,Kupffer cell,spleen,normal,3,115,2.608695652173913,1.173452164229369
ABCB10,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.7600515411259292
ABCB8,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.1635749144925764
ABCC10,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1133067753462842
ABCC3,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.4072023357915515
ABCC5,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.285506065653894
ABCD1,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.2340941297498291
ABCD4,Kupffer cell,spleen,normal,7,115,6.086956521739131,1.2427682471267816
ABCE1,Kupffer cell,spleen,normal,5,115,4.3478260869565215,1.2352039184885324
ABCF3,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.0989640053424583
ABHD10,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.105366669535779
ABHD11,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1222418652258
ABHD12,Kupffer cell,spleen,normal,4,115,3.4782608695652173,1.2678334202264412
ABHD2,Kupffer cell,spleen,normal,7,115,6.086956521739131,1.470945423603224
ABHD3,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.3603555818849191
ABHD4,Kupffer cell,spleen,normal,6,115,5.217391304347826,1.4018981902017649
ABHD5,Kupffer cell,spleen,normal,25,115,21.73913043478261,1.6000968491996408
ABHD6,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1695220565491344
ABHD8,Kupffer cell,spleen,normal,3,115,2.608695652173913,1.2664665932327432
ABI2,Kupffer cell,spleen,normal,6,115,5.217391304347826,1.2885641076969587
ABI3,Kupffer cell,spleen,normal,3,115,2.608695652173913,1.3334615619712575
ABITRAM,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.578592939122038
ABR,Kupffer cell,spleen,normal,16,115,13.91304347826087,1.4473298489294282
ABRACL,Kupffer cell,spleen,normal,67,115,58.26086956521739,1.6535094382089732
ABTB1,Kupffer cell,spleen,normal,5,115,4.3478260869565215,1.2161100127732298
ACAA1,Kupffer cell,spleen,normal,8,115,6.956521739130435,1.2883301640002298
ACACA,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.375718515687835
ACAD10,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.302921122976137
ACAD8,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.2989871939627993
ACADVL,Kupffer cell,spleen,normal,35,115,30.434782608695656,1.3846076802479883
ACAP2,Kupffer cell,spleen,normal,24,115,20.869565217391305,1.399504554882545
ACAP3,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.418239210671624
ACAT1,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1819045629156797
ACIN1,Kupffer cell,spleen,normal,13,115,11.304347826086955,1.2789151003648205
ACKR1,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.2738314347658812
ACOT8,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.167774285985621
ACOT9,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1061161106374475
ACOX1,Kupffer cell,spleen,normal,5,115,4.3478260869565215,1.2675911529001338
ACP1,Kupffer cell,spleen,normal,20,115,17.391304347826086,1.4306723962093868
ACP2,Kupffer cell,spleen,normal,5,115,4.3478260869565215,1.373594231214862
ACP3,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.2743709746439702
ACRBP,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.2610624659806955
ACSF2,Kupffer cell,spleen,normal,5,115,4.3478260869565215,1.4566607873345905
ACSM3,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.380551445901224
ACSM5,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.2011948663464986
ACSS2,Kupffer cell,spleen,normal,3,115,2.608695652173913,1.4493970664822082
ACTA2,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1186747256298364
ACTB,Kupffer cell,spleen,normal,115,115,100.0,3.6731165641351406
ACTG1,Kupffer cell,spleen,normal,109,115,94.78260869565216,2.1239792717638317
ACTL6A,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.68708388427639
ACTMAP,Kupffer cell,spleen,normal,5,115,4.3478260869565215,1.3871079654900138
ACTR10,Kupffer cell,spleen,normal,9,115,7.82608695652174,1.3285173419217349
ACTR1A,Kupffer cell,spleen,normal,7,115,6.086956521739131,1.2453129897621742
ACTR1B,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.20982172165138
ACTR2,Kupffer cell,spleen,normal,17,115,14.782608695652174,1.365948685582381
ACTR3,Kupffer cell,spleen,normal,47,115,40.869565217391305,1.4772137978400022
ACTR6,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1538852968286957
ACTR8,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.221724767953838
ACTRT3,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.800354054111657
ACVRL1,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.158727684292601
ACYP1,Kupffer cell,spleen,normal,3,115,2.608695652173913,1.3081954925652195
ACYP2,Kupffer cell,spleen,normal,4,115,3.4782608695652173,1.1864476470804153
ADA2,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.209231968606348
ADAD2,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.1746599361392474
ADAM10,Kupffer cell,spleen,normal,41,115,35.65217391304348,1.408861192957747
ADAM15,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.4021012006965832
ADAM8,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.3953393465443062
ADAMTS10,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.451085193847944
ADAMTSL4-AS2,Kupffer cell,spleen,normal,3,115,2.608695652173913,1.4027194326711503
ADAP1,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.4807752746736536
ADAP2,Kupffer cell,spleen,normal,45,115,39.130434782608695,1.431732045574453
ADAT1,Kupffer cell,spleen,normal,3,115,2.608695652173913,1.4504066775630875
ADCK1,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.141059423485704
ADCY3,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.3254565981224706
ADD3,Kupffer cell,spleen,normal,15,115,13.043478260869565,1.4550502263606817
ADGRA3,Kupffer cell,spleen,normal,1,115,0.8695652173913043,1.46977595263897
ADGRE5,Kupffer cell,spleen,normal,38,115,33.04347826086956,1.5074737775717502
ADGRG6,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.5244379135520083
ADGRL1,Kupffer cell,spleen,normal,2,115,1.7391304347826086,1.1750782123233177
