gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,T cell,spleen,normal,25,82705,0.0302279185055317,2.413176690932918
5_8S_rRNA_ENSG00000275877,T cell,spleen,normal,1,82705,0.0012091167402212,1.7887440910230057
7SK_ENSG00000202198,T cell,spleen,normal,286,82705,0.3458073877032827,1.5550116254300193
7SK_ENSG00000271394,T cell,spleen,normal,20,82705,0.0241823348044253,1.7474853376495163
7SK_ENSG00000274303,T cell,spleen,normal,11,82705,0.0133002841424339,1.6029420677413917
A1BG,T cell,spleen,normal,383,82705,0.4630917115047457,1.2948598130579678
A1BG-AS1,T cell,spleen,normal,177,82705,0.2140136630191645,1.3366126130476577
A1CF,T cell,spleen,normal,1,82705,0.0012091167402212,1.286995051460094
A2M,T cell,spleen,normal,6759,82705,8.172420047155553,1.861031601827687
A2M-AS1,T cell,spleen,normal,575,82705,0.6952421256272293,1.333038185236827
A2ML1,T cell,spleen,normal,25,82705,0.0302279185055317,1.5086673241533566
A2ML1-AS1,T cell,spleen,normal,215,82705,0.2599600991475727,1.4268206286654554
A2MP1_ENSG00000256069,T cell,spleen,normal,11,82705,0.0133002841424339,1.1699425163668726
A3GALT2,T cell,spleen,normal,9,82705,0.0108820506619914,1.261320659338348
A4GALT,T cell,spleen,normal,1,82705,0.0012091167402212,1.322600126641381
AAAS,T cell,spleen,normal,432,82705,0.5223384317755879,1.3442479596384302
AACS,T cell,spleen,normal,131,82705,0.1583942929689861,1.3634352992421368
AACSP1_ENSG00000250420,T cell,spleen,normal,1,82705,0.0012091167402212,1.150202058613
AADACL2-AS1,T cell,spleen,normal,35,82705,0.0423190859077443,1.5695664725966172
AAGAB,T cell,spleen,normal,2864,82705,3.462910343993712,1.389978246023846
AAK1,T cell,spleen,normal,31490,82705,38.07508614956774,1.6273113305432845
AAMDC,T cell,spleen,normal,3247,82705,3.9260020554984583,1.5137603709518983
AAMP,T cell,spleen,normal,2025,82705,2.4484613989480684,1.3547738176845463
AANAT,T cell,spleen,normal,26,82705,0.0314370352457529,1.3717209857387542
AAR2,T cell,spleen,normal,100,82705,0.1209116740221268,1.2853310500176642
AARD,T cell,spleen,normal,8,82705,0.0096729339217701,1.3074084404825868
AARS1,T cell,spleen,normal,68,82705,0.0822199383350462,1.2184609389558083
AARS2,T cell,spleen,normal,61,82705,0.0737561211534973,1.2992542526676574
AARSD1,T cell,spleen,normal,3698,82705,4.47131370533825,1.4799626252181115
AARSD1P1,T cell,spleen,normal,1,82705,0.0012091167402212,1.130368306794482
AASDH,T cell,spleen,normal,175,82705,0.2115954295387219,1.2580031321551872
AASDHPPT,T cell,spleen,normal,2668,82705,3.225923462910344,1.3676270926658465
AASS,T cell,spleen,normal,18,82705,0.0217641013239828,1.247116678742284
AATBC,T cell,spleen,normal,1,82705,0.0012091167402212,1.339010204439201
AATF,T cell,spleen,normal,1207,82705,1.4594039054470709,1.30482269209947
AATK,T cell,spleen,normal,242,82705,0.2926062511335469,1.3816443463159322
ABALON,T cell,spleen,normal,18,82705,0.0217641013239828,1.3837308507660224
ABAT,T cell,spleen,normal,755,82705,0.9128831388670576,1.386912206824564
ABCA1,T cell,spleen,normal,437,82705,0.5283840154766943,1.4459403575924492
ABCA10,T cell,spleen,normal,113,82705,0.1366301916450033,1.3346104641353316
ABCA13,T cell,spleen,normal,16,82705,0.0193458678435402,1.753951148848684
ABCA15P,T cell,spleen,normal,9,82705,0.0108820506619914,1.3808012903490587
ABCA17P,T cell,spleen,normal,115,82705,0.1390484251254458,1.4337464368223198
ABCA2,T cell,spleen,normal,1624,82705,1.96360558611934,1.401188114729325
ABCA3,T cell,spleen,normal,42,82705,0.0507829030892932,1.2496266584450697
ABCA3P1,T cell,spleen,normal,4,82705,0.004836466960885,1.2941564302459616
ABCA4,T cell,spleen,normal,10,82705,0.0120911674022126,1.3831387604656065
ABCA5,T cell,spleen,normal,979,82705,1.1837252886766216,1.35260171740687
ABCA6,T cell,spleen,normal,9,82705,0.0108820506619914,1.291504020851984
ABCA7,T cell,spleen,normal,3929,82705,4.750619672329363,1.4784962137584765
ABCA8,T cell,spleen,normal,6,82705,0.0072547004413276,1.325957978067855
ABCA9,T cell,spleen,normal,6,82705,0.0072547004413276,1.321359585150732
ABCA9-AS1,T cell,spleen,normal,13,82705,0.0157185176228764,1.2103785879295612
