gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,T follicular helper cell,spleen,normal,55,6890,0.7982583454281567,1.2969155355835025
A1BG-AS1,T follicular helper cell,spleen,normal,24,6890,0.3483309143686502,1.2677323006670875
A2M,T follicular helper cell,spleen,normal,28,6890,0.4063860667634252,1.6007493848440637
A2M-AS1,T follicular helper cell,spleen,normal,8,6890,0.11611030478955,1.2979646824164996
A2ML1,T follicular helper cell,spleen,normal,2,6890,0.0290275761973875,1.90162867306257
A2ML1-AS1,T follicular helper cell,spleen,normal,2,6890,0.0290275761973875,1.8440081321998985
AAAS,T follicular helper cell,spleen,normal,42,6890,0.6095791001451378,1.3289029059661273
AACS,T follicular helper cell,spleen,normal,16,6890,0.2322206095791001,1.3039893022461864
AAGAB,T follicular helper cell,spleen,normal,227,6890,3.294629898403483,1.3897123854617506
AAK1,T follicular helper cell,spleen,normal,2605,6890,37.80841799709725,1.615543883295652
AAMDC,T follicular helper cell,spleen,normal,161,6890,2.336719883889695,1.5677292947155836
AAMP,T follicular helper cell,spleen,normal,208,6890,3.018867924528302,1.3229904271541604
AAR2,T follicular helper cell,spleen,normal,11,6890,0.1596516690856313,1.232909638811758
AARD,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.148820048974838
AARS1,T follicular helper cell,spleen,normal,7,6890,0.1015965166908563,1.1649007519087295
AARS2,T follicular helper cell,spleen,normal,5,6890,0.0725689404934687,1.2906395096978662
AARSD1,T follicular helper cell,spleen,normal,449,6890,6.516690856313498,1.4665090781909147
AASDH,T follicular helper cell,spleen,normal,25,6890,0.3628447024673439,1.251242515034927
AASDHPPT,T follicular helper cell,spleen,normal,229,6890,3.323657474600871,1.402126422190484
AASS,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.2431159762848234
AATF,T follicular helper cell,spleen,normal,99,6890,1.4368650217706822,1.2995171013735258
AATK,T follicular helper cell,spleen,normal,36,6890,0.5224963715529753,1.3912422966252915
ABALON,T follicular helper cell,spleen,normal,3,6890,0.0435413642960812,1.4459333573101611
ABAT,T follicular helper cell,spleen,normal,48,6890,0.6966618287373004,1.4520864109519354
ABCA1,T follicular helper cell,spleen,normal,19,6890,0.2757619738751814,1.3903424140536362
ABCA10,T follicular helper cell,spleen,normal,7,6890,0.1015965166908563,1.5135170720707072
ABCA15P,T follicular helper cell,spleen,normal,3,6890,0.0435413642960812,1.3101384071303712
ABCA2,T follicular helper cell,spleen,normal,36,6890,0.5224963715529753,1.4050871428590932
ABCA5,T follicular helper cell,spleen,normal,56,6890,0.8127721335268505,1.3280550161295877
ABCA7,T follicular helper cell,spleen,normal,456,6890,6.618287373004354,1.4777621272124573
ABCB1,T follicular helper cell,spleen,normal,70,6890,1.0159651669085632,1.4532735679774764
ABCB10,T follicular helper cell,spleen,normal,110,6890,1.596516690856313,1.3680650382594248
ABCB11,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.388428574897188
ABCB5,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.1794718023291653
ABCB6,T follicular helper cell,spleen,normal,16,6890,0.2322206095791001,1.264075429356011
ABCB7,T follicular helper cell,spleen,normal,44,6890,0.6386066763425253,1.281201726349057
ABCB8,T follicular helper cell,spleen,normal,253,6890,3.671988388969521,1.4163494652887003
ABCB9,T follicular helper cell,spleen,normal,6,6890,0.0870827285921625,1.1757985697743416
ABCC1,T follicular helper cell,spleen,normal,92,6890,1.3352685050798256,1.3353537378129046
ABCC10,T follicular helper cell,spleen,normal,225,6890,3.265602322206096,1.450091353889806
ABCC2,T follicular helper cell,spleen,normal,5,6890,0.0725689404934687,1.3795225021852835
ABCC3,T follicular helper cell,spleen,normal,6,6890,0.0870827285921625,1.4819857724589094
ABCC4,T follicular helper cell,spleen,normal,2,6890,0.0290275761973875,1.4185057743662226
ABCC5,T follicular helper cell,spleen,normal,22,6890,0.3193033381712626,1.34950409307036
ABCC6,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.489858190685497
ABCD1,T follicular helper cell,spleen,normal,39,6890,0.5660377358490566,1.3498464149912264
ABCD3,T follicular helper cell,spleen,normal,3,6890,0.0435413642960812,1.2141260204129594
ABCD4,T follicular helper cell,spleen,normal,300,6890,4.354136429608127,1.4425996720462169
ABCE1,T follicular helper cell,spleen,normal,798,6890,11.58200290275762,1.4728242806111038
ABCF1,T follicular helper cell,spleen,normal,47,6890,0.6821480406386067,1.2609987148271735
ABCF2,T follicular helper cell,spleen,normal,252,6890,3.657474600870827,1.4311760743406643
ABCF3,T follicular helper cell,spleen,normal,369,6890,5.355587808417997,1.4526003920700603
ABCG1,T follicular helper cell,spleen,normal,8,6890,0.11611030478955,1.2116504160857131
ABHD1,T follicular helper cell,spleen,normal,5,6890,0.0725689404934687,1.4282295457519525
ABHD10,T follicular helper cell,spleen,normal,246,6890,3.5703918722786643,1.3939197883292824
ABHD11,T follicular helper cell,spleen,normal,148,6890,2.1480406386066764,1.4101942858867884
ABHD12,T follicular helper cell,spleen,normal,121,6890,1.7561683599419449,1.3480765598156266
ABHD13,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.1851596596897451
ABHD14A,T follicular helper cell,spleen,normal,697,6890,10.116110304789547,1.4407174083992116
ABHD14B,T follicular helper cell,spleen,normal,402,6890,5.834542815674891,1.3175947496407812
ABHD15,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.142412668947949
ABHD15-AS1,T follicular helper cell,spleen,normal,2,6890,0.0290275761973875,2.553945239380102
ABHD16A,T follicular helper cell,spleen,normal,199,6890,2.888243831640058,1.3107247285613004
ABHD16B,T follicular helper cell,spleen,normal,1,6890,0.0145137880986937,1.1967256661291836
ABHD17A,T follicular helper cell,spleen,normal,327,6890,4.74600870827286,1.3059394172590564
ABHD17B,T follicular helper cell,spleen,normal,14,6890,0.2031930333817126,1.3017022390476014
ABHD18,T follicular helper cell,spleen,normal,41,6890,0.5950653120464442,1.2964443584464784
ABHD2,T follicular helper cell,spleen,normal,372,6890,5.399129172714078,1.5469263606214418
ABHD3,T follicular helper cell,spleen,normal,448,6890,6.502177068214804,1.4303186878168297
ABHD4,T follicular helper cell,spleen,normal,100,6890,1.4513788098693758,1.4063050703636537
ABHD5,T follicular helper cell,spleen,normal,70,6890,1.0159651669085632,1.3571309803656129
ABHD6,T follicular helper cell,spleen,normal,74,6890,1.0740203193033382,1.440630008484908
ABHD8,T follicular helper cell,spleen,normal,181,6890,2.62699564586357,1.5129418098262588
ABI1,T follicular helper cell,spleen,normal,22,6890,0.3193033381712626,1.2828203617516265
