gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,alpha-beta T cell,spleen,normal,23,70855,0.0324606590925128,2.4602278275452547
5_8S_rRNA_ENSG00000275877,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.7887440910230057
7SK_ENSG00000202198,alpha-beta T cell,spleen,normal,280,70855,0.3951732411262437,1.5561517291093847
7SK_ENSG00000271394,alpha-beta T cell,spleen,normal,20,70855,0.0282266600804459,1.7474853376495163
7SK_ENSG00000274303,alpha-beta T cell,spleen,normal,11,70855,0.0155246630442452,1.6029420677413917
A1BG,alpha-beta T cell,spleen,normal,295,70855,0.4163432361865782,1.3019329553867895
A1BG-AS1,alpha-beta T cell,spleen,normal,165,70855,0.2328699456636793,1.3310612732524514
A1CF,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.286995051460094
A2M,alpha-beta T cell,spleen,normal,6553,70855,9.248465175358126,1.867032002969512
A2M-AS1,alpha-beta T cell,spleen,normal,467,70855,0.6590925128784136,1.3267895918670438
A2ML1,alpha-beta T cell,spleen,normal,21,70855,0.0296379930844682,1.5448489905041376
A2ML1-AS1,alpha-beta T cell,spleen,normal,206,70855,0.2907345988285936,1.4172569421543502
A2MP1_ENSG00000256069,alpha-beta T cell,spleen,normal,10,70855,0.0141133300402229,1.1686709835813314
A3GALT2,alpha-beta T cell,spleen,normal,8,70855,0.0112906640321783,1.2616971563654449
A4GALT,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.322600126641381
AAAS,alpha-beta T cell,spleen,normal,371,70855,0.523604544492273,1.3416833405806357
AACS,alpha-beta T cell,spleen,normal,123,70855,0.1735939594947428,1.3586899282788376
AACSP1_ENSG00000250420,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.150202058613
AADACL2-AS1,alpha-beta T cell,spleen,normal,32,70855,0.0451626561287135,1.5834966493976004
AAGAB,alpha-beta T cell,spleen,normal,2453,70855,3.4619998588667,1.3955991725235657
AAK1,alpha-beta T cell,spleen,normal,28650,70855,40.43469056523887,1.6366790710417434
AAMDC,alpha-beta T cell,spleen,normal,2850,70855,4.022299061463553,1.510730856064706
AAMP,alpha-beta T cell,spleen,normal,1710,70855,2.4133794368781314,1.3566642646958196
AANAT,alpha-beta T cell,spleen,normal,24,70855,0.0338719920965351,1.3720252554382255
AAR2,alpha-beta T cell,spleen,normal,85,70855,0.1199633053418954,1.273522100923122
AARD,alpha-beta T cell,spleen,normal,4,70855,0.0056453320160891,1.2114233105017471
AARS1,alpha-beta T cell,spleen,normal,55,70855,0.0776233152212264,1.2120904778403203
AARS2,alpha-beta T cell,spleen,normal,57,70855,0.080445981229271,1.3023232469334538
AARSD1,alpha-beta T cell,spleen,normal,3151,70855,4.447110295674264,1.4797814162752396
AARSD1P1,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.130368306794482
AASDH,alpha-beta T cell,spleen,normal,152,70855,0.2145226166113894,1.255131246504132
AASDHPPT,alpha-beta T cell,spleen,normal,2100,70855,2.963799308446828,1.3682307928248667
AASS,alpha-beta T cell,spleen,normal,17,70855,0.023992661068379,1.2743990813798636
AATBC,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.339010204439201
AATF,alpha-beta T cell,spleen,normal,1019,70855,1.4381483310987229,1.301356720947018
AATK,alpha-beta T cell,spleen,normal,222,70855,0.3133159268929504,1.392946986742298
ABALON,alpha-beta T cell,spleen,normal,17,70855,0.023992661068379,1.375004149268721
ABAT,alpha-beta T cell,spleen,normal,673,70855,0.9498271117070072,1.3812915835351185
ABCA1,alpha-beta T cell,spleen,normal,406,70855,0.5730011996330534,1.4517017855674763
ABCA10,alpha-beta T cell,spleen,normal,106,70855,0.1496012984263637,1.3258008016518965
ABCA13,alpha-beta T cell,spleen,normal,15,70855,0.0211699950603344,1.7305925136169311
ABCA15P,alpha-beta T cell,spleen,normal,9,70855,0.0127019970362006,1.3808012903490587
ABCA17P,alpha-beta T cell,spleen,normal,112,70855,0.1580692964504975,1.4302125112851167
ABCA2,alpha-beta T cell,spleen,normal,1315,70855,1.8559029002893237,1.403294379266887
ABCA3,alpha-beta T cell,spleen,normal,35,70855,0.0493966551407804,1.2597367001182938
ABCA3P1,alpha-beta T cell,spleen,normal,4,70855,0.0056453320160891,1.2677134829174426
ABCA4,alpha-beta T cell,spleen,normal,10,70855,0.0141133300402229,1.3744658122293816
ABCA5,alpha-beta T cell,spleen,normal,848,70855,1.1968103874109095,1.3501950809846657
ABCA6,alpha-beta T cell,spleen,normal,9,70855,0.0127019970362006,1.291504020851984
ABCA7,alpha-beta T cell,spleen,normal,3424,70855,4.832404205772352,1.4745939579949632
ABCA8,alpha-beta T cell,spleen,normal,5,70855,0.0070566650201114,1.3581937398651305
ABCA9,alpha-beta T cell,spleen,normal,6,70855,0.0084679980241337,1.321359585150732
ABCA9-AS1,alpha-beta T cell,spleen,normal,13,70855,0.0183473290522898,1.2103785879295612
ABCB1,alpha-beta T cell,spleen,normal,5117,70855,7.221790981582105,1.5478533646714394
ABCB10,alpha-beta T cell,spleen,normal,1071,70855,1.5115376473078823,1.3906355210378356
ABCB11,alpha-beta T cell,spleen,normal,8,70855,0.0112906640321783,1.28167912628785
ABCB4,alpha-beta T cell,spleen,normal,14,70855,0.0197586620563121,1.3309646614054789
ABCB5,alpha-beta T cell,spleen,normal,6,70855,0.0084679980241337,1.3825348577261334
ABCB6,alpha-beta T cell,spleen,normal,107,70855,0.1510126314303859,1.3494503443384114
ABCB7,alpha-beta T cell,spleen,normal,410,70855,0.5786465316491426,1.303577531735833
ABCB8,alpha-beta T cell,spleen,normal,2317,70855,3.270058570319667,1.4397035037242405
ABCB9,alpha-beta T cell,spleen,normal,51,70855,0.0719779832051372,1.304955699198282
ABCC1,alpha-beta T cell,spleen,normal,1371,70855,1.934937548514572,1.3393328112835707
ABCC10,alpha-beta T cell,spleen,normal,1885,70855,2.660362712582034,1.4543874298847457
ABCC11,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.217264918775859
ABCC2,alpha-beta T cell,spleen,normal,59,70855,0.0832686472373156,1.392742641360786
ABCC3,alpha-beta T cell,spleen,normal,65,70855,0.0917366452614494,1.458808275298355
ABCC4,alpha-beta T cell,spleen,normal,80,70855,0.1129066403217839,1.3225033300050224
ABCC5,alpha-beta T cell,spleen,normal,235,70855,0.3316632559452402,1.3349972284129117
ABCC5-AS1,alpha-beta T cell,spleen,normal,23,70855,0.0324606590925128,1.39576545330035
ABCC6,alpha-beta T cell,spleen,normal,23,70855,0.0324606590925128,1.2807530321589014
ABCD1,alpha-beta T cell,spleen,normal,401,70855,0.5659445346129419,1.3700252038578051
ABCD2,alpha-beta T cell,spleen,normal,3,70855,0.0042339990120668,1.1484869590669475
ABCD3,alpha-beta T cell,spleen,normal,65,70855,0.0917366452614494,1.2435286191977573
ABCD4,alpha-beta T cell,spleen,normal,2766,70855,3.90374708912568,1.443591964892733
ABCE1,alpha-beta T cell,spleen,normal,7293,70855,10.292851598334629,1.4736172346411145
ABCF1,alpha-beta T cell,spleen,normal,585,70855,0.8256298073530449,1.2764011100239234
ABCF2,alpha-beta T cell,spleen,normal,1985,70855,2.801496012984264,1.403924008085304
ABCF3,alpha-beta T cell,spleen,normal,3058,70855,4.315856326300191,1.4470537864217448
ABCG1,alpha-beta T cell,spleen,normal,224,70855,0.316138592900995,1.2955000631116642
ABCG2,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.3071485075703868
ABCG8,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.2699893955616004
ABHD1,alpha-beta T cell,spleen,normal,76,70855,0.1072613083056947,1.3768837577577413
ABHD10,alpha-beta T cell,spleen,normal,1772,70855,2.500882083127514,1.3850237239451932
ABHD11,alpha-beta T cell,spleen,normal,1118,70855,1.5778702984969302,1.4191646481602769
ABHD12,alpha-beta T cell,spleen,normal,1576,70855,2.224260814339144,1.3738126060622458
ABHD12B,alpha-beta T cell,spleen,normal,2,70855,0.0028226660080445,1.2099004439962058
ABHD13,alpha-beta T cell,spleen,normal,5,70855,0.0070566650201114,1.156750979556148
ABHD14A,alpha-beta T cell,spleen,normal,4788,70855,6.757462423258769,1.4416292368195476
ABHD14B,alpha-beta T cell,spleen,normal,2518,70855,3.553736504128149,1.3240303171860313
ABHD15,alpha-beta T cell,spleen,normal,27,70855,0.038105991108602,1.2443410903345642
ABHD15-AS1,alpha-beta T cell,spleen,normal,6696,70855,9.450285794933317,2.433244691661945
ABHD16A,alpha-beta T cell,spleen,normal,1566,70855,2.21014748429892,1.3445187686390994
ABHD16B,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.1967256661291836
ABHD17A,alpha-beta T cell,spleen,normal,5043,70855,7.117352339284453,1.3789707350422613
ABHD17AP1,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.321062750675959
ABHD17AP5,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.307550757323075
ABHD17AP6,alpha-beta T cell,spleen,normal,10,70855,0.0141133300402229,1.2296818690949078
ABHD17B,alpha-beta T cell,spleen,normal,749,70855,1.057088420012702,1.3317618824950976
ABHD17C,alpha-beta T cell,spleen,normal,26,70855,0.0366946581045797,1.3035684196264887
ABHD18,alpha-beta T cell,spleen,normal,650,70855,0.9173664526144945,1.3093025901305293
ABHD2,alpha-beta T cell,spleen,normal,7145,70855,10.083974313739327,1.6599660806913148
ABHD3,alpha-beta T cell,spleen,normal,6433,70855,9.07910521487545,1.4693131752422977
ABHD4,alpha-beta T cell,spleen,normal,981,70855,1.3845176769458754,1.4306810481768837
ABHD5,alpha-beta T cell,spleen,normal,901,70855,1.2716110366240916,1.3931604297996885
ABHD6,alpha-beta T cell,spleen,normal,1036,70855,1.4621409921671018,1.4421705913379903
ABHD8,alpha-beta T cell,spleen,normal,1376,70855,1.9419942135346837,1.483489123635673
ABI1,alpha-beta T cell,spleen,normal,536,70855,0.7564744901559524,1.2734420909246142
ABI2,alpha-beta T cell,spleen,normal,3698,70855,5.219109448874463,1.4851859335168789
ABI3,alpha-beta T cell,spleen,normal,4178,70855,5.896549290805166,1.4298773633236312
ABI3BP,alpha-beta T cell,spleen,normal,129,70855,0.1820619575188765,1.3482936757835435
ABITRAM,alpha-beta T cell,spleen,normal,1397,70855,1.971632206619152,1.4985066903388995
ABL1,alpha-beta T cell,spleen,normal,35,70855,0.0493966551407804,1.264563091039872
ABL2,alpha-beta T cell,spleen,normal,193,70855,0.2723872697763037,1.2966412975434014
ABLIM1,alpha-beta T cell,spleen,normal,2424,70855,3.4210712017500526,1.3765180457422543
ABLIM2,alpha-beta T cell,spleen,normal,15,70855,0.0211699950603344,1.2205047719469426
ABLIM3,alpha-beta T cell,spleen,normal,1,70855,0.0014113330040222,1.1520236849859058
ABO,alpha-beta T cell,spleen,normal,69,70855,0.0973819772775386,1.4309803767891711
ABR,alpha-beta T cell,spleen,normal,6388,70855,9.015595229694446,1.5548476779433689
