gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.2947972830028216
A2M,alveolar macrophage,spleen,normal,2,38,5.263157894736842,2.083362536956366
AAAS,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.638936622551981
AAGAB,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.5460123720032553
AAK1,alveolar macrophage,spleen,normal,7,38,18.421052631578945,1.954768667396651
AAMDC,alveolar macrophage,spleen,normal,2,38,5.263157894736842,2.289976901258519
AAR2,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.2213621907687406
AARSD1,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.914584823909424
AASDHPPT,alveolar macrophage,spleen,normal,2,38,5.263157894736842,1.3575361690075405
AATF,alveolar macrophage,spleen,normal,2,38,5.263157894736842,1.394376696163269
ABCA1,alveolar macrophage,spleen,normal,4,38,10.526315789473683,1.6317897220014652
ABCA2,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.4397515057354686
ABCB10,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.8292350807482205
ABCB7,alveolar macrophage,spleen,normal,2,38,5.263157894736842,1.2911965975635653
ABCC3,alveolar macrophage,spleen,normal,2,38,5.263157894736842,1.7635543122976602
ABCC5,alveolar macrophage,spleen,normal,3,38,7.894736842105263,1.3340578928471682
ABCE1,alveolar macrophage,spleen,normal,2,38,5.263157894736842,1.737269615784789
ABCF3,alveolar macrophage,spleen,normal,1,38,2.631578947368421,2.1655789255784565
ABCG1,alveolar macrophage,spleen,normal,4,38,10.526315789473683,1.2401113343558556
ABHD10,alveolar macrophage,spleen,normal,2,38,5.263157894736842,1.7420522609019278
ABHD12,alveolar macrophage,spleen,normal,3,38,7.894736842105263,1.8120727141114568
ABHD14A,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.5639520947164325
ABHD14B,alveolar macrophage,spleen,normal,3,38,7.894736842105263,1.7202693600513976
ABHD17A,alveolar macrophage,spleen,normal,4,38,10.526315789473683,1.397261561702885
ABHD2,alveolar macrophage,spleen,normal,5,38,13.157894736842104,2.1117718649560637
ABHD3,alveolar macrophage,spleen,normal,2,38,5.263157894736842,1.3790329896905962
ABHD5,alveolar macrophage,spleen,normal,6,38,15.789473684210526,1.8184645699247552
ABHD8,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.1554599408789594
ABI1,alveolar macrophage,spleen,normal,4,38,10.526315789473683,1.1519844735734972
ABI3,alveolar macrophage,spleen,normal,4,38,10.526315789473683,1.6436571214884146
ABITRAM,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.9045511584041817
ABL2,alveolar macrophage,spleen,normal,1,38,2.631578947368421,1.209586438439829
