gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,classical monocyte,spleen,normal,5,9650,0.0518134715025906,1.8060113520761287
7SK_ENSG00000202198,classical monocyte,spleen,normal,42,9650,0.4352331606217617,1.5026166889832084
A1BG,classical monocyte,spleen,normal,50,9650,0.5181347150259068,1.3021527051337884
A1BG-AS1,classical monocyte,spleen,normal,7,9650,0.0725388601036269,1.3975706600377666
A2M,classical monocyte,spleen,normal,30,9650,0.310880829015544,1.4191632017477496
A2ML1,classical monocyte,spleen,normal,2,9650,0.0207253886010362,1.8014554120635309
A2ML1-AS1,classical monocyte,spleen,normal,2,9650,0.0207253886010362,1.372482050100828
A3GALT2,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.1723294063927672
AAAS,classical monocyte,spleen,normal,10,9650,0.1036269430051813,1.277364849828367
AACS,classical monocyte,spleen,normal,6,9650,0.0621761658031088,1.3180375253146277
AADACL2-AS1,classical monocyte,spleen,normal,3,9650,0.0310880829015544,1.2834038618161263
AAGAB,classical monocyte,spleen,normal,273,9650,2.8290155440414506,1.3507517000408436
AAK1,classical monocyte,spleen,normal,1873,9650,19.409326424870464,1.425570286835769
AAMDC,classical monocyte,spleen,normal,254,9650,2.6321243523316062,1.3913900287327634
AAMP,classical monocyte,spleen,normal,89,9650,0.922279792746114,1.3321485865198268
AAR2,classical monocyte,spleen,normal,2,9650,0.0207253886010362,1.221551136656236
AARS1,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.1493848973825431
AARS2,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.1979198456715372
AARSD1,classical monocyte,spleen,normal,121,9650,1.2538860103626943,1.3888264025061134
AARSD1P1,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.3215275896787697
AASDH,classical monocyte,spleen,normal,2,9650,0.0207253886010362,1.2760827367344538
AASDHPPT,classical monocyte,spleen,normal,100,9650,1.0362694300518136,1.3294216039144349
AATBC,classical monocyte,spleen,normal,15,9650,0.155440414507772,1.3081947427112508
AATF,classical monocyte,spleen,normal,68,9650,0.7046632124352332,1.269300182328684
AATK,classical monocyte,spleen,normal,495,9650,5.129533678756477,1.4060306036348724
ABAT,classical monocyte,spleen,normal,90,9650,0.932642487046632,1.2775574632029485
ABCA1,classical monocyte,spleen,normal,888,9650,9.202072538860104,1.5635957770272484
ABCA10,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.4580442611872422
ABCA13,classical monocyte,spleen,normal,2,9650,0.0207253886010362,1.619089126768664
ABCA15P,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.6536131785850186
ABCA17P,classical monocyte,spleen,normal,3,9650,0.0310880829015544,1.2340438101725657
ABCA2,classical monocyte,spleen,normal,9,9650,0.0932642487046632,1.4626837690944126
ABCA5,classical monocyte,spleen,normal,5,9650,0.0518134715025906,1.537402540335724
ABCA6,classical monocyte,spleen,normal,2,9650,0.0207253886010362,1.1530543415593189
ABCA7,classical monocyte,spleen,normal,481,9650,4.984455958549223,1.4219791774032329
ABCA9-AS1,classical monocyte,spleen,normal,3,9650,0.0310880829015544,1.3274414246602864
ABCB1,classical monocyte,spleen,normal,80,9650,0.8290155440414507,1.417674609341372
ABCB10,classical monocyte,spleen,normal,116,9650,1.2020725388601037,1.3549467782873663
ABCB6,classical monocyte,spleen,normal,20,9650,0.2072538860103626,1.4475681846640005
ABCB7,classical monocyte,spleen,normal,25,9650,0.2590673575129534,1.2786344163426655
ABCB8,classical monocyte,spleen,normal,80,9650,0.8290155440414507,1.3821004192214723
ABCB9,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.451849844208792
ABCC1,classical monocyte,spleen,normal,10,9650,0.1036269430051813,1.2261054355310987
ABCC10,classical monocyte,spleen,normal,100,9650,1.0362694300518136,1.4057313929949595
ABCC11,classical monocyte,spleen,normal,1,9650,0.0103626943005181,1.243496844996183
ABCC2,classical monocyte,spleen,normal,3,9650,0.0310880829015544,1.2862162708305374
ABCC3,classical monocyte,spleen,normal,205,9650,2.1243523316062176,1.390881961511231
ABCC4,classical monocyte,spleen,normal,3,9650,0.0310880829015544,1.2052773237129917
ABCC5,classical monocyte,spleen,normal,27,9650,0.2797927461139896,1.3089733792040013
ABCC6,classical monocyte,spleen,normal,6,9650,0.0621761658031088,1.2887982523946764
ABCD1,classical monocyte,spleen,normal,116,9650,1.2020725388601037,1.3962524781965355
ABCD3,classical monocyte,spleen,normal,4,9650,0.0414507772020725,1.230351596630473
ABCD4,classical monocyte,spleen,normal,114,9650,1.1813471502590671,1.426181492895647
ABCE1,classical monocyte,spleen,normal,454,9650,4.704663212435233,1.3538666206587378
ABCF1,classical monocyte,spleen,normal,21,9650,0.2176165803108808,1.213822620784346
