gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,common dendritic progenitor,spleen,normal,1,20,5.0,1.568127986242843
A2M,common dendritic progenitor,spleen,normal,1,20,5.0,1.1998064012397216
AAMP,common dendritic progenitor,spleen,normal,1,20,5.0,1.2092671655108167
AARSD1,common dendritic progenitor,spleen,normal,1,20,5.0,1.1352228529916826
ABCD4,common dendritic progenitor,spleen,normal,1,20,5.0,1.471127491822796
ABCE1,common dendritic progenitor,spleen,normal,5,20,25.0,1.4582723501714157
ABHD12,common dendritic progenitor,spleen,normal,1,20,5.0,1.323214764861132
ABHD2,common dendritic progenitor,spleen,normal,1,20,5.0,1.294061957511612
ABHD3,common dendritic progenitor,spleen,normal,2,20,10.0,1.309655129881221
ABHD8,common dendritic progenitor,spleen,normal,1,20,5.0,1.504071110374999
ABI2,common dendritic progenitor,spleen,normal,1,20,5.0,1.661391862591575
ABR,common dendritic progenitor,spleen,normal,1,20,5.0,1.2021802734545133
ABRACL,common dendritic progenitor,spleen,normal,18,20,90.0,1.724458111554747
ABTB1,common dendritic progenitor,spleen,normal,3,20,15.0,1.6348812699334638
ACAA2,common dendritic progenitor,spleen,normal,1,20,5.0,1.5295239847118818
ACADVL,common dendritic progenitor,spleen,normal,1,20,5.0,1.10025976994741
ACAP1,common dendritic progenitor,spleen,normal,2,20,10.0,1.4139692976059828
ACAP2,common dendritic progenitor,spleen,normal,4,20,20.0,1.2457966380364909
ACAT1,common dendritic progenitor,spleen,normal,1,20,5.0,1.4877077028507475
ACIN1,common dendritic progenitor,spleen,normal,3,20,15.0,1.713106667539343
ACOT8,common dendritic progenitor,spleen,normal,1,20,5.0,1.3473337450935
ACOX1,common dendritic progenitor,spleen,normal,1,20,5.0,1.6027788085745729
ACP1,common dendritic progenitor,spleen,normal,7,20,35.0,1.4677837830591642
ACP2,common dendritic progenitor,spleen,normal,1,20,5.0,1.2882060520501946
ACTB,common dendritic progenitor,spleen,normal,20,20,100.0,4.136445723859706
ACTG1,common dendritic progenitor,spleen,normal,19,20,95.0,2.900075968095833
ACTL6A,common dendritic progenitor,spleen,normal,1,20,5.0,1.6930063652687293
ACTR10,common dendritic progenitor,spleen,normal,2,20,10.0,1.236467015185414
ACTR2,common dendritic progenitor,spleen,normal,3,20,15.0,1.1987179474783696
ACTR3,common dendritic progenitor,spleen,normal,14,20,70.0,1.6124921179435925
ACY3,common dendritic progenitor,spleen,normal,8,20,40.0,1.7891904659399345
ACYP1,common dendritic progenitor,spleen,normal,2,20,10.0,1.758943680293604
ADA,common dendritic progenitor,spleen,normal,4,20,20.0,1.4402572911830762
