gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A2M,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.2552996346281922
AAGAB,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.1681578736333296
AAK1,common myeloid progenitor,spleen,normal,2,126,1.5873015873015872,1.3666510740137467
AAMDC,common myeloid progenitor,spleen,normal,7,126,5.555555555555555,1.4031965473856451
AAMP,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.2288451947764696
AARSD1,common myeloid progenitor,spleen,normal,3,126,2.380952380952381,1.2308583167715057
AASDHPPT,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.2023152279945135
ABCA2,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.454880017974805
ABCB10,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.712660430793459
ABCB8,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.7622692328767526
ABCD4,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.610726752902431
ABCE1,common myeloid progenitor,spleen,normal,7,126,5.555555555555555,1.566840497744454
ABCF2,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.454880017974805
ABCF3,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.186314142667181
ABHD14A,common myeloid progenitor,spleen,normal,6,126,4.761904761904762,1.2107899254666925
ABHD14B,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.5279337830335256
ABHD2,common myeloid progenitor,spleen,normal,3,126,2.380952380952381,1.477155388250487
ABHD3,common myeloid progenitor,spleen,normal,3,126,2.380952380952381,1.2523846745261469
ABHD4,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.1675247139249272
ABHD5,common myeloid progenitor,spleen,normal,4,126,3.1746031746031744,1.2400648341561973
ABHD8,common myeloid progenitor,spleen,normal,2,126,1.5873015873015872,1.478861306875669
ABI2,common myeloid progenitor,spleen,normal,1,126,0.7936507936507936,1.588612183109345
ABITRAM,common myeloid progenitor,spleen,normal,3,126,2.380952380952381,1.8675024083855136
