gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,conventional dendritic cell,spleen,normal,3,546,0.5494505494505495,1.2414446038606943
A2M,conventional dendritic cell,spleen,normal,4,546,0.7326007326007326,1.5924014606863108
A2M-AS1,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.274801304373938
A2ML1,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.2086653557732618
AAAS,conventional dendritic cell,spleen,normal,8,546,1.465201465201465,1.2652293083616288
AAGAB,conventional dendritic cell,spleen,normal,6,546,1.098901098901099,1.3982926865911056
AAK1,conventional dendritic cell,spleen,normal,19,546,3.47985347985348,1.3908335129106937
AAMDC,conventional dendritic cell,spleen,normal,12,546,2.197802197802198,1.3802636799412662
AAMP,conventional dendritic cell,spleen,normal,9,546,1.6483516483516485,1.3617876589024038
AAR2,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.5186687351867625
AARSD1,conventional dendritic cell,spleen,normal,10,546,1.831501831501832,1.3146472709287027
AASDHPPT,conventional dendritic cell,spleen,normal,5,546,0.9157509157509158,1.4408336722236936
AATF,conventional dendritic cell,spleen,normal,2,546,0.3663003663003663,1.4101493428660383
AATK,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.2527530534898592
ABAT,conventional dendritic cell,spleen,normal,2,546,0.3663003663003663,1.372198571973423
ABCA1,conventional dendritic cell,spleen,normal,6,546,1.098901098901099,1.3946989285648117
ABCA2,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.4880888704436328
ABCA5,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.196540785369549
ABCA6,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.27894859873467
ABCA7,conventional dendritic cell,spleen,normal,16,546,2.93040293040293,1.5207532354977389
ABCB1,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.7353692327208492
ABCB10,conventional dendritic cell,spleen,normal,3,546,0.5494505494505495,1.4505528201207427
ABCB4,conventional dendritic cell,spleen,normal,2,546,0.3663003663003663,1.5603666887850185
ABCB6,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.184510890586852
ABCB7,conventional dendritic cell,spleen,normal,2,546,0.3663003663003663,1.2343015445179175
ABCB8,conventional dendritic cell,spleen,normal,5,546,0.9157509157509158,1.4439404490293375
ABCC10,conventional dendritic cell,spleen,normal,4,546,0.7326007326007326,1.4437740415315707
ABCC3,conventional dendritic cell,spleen,normal,3,546,0.5494505494505495,1.523229067432932
ABCC4,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.2222554309124076
ABCC5,conventional dendritic cell,spleen,normal,3,546,0.5494505494505495,1.2512569441360628
ABCD1,conventional dendritic cell,spleen,normal,3,546,0.5494505494505495,1.364960609524574
ABCD4,conventional dendritic cell,spleen,normal,10,546,1.831501831501832,1.4941661381814284
ABCE1,conventional dendritic cell,spleen,normal,25,546,4.5787545787545785,1.453272921611798
ABCF1,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.1311772323129492
ABCF2,conventional dendritic cell,spleen,normal,7,546,1.282051282051282,1.502939862268834
ABCF3,conventional dendritic cell,spleen,normal,7,546,1.282051282051282,1.6641087884066752
ABCG1,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.1152784061892416
ABHD10,conventional dendritic cell,spleen,normal,8,546,1.465201465201465,1.4840910474370992
ABHD11,conventional dendritic cell,spleen,normal,4,546,0.7326007326007326,1.1900820669705152
ABHD12,conventional dendritic cell,spleen,normal,5,546,0.9157509157509158,1.339849017854012
ABHD14A,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.1183620493142936
ABHD14B,conventional dendritic cell,spleen,normal,4,546,0.7326007326007326,1.28075841433644
ABHD15-AS1,conventional dendritic cell,spleen,normal,3,546,0.5494505494505495,1.562104847891067
ABHD16A,conventional dendritic cell,spleen,normal,4,546,0.7326007326007326,1.377525678749444
ABHD17A,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.1722727279925258
ABHD17C,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.3958646198261129
ABHD18,conventional dendritic cell,spleen,normal,1,546,0.1831501831501831,1.951018286985079
ABHD2,conventional dendritic cell,spleen,normal,38,546,6.95970695970696,1.3788409194379403
ABHD3,conventional dendritic cell,spleen,normal,23,546,4.212454212454213,1.4017961335528977
ABHD4,conventional dendritic cell,spleen,normal,3,546,0.5494505494505495,1.6137887909770443
