gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,dendritic cell,spleen,normal,27,5031,0.5366726296958855,1.2405618044725932
A1BG-AS1,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.4462336686644768
A2M,dendritic cell,spleen,normal,88,5031,1.7491552375273307,1.4904335694768884
A2M-AS1,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.274801304373938
A2ML1,dendritic cell,spleen,normal,3,5031,0.0596302921884317,1.202361308335856
AAAS,dendritic cell,spleen,normal,33,5031,0.655933214072749,1.4371728044450882
AACS,dendritic cell,spleen,normal,5,5031,0.0993838203140528,1.207615215042479
AAGAB,dendritic cell,spleen,normal,38,5031,0.7553170343868018,1.3587190204425164
AAK1,dendritic cell,spleen,normal,119,5031,2.365334923474458,1.38372442143074
AAMDC,dendritic cell,spleen,normal,120,5031,2.385211687537269,1.393323921021241
AAMP,dendritic cell,spleen,normal,57,5031,1.132975551580203,1.2938163096941735
AANAT,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.6190784628112127
AAR2,dendritic cell,spleen,normal,2,5031,0.0397535281256211,1.3166567322219158
AARS1,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.1274233247313654
AARSD1,dendritic cell,spleen,normal,58,5031,1.1528523156430133,1.3825149548088134
AASDH,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.1484794768145838
AASDHPPT,dendritic cell,spleen,normal,55,5031,1.0932220234545815,1.31385793431993
AATF,dendritic cell,spleen,normal,9,5031,0.1788908765652951,1.2820728419982068
AATK,dendritic cell,spleen,normal,2,5031,0.0397535281256211,1.1879559876619243
ABAT,dendritic cell,spleen,normal,17,5031,0.3379049890677797,1.440035230176112
ABCA1,dendritic cell,spleen,normal,25,5031,0.4969191015702643,1.2868679819892015
ABCA15P,dendritic cell,spleen,normal,5,5031,0.0993838203140528,1.4186399945998065
ABCA2,dendritic cell,spleen,normal,14,5031,0.278274696879348,1.328877513071816
ABCA5,dendritic cell,spleen,normal,5,5031,0.0993838203140528,1.3181790583173505
ABCA6,dendritic cell,spleen,normal,4,5031,0.0795070562512423,1.3871717856739705
ABCA7,dendritic cell,spleen,normal,118,5031,2.345458159411648,1.4489313382811704
ABCA9,dendritic cell,spleen,normal,3,5031,0.0596302921884317,1.5609013359476958
ABCA9-AS1,dendritic cell,spleen,normal,15,5031,0.2981514609421586,1.4135773768247153
ABCB1,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.496037515154745
ABCB10,dendritic cell,spleen,normal,33,5031,0.655933214072749,1.324465629016338
ABCB4,dendritic cell,spleen,normal,4,5031,0.0795070562512423,1.530530352691295
ABCB6,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.184510890586852
ABCB7,dendritic cell,spleen,normal,10,5031,0.1987676406281057,1.282679279807178
ABCB8,dendritic cell,spleen,normal,89,5031,1.769032001590141,1.364571072470934
ABCB9,dendritic cell,spleen,normal,2,5031,0.0397535281256211,1.3685005232917575
ABCC10,dendritic cell,spleen,normal,29,5031,0.5764261578215066,1.2892276893584305
ABCC2,dendritic cell,spleen,normal,3,5031,0.0596302921884317,1.3021853271851431
ABCC3,dendritic cell,spleen,normal,12,5031,0.2385211687537269,1.3943566409596573
ABCC4,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.2222554309124076
ABCC5,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.420507071350545
ABCD1,dendritic cell,spleen,normal,18,5031,0.3577817531305903,1.3343258069967785
ABCD4,dendritic cell,spleen,normal,86,5031,1.7094017094017095,1.4393222804862311
ABCE1,dendritic cell,spleen,normal,330,5031,6.559332140727489,1.3812285235817403
ABCF1,dendritic cell,spleen,normal,11,5031,0.2186444046909163,1.4179889330644977
ABCF2,dendritic cell,spleen,normal,51,5031,1.0137149672033392,1.3056578321074022
ABCF3,dendritic cell,spleen,normal,58,5031,1.1528523156430133,1.3414596471371356
ABCG1,dendritic cell,spleen,normal,3,5031,0.0596302921884317,1.2436824168117775
ABHD1,dendritic cell,spleen,normal,1,5031,0.0198767640628105,2.1451712687357665
ABHD10,dendritic cell,spleen,normal,65,5031,1.2919896640826871,1.4175259707053516
ABHD11,dendritic cell,spleen,normal,42,5031,0.8348240906380441,1.3266960369202732
ABHD12,dendritic cell,spleen,normal,45,5031,0.8944543828264758,1.3635748183717666
ABHD14A,dendritic cell,spleen,normal,38,5031,0.7553170343868018,1.34158696612444
ABHD14B,dendritic cell,spleen,normal,23,5031,0.4571655734446432,1.298418933442446
ABHD15,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.3152175797273131
ABHD15-AS1,dendritic cell,spleen,normal,5,5031,0.0993838203140528,1.8548018388607703
ABHD16A,dendritic cell,spleen,normal,35,5031,0.6956867421983701,1.298469719572459
ABHD17A,dendritic cell,spleen,normal,16,5031,0.3180282250049692,1.3253315877479457
ABHD17B,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.185897216246323
ABHD17C,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.3958646198261129
ABHD18,dendritic cell,spleen,normal,9,5031,0.1788908765652951,1.3771837960643007
ABHD2,dendritic cell,spleen,normal,216,5031,4.293381037567084,1.3922297918140245
ABHD3,dendritic cell,spleen,normal,251,5031,4.989067779765454,1.4473571520129531
ABHD4,dendritic cell,spleen,normal,15,5031,0.2981514609421586,1.4364364004964143
ABHD5,dendritic cell,spleen,normal,60,5031,1.1926058437686344,1.4352940555552274
ABHD6,dendritic cell,spleen,normal,172,5031,3.418803418803419,1.4386831633687285
ABHD8,dendritic cell,spleen,normal,76,5031,1.5106340687736035,1.456967747119548
ABI1,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.1773762117851476
ABI2,dendritic cell,spleen,normal,166,5031,3.299542834426555,1.4334392116844914
ABI3,dendritic cell,spleen,normal,637,5031,12.661498708010337,1.3906406806360996
ABI3BP,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.1866083697983163
ABITRAM,dendritic cell,spleen,normal,68,5031,1.351619956271119,1.429231616316004
ABL1,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.2728552976665386
ABL2,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.2951055868168884
ABLIM1,dendritic cell,spleen,normal,5,5031,0.0993838203140528,1.3729500090618492
ABR,dendritic cell,spleen,normal,166,5031,3.299542834426555,1.4347985202670606
ABRACL,dendritic cell,spleen,normal,2993,5031,59.49115483999204,1.636626109648805
ABRAXAS1,dendritic cell,spleen,normal,9,5031,0.1788908765652951,1.3494043668615625
ABRAXAS2,dendritic cell,spleen,normal,2,5031,0.0397535281256211,1.1593754199015582
ABT1,dendritic cell,spleen,normal,4,5031,0.0795070562512423,1.2072455631422665
ABTB1,dendritic cell,spleen,normal,91,5031,1.8087855297157625,1.3768470492286222
ACAA1,dendritic cell,spleen,normal,794,5031,15.782150665871598,1.372705682879148
ACAA2,dendritic cell,spleen,normal,26,5031,0.516795865633075,1.3282102767918458
ACACA,dendritic cell,spleen,normal,50,5031,0.9938382031405288,1.3963430977973177
ACACB,dendritic cell,spleen,normal,7,5031,0.139137348439674,1.366054519685883
ACAD10,dendritic cell,spleen,normal,26,5031,0.516795865633075,1.3508910464100172
ACAD11,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.2771176318648974
ACAD8,dendritic cell,spleen,normal,20,5031,0.3975352812562114,1.332993467080316
ACAD9,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.3426734170324512
ACADM,dendritic cell,spleen,normal,14,5031,0.278274696879348,1.336573652940233
ACADS,dendritic cell,spleen,normal,10,5031,0.1987676406281057,1.2822978857549008
ACADSB,dendritic cell,spleen,normal,6,5031,0.1192605843768634,1.4319887639927458
ACADVL,dendritic cell,spleen,normal,937,5031,18.624527926853503,1.4249080392022866
ACAP1,dendritic cell,spleen,normal,967,5031,19.220830848737823,1.5302545570215316
ACAP2,dendritic cell,spleen,normal,778,5031,15.464122440866626,1.443056677883059
ACAP2-IT1,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.889094364021766
ACAP3,dendritic cell,spleen,normal,35,5031,0.6956867421983701,1.3292597829980135
ACAT1,dendritic cell,spleen,normal,62,5031,1.2323593718942556,1.3931404376788052
ACAT2,dendritic cell,spleen,normal,40,5031,0.7950705625124229,1.31491322925111
ACBD3,dendritic cell,spleen,normal,5,5031,0.0993838203140528,1.242884569638337
ACBD4,dendritic cell,spleen,normal,4,5031,0.0795070562512423,1.2808446842984815
ACBD6,dendritic cell,spleen,normal,7,5031,0.139137348439674,1.2934063407450935
ACCS,dendritic cell,spleen,normal,13,5031,0.2583979328165375,1.3906497993237406
ACD,dendritic cell,spleen,normal,8,5031,0.1590141125024846,1.5480276062503824
ACE,dendritic cell,spleen,normal,12,5031,0.2385211687537269,1.3890254223736571
ACER3,dendritic cell,spleen,normal,3,5031,0.0596302921884317,1.2174241458448245
ACHE,dendritic cell,spleen,normal,4,5031,0.0795070562512423,1.2680557790871068
ACIN1,dendritic cell,spleen,normal,312,5031,6.2015503875969,1.3804025090364331
ACKR2,dendritic cell,spleen,normal,2,5031,0.0397535281256211,1.2905143489686646
ACKR3,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.180739603725559
ACKR4,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.1507935008722563
ACLY,dendritic cell,spleen,normal,17,5031,0.3379049890677797,1.3164696515173324
ACO2,dendritic cell,spleen,normal,4,5031,0.0795070562512423,1.1800873601444002
ACOT2,dendritic cell,spleen,normal,1,5031,0.0198767640628105,1.102824427358074
ACOT7,dendritic cell,spleen,normal,27,5031,0.5366726296958855,1.3822595341427908
ACOT8,dendritic cell,spleen,normal,30,5031,0.5963029218843172,1.3608337525564187
