gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAK1,double negative thymocyte,spleen,normal,1,5,20.0,1.5270350319793726
AASDHPPT,double negative thymocyte,spleen,normal,1,5,20.0,1.3292562257688365
ABCA2,double negative thymocyte,spleen,normal,1,5,20.0,1.5468040197014512
ABRACL,double negative thymocyte,spleen,normal,5,5,100.0,1.5221978042694926
ACAA1,double negative thymocyte,spleen,normal,1,5,20.0,1.543466933582376
ACADVL,double negative thymocyte,spleen,normal,1,5,20.0,1.7655000239648713
ACAP1,double negative thymocyte,spleen,normal,1,5,20.0,1.7168492477718482
ACIN1,double negative thymocyte,spleen,normal,1,5,20.0,2.17862083983464
ACP1,double negative thymocyte,spleen,normal,3,5,60.0,1.6327196859736504
ACTB,double negative thymocyte,spleen,normal,5,5,100.0,3.8378980341403848
ACTG1,double negative thymocyte,spleen,normal,5,5,100.0,3.061542842208876
ACTL6A,double negative thymocyte,spleen,normal,2,5,40.0,1.1923050181689496
ACTR3,double negative thymocyte,spleen,normal,5,5,100.0,1.4844266318384292
ACYP1,double negative thymocyte,spleen,normal,1,5,20.0,1.1420231296864227
ADA,double negative thymocyte,spleen,normal,2,5,40.0,1.5339851190521498
ADAM10,double negative thymocyte,spleen,normal,2,5,40.0,1.1227766017231606
ADD3,double negative thymocyte,spleen,normal,1,5,20.0,2.8643303853045574
ADH5,double negative thymocyte,spleen,normal,2,5,40.0,1.4764814434624278
ADIPOR1,double negative thymocyte,spleen,normal,1,5,20.0,1.4150757060095296
ADSL,double negative thymocyte,spleen,normal,1,5,20.0,1.100599298744788
AFMID,double negative thymocyte,spleen,normal,1,5,20.0,1.1877536258250991
AGGF1,double negative thymocyte,spleen,normal,1,5,20.0,1.5125968305255504
AHCYL1,double negative thymocyte,spleen,normal,1,5,20.0,1.134419269819719
AHDC1,double negative thymocyte,spleen,normal,1,5,20.0,1.738323317482221
AHSA1,double negative thymocyte,spleen,normal,2,5,40.0,1.4172533555779632
AHSP,double negative thymocyte,spleen,normal,1,5,20.0,1.48008547889488
AIF1,double negative thymocyte,spleen,normal,5,5,100.0,2.383124615736084
AIP,double negative thymocyte,spleen,normal,1,5,20.0,1.3693614815837505
AKR1A1,double negative thymocyte,spleen,normal,2,5,40.0,1.363741482640633
AKR1B1,double negative thymocyte,spleen,normal,3,5,60.0,1.3248057447961636
ALDOA,double negative thymocyte,spleen,normal,1,5,20.0,2.6410208107068214
ALKBH7,double negative thymocyte,spleen,normal,1,5,20.0,1.163248540122196
ALOX5AP,double negative thymocyte,spleen,normal,1,5,20.0,2.197824500278492
ALPK1,double negative thymocyte,spleen,normal,1,5,20.0,1.4930705489095788
AMN1,double negative thymocyte,spleen,normal,1,5,20.0,1.7620451078677504
ANAPC11,double negative thymocyte,spleen,normal,4,5,80.0,1.568557829900363
ANAPC5,double negative thymocyte,spleen,normal,1,5,20.0,1.4165516473714774
ANKRD13A,double negative thymocyte,spleen,normal,1,5,20.0,1.5246059849799876
ANKRD44,double negative thymocyte,spleen,normal,1,5,20.0,2.005988774931165
ANP32A,double negative thymocyte,spleen,normal,3,5,60.0,1.4791024218246198
ANP32B,double negative thymocyte,spleen,normal,5,5,100.0,2.0058533514833607
ANXA11,double negative thymocyte,spleen,normal,2,5,40.0,1.9602322455759067
ANXA6,double negative thymocyte,spleen,normal,1,5,20.0,2.1776228138965474
ANXA7,double negative thymocyte,spleen,normal,1,5,20.0,2.2248727468560325
AP1M1,double negative thymocyte,spleen,normal,1,5,20.0,1.969526417778561
AP2A2,double negative thymocyte,spleen,normal,1,5,20.0,1.4514083824169397
AP2S1,double negative thymocyte,spleen,normal,3,5,60.0,1.357837812153097
AP3M2,double negative thymocyte,spleen,normal,1,5,20.0,1.1630203339328191
AP3S1,double negative thymocyte,spleen,normal,1,5,20.0,1.1228829530001407
AP3S2,double negative thymocyte,spleen,normal,1,5,20.0,1.9484641518695192
APEX1,double negative thymocyte,spleen,normal,5,5,100.0,1.7243297877386676
API5,double negative thymocyte,spleen,normal,1,5,20.0,1.597210964770313
APOL2,double negative thymocyte,spleen,normal,1,5,20.0,1.2124812632320736
APRT,double negative thymocyte,spleen,normal,5,5,100.0,1.8236738494933888
AQP3,double negative thymocyte,spleen,normal,1,5,20.0,1.5654704935041597
AREG,double negative thymocyte,spleen,normal,1,5,20.0,1.6716494493487128
ARF1,double negative thymocyte,spleen,normal,3,5,60.0,1.4376214330913772
ARF3,double negative thymocyte,spleen,normal,2,5,40.0,1.6104234048854744
ARF4,double negative thymocyte,spleen,normal,1,5,20.0,1.1120845817492482
ARF5,double negative thymocyte,spleen,normal,2,5,40.0,1.5868468087679657
ARHGAP15,double negative thymocyte,spleen,normal,1,5,20.0,2.630648183421073
ARHGDIA,double negative thymocyte,spleen,normal,2,5,40.0,1.270157674593682
ARHGDIB,double negative thymocyte,spleen,normal,5,5,100.0,2.602046627664982
ARHGEF1,double negative thymocyte,spleen,normal,1,5,20.0,1.5654704935041597
ARHGEF37,double negative thymocyte,spleen,normal,1,5,20.0,1.2064893534144698
ARID3B,double negative thymocyte,spleen,normal,1,5,20.0,1.124639754121053
ARIH2,double negative thymocyte,spleen,normal,1,5,20.0,1.2296193007752092
ARL6IP1,double negative thymocyte,spleen,normal,2,5,40.0,1.59193419834089
ARL6IP4,double negative thymocyte,spleen,normal,3,5,60.0,1.5133580555420636
ARL6IP5,double negative thymocyte,spleen,normal,1,5,20.0,2.5549115123412776
ARMC7,double negative thymocyte,spleen,normal,1,5,20.0,1.4110188636664722
ARPC2,double negative thymocyte,spleen,normal,4,5,80.0,2.01718228525676
ARPC3,double negative thymocyte,spleen,normal,5,5,100.0,2.3759344112910386
ARPC4,double negative thymocyte,spleen,normal,2,5,40.0,1.4624484815106416
