gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAK1,early lymphoid progenitor,spleen,normal,5,115,4.3478260869565215,1.190655919455517
AAMDC,early lymphoid progenitor,spleen,normal,11,115,9.565217391304348,1.292686336149757
AAMP,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.3616842373777882
AARSD1,early lymphoid progenitor,spleen,normal,3,115,2.608695652173913,1.2100268685869615
AASDHPPT,early lymphoid progenitor,spleen,normal,4,115,3.4782608695652173,1.2286574869549218
AATK,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.223681460481385
ABCA1,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.502128354436569
ABCA7,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.33058204487226
ABCA9-AS1,early lymphoid progenitor,spleen,normal,6,115,5.217391304347826,1.9116219439169064
ABCB1,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.1973256948143984
ABCB8,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.2384938939866104
ABCD4,early lymphoid progenitor,spleen,normal,3,115,2.608695652173913,1.3106891607593516
ABCE1,early lymphoid progenitor,spleen,normal,13,115,11.304347826086955,1.402012722271646
ABCF2,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.2924080876049986
ABHD10,early lymphoid progenitor,spleen,normal,5,115,4.3478260869565215,1.234495125614231
ABHD11,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.355522373165783
ABHD14A,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.129787332810191
ABHD14B,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.404975716315347
ABHD16A,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.368744976329518
ABHD2,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.4113336862946395
ABHD3,early lymphoid progenitor,spleen,normal,10,115,8.695652173913043,1.4699389923703976
ABHD4,early lymphoid progenitor,spleen,normal,4,115,3.4782608695652173,1.470913949686906
ABHD5,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2637281297396874
ABHD8,early lymphoid progenitor,spleen,normal,8,115,6.956521739130435,1.4101939197929716
ABI2,early lymphoid progenitor,spleen,normal,7,115,6.086956521739131,1.4765357756711452
ABITRAM,early lymphoid progenitor,spleen,normal,5,115,4.3478260869565215,1.265370806273845
ABR,early lymphoid progenitor,spleen,normal,8,115,6.956521739130435,1.1913905156840972
ABRACL,early lymphoid progenitor,spleen,normal,67,115,58.26086956521739,1.6377416093156447
ABTB1,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2645724151198685
ACAA1,early lymphoid progenitor,spleen,normal,7,115,6.086956521739131,1.3054802004697472
ACACA,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.1277534914384988
ACAD10,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2376981047891773
ACADSB,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.1194448968208424
ACADVL,early lymphoid progenitor,spleen,normal,14,115,12.173913043478262,1.3560564222077958
ACAP1,early lymphoid progenitor,spleen,normal,38,115,33.04347826086956,1.4592421135543692
ACAP2,early lymphoid progenitor,spleen,normal,28,115,24.347826086956523,1.4482263899220178
ACAP3,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.297039511140834
ACAT1,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.257872622270791
ACAT2,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.3576840641234793
ACIN1,early lymphoid progenitor,spleen,normal,15,115,13.043478260869565,1.3748646832451
ACOT8,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2088112718779267
ACOX1,early lymphoid progenitor,spleen,normal,8,115,6.956521739130435,1.2107463542320958
ACP1,early lymphoid progenitor,spleen,normal,36,115,31.30434782608696,1.446538804126133
ACRBP,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.2043817092706943
ACSF3,early lymphoid progenitor,spleen,normal,3,115,2.608695652173913,1.2454611127037698
ACSS2,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2235921750604426
ACTB,early lymphoid progenitor,spleen,normal,115,115,100.0,3.4338750129417006
ACTG1,early lymphoid progenitor,spleen,normal,114,115,99.1304347826087,2.804434417105325
ACTL6A,early lymphoid progenitor,spleen,normal,12,115,10.434782608695652,1.377998465044614
ACTMAP,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.239634375331957
ACTN4,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.3438861454223014
ACTR10,early lymphoid progenitor,spleen,normal,18,115,15.65217391304348,1.3977631495136098
ACTR1A,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2505361296367463
ACTR2,early lymphoid progenitor,spleen,normal,23,115,20.0,1.3599688345228274
ACTR3,early lymphoid progenitor,spleen,normal,66,115,57.391304347826086,1.6026683165823183
ACTR3-AS1,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.134861860278645
ACTR3C,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.1523551772012142
ACTR6,early lymphoid progenitor,spleen,normal,9,115,7.82608695652174,1.4506640719339892
ACY3,early lymphoid progenitor,spleen,normal,72,115,62.60869565217392,1.9687764008903672
ACYP1,early lymphoid progenitor,spleen,normal,7,115,6.086956521739131,1.3466077908622975
ACYP2,early lymphoid progenitor,spleen,normal,3,115,2.608695652173913,1.143619845298601
ADA,early lymphoid progenitor,spleen,normal,29,115,25.217391304347824,1.5063175905060853
ADAM10,early lymphoid progenitor,spleen,normal,14,115,12.173913043478262,1.3274458714617885
ADAM28,early lymphoid progenitor,spleen,normal,11,115,9.565217391304348,1.4305171990639396
ADAM8,early lymphoid progenitor,spleen,normal,3,115,2.608695652173913,1.3789541958388327
ADAMTS10,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2774649068150536
ADAP1,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.2356184176306273
ADAT1,early lymphoid progenitor,spleen,normal,4,115,3.4782608695652173,1.506466477901664
ADCK5,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.390850611843897
ADCY7,early lymphoid progenitor,spleen,normal,1,115,0.8695652173913043,1.3053894047221628
ADD1,early lymphoid progenitor,spleen,normal,4,115,3.4782608695652173,1.3039964147907084
ADD3,early lymphoid progenitor,spleen,normal,20,115,17.391304347826086,1.491743772805596
ADGRA3,early lymphoid progenitor,spleen,normal,4,115,3.4782608695652173,1.2330102190389594
ADGRE2,early lymphoid progenitor,spleen,normal,2,115,1.7391304347826086,1.2563203568691257
ADGRE5,early lymphoid progenitor,spleen,normal,15,115,13.043478260869565,1.4385507551179348
