gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,endothelial cell,spleen,normal,4,11275,0.0354767184035476,2.0021570435634684
7SK_ENSG00000202198,endothelial cell,spleen,normal,32,11275,0.2838137472283814,1.5421333532700583
7SK_ENSG00000274303,endothelial cell,spleen,normal,16,11275,0.1419068736141907,1.4096690676876016
A1BG,endothelial cell,spleen,normal,1,11275,0.0088691796008869,1.1634930786102131
A2M,endothelial cell,spleen,normal,10185,11275,90.33259423503326,2.393062035146471
A2ML1,endothelial cell,spleen,normal,9,11275,0.0798226164079822,1.3919127537636853
A2ML1-AS1,endothelial cell,spleen,normal,34,11275,0.3015521064301552,1.3845140856805844
A3GALT2,endothelial cell,spleen,normal,2,11275,0.0177383592017738,1.224603649742411
A4GALT,endothelial cell,spleen,normal,28,11275,0.2483370288248337,1.260692638743583
AAAS,endothelial cell,spleen,normal,52,11275,0.4611973392461197,1.2379203017239584
AACS,endothelial cell,spleen,normal,7,11275,0.0620842572062084,1.1310498810310732
AADAT,endothelial cell,spleen,normal,3,11275,0.0266075388026607,1.251379347019818
AAGAB,endothelial cell,spleen,normal,243,11275,2.155210643015521,1.3217489713792565
AAK1,endothelial cell,spleen,normal,1082,11275,9.596452328159645,1.406556256654612
AAMDC,endothelial cell,spleen,normal,2783,11275,24.682926829268293,1.5028255341608772
AAMP,endothelial cell,spleen,normal,576,11275,5.1086474501108645,1.281177476536363
AANAT,endothelial cell,spleen,normal,1,11275,0.0088691796008869,1.484735134612182
AAR2,endothelial cell,spleen,normal,2,11275,0.0177383592017738,1.2726105576026838
AARD,endothelial cell,spleen,normal,1,11275,0.0088691796008869,1.3901110440776876
AARS1,endothelial cell,spleen,normal,4,11275,0.0354767184035476,1.2067080617193722
AARSD1,endothelial cell,spleen,normal,208,11275,1.8447893569844789,1.3691753827450208
AASDH,endothelial cell,spleen,normal,6,11275,0.0532150776053215,1.1874527141089686
AASDHPPT,endothelial cell,spleen,normal,524,11275,4.647450110864745,1.3051950228376268
AASS,endothelial cell,spleen,normal,3,11275,0.0266075388026607,1.1648800258471292
AATF,endothelial cell,spleen,normal,41,11275,0.3636363636363636,1.2595081273726652
AATK,endothelial cell,spleen,normal,86,11275,0.7627494456762749,1.290682071082751
ABALON,endothelial cell,spleen,normal,2,11275,0.0177383592017738,1.1471541072023943
ABAT,endothelial cell,spleen,normal,14,11275,0.1241685144124168,1.269780739395666
ABCA1,endothelial cell,spleen,normal,86,11275,0.7627494456762749,1.4740136109287385
ABCA10,endothelial cell,spleen,normal,8,11275,0.0709534368070953,1.300810459306157
ABCA17P,endothelial cell,spleen,normal,8,11275,0.0709534368070953,1.3464898641228205
ABCA2,endothelial cell,spleen,normal,38,11275,0.3370288248337029,1.3021252242562953
ABCA3,endothelial cell,spleen,normal,1,11275,0.0088691796008869,1.568359798877292
ABCA4,endothelial cell,spleen,normal,22,11275,0.1951219512195122,1.3906846534324284
ABCA5,endothelial cell,spleen,normal,41,11275,0.3636363636363636,1.2461641558529406
ABCA6,endothelial cell,spleen,normal,2,11275,0.0177383592017738,1.218420816079011
ABCA7,endothelial cell,spleen,normal,32,11275,0.2838137472283814,1.3651967185291185
ABCA8,endothelial cell,spleen,normal,77,11275,0.6829268292682927,1.407658918366795
ABCA9,endothelial cell,spleen,normal,4,11275,0.0354767184035476,1.3950963512532106
ABCA9-AS1,endothelial cell,spleen,normal,151,11275,1.3392461197339247,1.553684222833137
ABCB1,endothelial cell,spleen,normal,166,11275,1.4722838137472285,1.6400907094566812
ABCB10,endothelial cell,spleen,normal,113,11275,1.0022172949002215,1.342370502531974
ABCB6,endothelial cell,spleen,normal,13,11275,0.1152993348115299,1.3449985326208609
ABCB7,endothelial cell,spleen,normal,24,11275,0.212860310421286,1.2270209769475695
ABCB8,endothelial cell,spleen,normal,187,11275,1.6585365853658538,1.338733237443406
ABCB9,endothelial cell,spleen,normal,2,11275,0.0177383592017738,1.4773577217618814
ABCC1,endothelial cell,spleen,normal,3,11275,0.0266075388026607,1.1806724002037945
ABCC10,endothelial cell,spleen,normal,77,11275,0.6829268292682927,1.3557640093696413
ABCC2,endothelial cell,spleen,normal,9,11275,0.0798226164079822,1.214429006233178
ABCC3,endothelial cell,spleen,normal,18,11275,0.1596452328159645,1.422063136336477
ABCC4,endothelial cell,spleen,normal,25,11275,0.2217294900221729,1.2814246335882058
ABCC5,endothelial cell,spleen,normal,13,11275,0.1152993348115299,1.2023478408830008
ABCC5-AS1,endothelial cell,spleen,normal,1,11275,0.0088691796008869,1.4704995726721064
ABCD1,endothelial cell,spleen,normal,28,11275,0.2483370288248337,1.2832779182777858
ABCD3,endothelial cell,spleen,normal,1,11275,0.0088691796008869,1.197284057915104
ABCD4,endothelial cell,spleen,normal,1162,11275,10.3059866962306,1.3886860321445884
ABCE1,endothelial cell,spleen,normal,2053,11275,18.208425720620845,1.4278470346905292
ABCF1,endothelial cell,spleen,normal,19,11275,0.1685144124168514,1.1770306288722905
ABCF2,endothelial cell,spleen,normal,79,11275,0.7006651884700665,1.3232101819119109
ABCF3,endothelial cell,spleen,normal,490,11275,4.34589800443459,1.374569135265292
ABCG1,endothelial cell,spleen,normal,173,11275,1.5343680709534369,1.3354875231670522
ABCG2,endothelial cell,spleen,normal,18,11275,0.1596452328159645,1.2391034549447346
ABHD1,endothelial cell,spleen,normal,5,11275,0.0443458980044345,1.2482056416622207
ABHD10,endothelial cell,spleen,normal,378,11275,3.352549889135255,1.336734212984288
ABHD11,endothelial cell,spleen,normal,87,11275,0.7716186252771619,1.3463561175538543
ABHD12,endothelial cell,spleen,normal,203,11275,1.8004434589800444,1.322423037077213
ABHD14A,endothelial cell,spleen,normal,133,11275,1.1796008869179602,1.3315187634500243
ABHD14A-ACY1,endothelial cell,spleen,normal,1,11275,0.0088691796008869,1.145388225567522
ABHD14B,endothelial cell,spleen,normal,59,11275,0.5232815964523282,1.2463186536122413
ABHD15-AS1,endothelial cell,spleen,normal,182,11275,1.6141906873614191,1.7885415714427666
ABHD16A,endothelial cell,spleen,normal,418,11275,3.707317073170731,1.332353939002481
ABHD17A,endothelial cell,spleen,normal,113,11275,1.0022172949002215,1.2536244073574747
