gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1CF,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.1472309349534209
AAK1,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.7791510484729511
AAMDC,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.7603990686174191
AAMP,enteroendocrine cell,spleen,normal,2,33,6.0606060606060606,1.2024040953806363
AASDHPPT,enteroendocrine cell,spleen,normal,2,33,6.0606060606060606,1.3222616289121654
ABCA5,enteroendocrine cell,spleen,normal,2,33,6.0606060606060606,1.4233813325379194
ABHD11,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.9309918256474896
ABHD14A,enteroendocrine cell,spleen,normal,6,33,18.181818181818183,1.343610534228486
ABHD18,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.171558364424151
ABHD2,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.360082811775652
ABHD8,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,2.234053682763123
ABL2,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.5051347760013134
ACACA,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.96795542678259
ACADVL,enteroendocrine cell,spleen,normal,4,33,12.12121212121212,1.4058586616560056
ACAP2,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.9837191882971412
ACAT2,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.3184769039924578
ACBD6,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.2456627531259052
ACD,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.458688589180594
ACLY,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.8019058219490365
ACOT7,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.265039642999555
ACOX1,enteroendocrine cell,spleen,normal,2,33,6.0606060606060606,1.6990798717915645
ACP1,enteroendocrine cell,spleen,normal,11,33,33.33333333333333,1.4255298090149686
ACP2,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.6196929988512552
ACRBP,enteroendocrine cell,spleen,normal,3,33,9.090909090909092,1.9572620745979137
ACTB,enteroendocrine cell,spleen,normal,33,33,100.0,2.860057250541423
ACTC1,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.2097096219952987
ACTG1,enteroendocrine cell,spleen,normal,33,33,100.0,2.6566286346935595
ACTN4,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.3214018988727976
ACTR10,enteroendocrine cell,spleen,normal,8,33,24.24242424242424,1.467812095909307
ACTR1B,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.6349067345402413
ACTR3,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.3366212287341863
ACTR6,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.6096957009240145
ACVR1C,enteroendocrine cell,spleen,normal,11,33,33.33333333333333,1.2651596567848085
ACYP1,enteroendocrine cell,spleen,normal,2,33,6.0606060606060606,1.5053903816740686
ACYP2,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.4363604238249672
ADAM10,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.2263536861554691
ADD1,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,1.5190556746249044
ADD3,enteroendocrine cell,spleen,normal,2,33,6.0606060606060606,1.2005805106758922
ADGRG1,enteroendocrine cell,spleen,normal,3,33,9.090909090909092,1.768683673703788
ADGRL1,enteroendocrine cell,spleen,normal,1,33,3.0303030303030303,2.0502546799854504
